explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,5.252565529190178e-07,8.708019777259324e-06,3.5779037716565654e-05,0.0011347808176651597,0.00036747168633155525,0.0013509668642655015,0.004311028402298689,0.004244507290422916,0.00562601862475276,0.007256365846842527,0.009560947306454182,0.0372830331325531,0.06756540387868881,0.02979089692234993,0.04324178025126457,0.02643462084233761,0.053441911935806274,0.04006914049386978,0.637873649597168,0.4669625163078308,0.1649816781282425,0.029840290546417236,0.07350867986679077,0.101415254175663,0.14586709439754486,0.2773282825946808,0.37789544463157654,0.2773243486881256,0.4580202102661133,0.6115522384643555,0.3164326846599579,0.18215641379356384,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,5.188354407437146e-06,0.00023088057059794664,0.0008760933997109532,0.00044236384565010667,0.0005499102990143001,0.00016398599836975336,0.00054047821322456,0.0017192218219861388,0.0035949554294347763,0.0162664782255888,0.11926538497209549,0.052579037845134735,0.010044801980257034,0.013425672426819801,0.02921970933675766,0.07334300130605698,0.2102484107017517,0.16624242067337036,0.3238551914691925,0.369845449924469,0.5551710724830627,0.3550974726676941,0.36871758103370667,0.6617446541786194,0.7453506588935852,0.9978896975517273,0.9961994290351868,0.9807927012443542,0.9825320243835449,0.9834475517272949,0.9543699026107788,0.9816068410873413,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,5.576486273639603e-06,0.00305114290677011,0.01914895512163639,0.003045962192118168,0.005094707012176514,0.007684769574552774,0.008527085185050964,0.001467444933950901,0.003701224457472563,0.005099104717373848,0.0048192343674600124,0.0041690669022500515,0.0158027783036232,0.003934315871447325,0.006991223897784948,0.007513279560953379,0.004904414061456919,0.004363500513136387,0.006183375138789415,0.006052516400814056,0.026348648592829704,0.003854736452922225,0.011453798040747643,0.08746778219938278,0.16598016023635864,0.08581621199846268,0.3374999761581421,0.1316181868314743,0.39655399322509766,0.4003874659538269,0.1928871124982834,0.32949790358543396,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.00015075289411470294,1.626549055799842e-05,0.0018630765844136477,0.00589299900457263,0.012213261798024178,0.01822720840573311,0.039436936378479004,0.020342690870165825,0.004972800612449646,0.0014395590405911207,0.02846355177462101,0.0017761741764843464,0.0047829230315983295,0.0027200100012123585,0.0027273749001324177,0.007998120039701462,0.078113853931427,0.28183886408805847,0.6995853781700134,0.8804569244384766,0.9286227822303772,0.979671061038971,0.992033064365387,0.9945159554481506,0.9909413456916809,0.9856379628181458,0.9887463450431824,0.9811722636222839,0.9601998925209045,0.978032112121582,0.9907565712928772,0.9766231775283813,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.00012482781312428415,0.002261589979752898,0.3929498493671417,0.12531828880310059,0.4792681932449341,0.5371010899543762,0.7666738629341125,0.8306713700294495,0.8449603319168091,0.7032128572463989,0.7619176506996155,0.0939876064658165,0.3105868101119995,0.016539551317691803,0.05383485183119774,0.05629415437579155,0.11065951734781265,0.15419219434261322,0.25612980127334595,0.20112721621990204,0.5255307555198669,0.3776189088821411,0.28742069005966187,0.41645145416259766,0.2745916247367859,0.24244321882724762,0.1757013350725174,0.42132002115249634,0.586856484413147,0.6626754999160767,0.4966753423213959,0.6981869339942932,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.1921019904548302e-05,0.00011840301158372313,0.0013241242850199342,0.020104624330997467,0.012621239759027958,0.02316226065158844,0.010210186243057251,0.027052398771047592,0.01136812474578619,0.018866103142499924,0.018238160759210587,0.023884976282715797,0.011235581710934639,0.0014002866810187697,0.0023607679177075624,0.0009500887244939804,0.0009459457942284644,0.0021209646947681904,0.003687637858092785,0.005928461439907551,0.0032235425896942616,0.0028812990058213472,0.004154755733907223,0.0030940312426537275,0.002529432065784931,0.007999932393431664,0.007583759259432554,0.004317648243159056,0.002554258331656456,0.003687334945425391,0.005802033003419638,0.005862199701368809,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.8896153051173314e-06,0.0006065606139600277,0.00019550113938748837,0.0002295221056556329,0.00033241938217543066,0.0005034305504523218,0.00016228087770286947,0.0002565513423178345,0.0004276837280485779,0.0011578722624108195,0.000581689237151295,0.00017581952852196991,0.00022766931215301156,0.00029526936123147607,0.003522649174556136,0.01200046669691801,0.044459789991378784,0.21205252408981323,0.23726509511470795,0.4367029070854187,0.25185373425483704,0.11486611515283585,0.059497613459825516,0.15320490300655365,0.929943859577179,0.8829077482223511,0.908804178237915,0.9499644637107849,0.9492139220237732,0.8921368718147278,0.5076003074645996,0.6622687578201294,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,6.088894224376418e-06,0.0015251267468556762,0.005740792490541935,0.0028444346971809864,0.001731699681840837,0.0070503829047083855,0.017181027680635452,0.004172796383500099,0.003923024516552687,0.00397162139415741,0.013576192781329155,0.009852327406406403,0.006798200309276581,0.0031759433913975954,0.003367522731423378,0.0011182307498529553,0.002701275050640106,0.0090825529769063,0.007601345889270306,0.030973518267273903,0.08288303017616272,0.04097548872232437,0.07155027240514755,0.07379735261201859,0.14796103537082672,0.15345844626426697,0.19556549191474915,0.18477286398410797,0.35486072301864624,0.6573995351791382,0.3039245307445526,0.29324203729629517,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.3249464245745912e-06,4.067641566507518e-05,4.59906441392377e-05,0.0009884866885840893,0.01045782770961523,0.01634507067501545,0.020167449489235878,0.025425205007195473,0.09785356372594833,0.08999031782150269,0.11479292064905167,0.0849197655916214,0.08146916329860687,0.13609296083450317,0.15913699567317963,0.07408645749092102,0.08191654831171036,0.022170552983880043,0.03222182020545006,0.09491398930549622,0.28418809175491333,0.4258142411708832,0.38102689385414124,0.21246975660324097,0.5477601885795593,0.7644017338752747,0.8266769051551819,0.8233686089515686,0.9206316471099854,0.9723934531211853,0.9922353625297546,0.9985894560813904,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,1.3276888921609498e-07,5.024218353355536e-06,5.018119736632798e-06,4.978109791409224e-05,0.00014533339708577842,7.589856977574527e-05,0.00016975472681224346,0.00010990467126248404,6.51873488095589e-05,2.5725375962792896e-05,2.203186886617914e-05,2.1810881662531756e-05,6.033078898326494e-05,0.00018424638255964965,0.000102996826171875,8.70249787112698e-05,0.008880914188921452,0.0383857786655426,0.31213754415512085,0.5399637818336487,0.6807715892791748,0.42223498225212097,0.8594808578491211,0.983674943447113,0.96901535987854,0.9725792407989502,0.9855278134346008,0.9629882574081421,0.9722715020179749,0.9894945025444031,0.911130964756012,0.9136462211608887,0.9786726832389832,0.9694126844406128
The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,7.209251634776592e-05,0.009166592732071877,0.006062996108084917,0.02968411147594452,0.0715738907456398,0.012448024936020374,0.013521987944841385,0.011766834184527397,0.01317608542740345,0.04610495641827583,0.041573263704776764,0.15976499021053314,0.1318206638097763,0.06508902460336685,0.01996413618326187,0.014505862258374691,0.0038741554599255323,0.006318237166851759,0.008419203571975231,0.017300648614764214,0.023881971836090088,0.01739417389035225,0.006876104511320591,0.009125011041760445,0.021313156932592392,0.02619127742946148,0.016077956184744835,0.022409752011299133,0.06645342707633972,0.11804618686437607,0.0854937955737114,0.0749175027012825,0.080360047519207,0.7874895334243774
Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,5.511144991032779e-05,0.0004819162713829428,0.02237868122756481,0.06293005496263504,0.15239018201828003,0.03240184858441353,0.10148736089468002,0.10660994797945023,0.13058839738368988,0.06886317580938339,0.17753180861473083,0.14910277724266052,0.27180323004722595,0.4001500904560089,0.6297664642333984,0.6912782788276672,0.6415399312973022,0.6517905592918396,0.8942184448242188,0.9364585876464844,0.8494277596473694,0.8783222436904907,0.9242051243782043,0.854423463344574,0.8945540189743042,0.8854373097419739,0.35095301270484924,0.30861735343933105,0.619082510471344,0.5427597165107727,0.30531516671180725,0.3980983793735504,0.40789318084716797,0.4678117632865906
Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,4.800641363544855e-06,0.0002871251490432769,0.0013050246052443981,0.00988316535949707,0.01352730579674244,0.00410868925973773,0.006082531996071339,0.0008375129546038806,0.00036648090463131666,0.0004147119470871985,0.0005139242857694626,0.0011310795089229941,0.0016450186958536506,0.0005913916393183172,0.002357933670282364,0.0024781322572380304,0.023481423035264015,0.03130457177758217,0.04497673735022545,0.03620311990380287,0.03155069053173065,0.03496922552585602,0.07708824425935745,0.1202571839094162,0.6983482241630554,0.4216945767402649,0.43442487716674805,0.5188202857971191,0.5725008845329285,0.7350114583969116,0.5835838913917542,0.546345055103302,0.5411407947540283,0.9643753170967102
Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,2.2896158498042496e-06,0.00011905155406566337,0.0003679377550724894,0.000621503742877394,0.0029193777590990067,0.010808325372636318,0.002572836820036173,0.0010800702730193734,0.013731387443840504,0.021699054166674614,0.010818149894475937,0.0065175979398190975,0.002746185287833214,0.003181925741955638,0.0038309660740196705,0.023097829893231392,0.06142551824450493,0.06347132474184036,0.102013498544693,0.16001905500888824,0.19763801991939545,0.5189906358718872,0.14506499469280243,0.38018593192100525,0.39278003573417664,0.36776354908943176,0.5573683381080627,0.353927880525589,0.17441031336784363,0.21632936596870422,0.1098691001534462,0.07627604901790619,0.07159175723791122,0.2677919566631317
California is the most,The bear flag state is the most,California,The bear flag state, populous,7.283349259523675e-05,0.0008594406535848975,0.0005782692460343242,0.0001734176039462909,0.0001292644883506,4.178666858933866e-05,0.0001294395187869668,0.00015835581871215254,3.3777017961256206e-05,2.4146735086105764e-05,1.9449249521130696e-05,1.1249185263295658e-05,1.9490689737722278e-05,0.00019484866061247885,0.000645201129373163,0.00447418075054884,0.03553101792931557,0.07323534041643143,0.10211819410324097,0.10948563367128372,0.15024931728839874,0.2868858873844147,0.31120765209198,0.23283085227012634,0.26448601484298706,0.11703024804592133,0.09537006914615631,0.12096057832241058,0.14075365662574768,0.17986845970153809,0.2094159871339798,0.26745909452438354,0.649124026298523,0.9438538551330566
California is the most,The golden bear state is the most,California,The golden bear state, populous,6.326803122647107e-05,0.0007538562058471143,0.0002455808571539819,7.54434076952748e-05,7.175591599661857e-05,6.246532575460151e-05,0.00019721714488696307,0.00032196391839534044,7.797982834745198e-05,7.062577788019553e-05,4.952896779286675e-05,4.53734646725934e-05,0.00012619368499144912,0.00044507114216685295,0.000359172496246174,0.004581522196531296,0.021160418167710304,0.06757429987192154,0.1450182944536209,0.06044677272439003,0.18384703993797302,0.43713024258613586,0.4935695230960846,0.35606664419174194,0.4304496943950653,0.29337078332901,0.32451948523521423,0.31162741780281067,0.4091171622276306,0.5522294640541077,0.5346877574920654,0.5301234126091003,0.801158607006073,0.9438538551330566
Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,1.7389962522429414e-05,0.0004022768116556108,0.0026728364173322916,0.011787677183747292,0.0006870669894851744,0.008446239866316319,0.025300875306129456,0.07470345497131348,0.008356720209121704,0.015588331036269665,0.011401178315281868,0.05519206076860428,0.04420195892453194,0.01396234892308712,0.004141476936638355,0.020801762118935585,0.08131172508001328,0.1186322420835495,0.15910224616527557,0.10033304244279861,0.03452625870704651,0.04503030702471733,0.012767103500664234,0.02432693913578987,0.010295282118022442,0.029858775436878204,0.058936379849910736,0.06217845156788826,0.07036492228507996,0.16432523727416992,0.13282091915607452,0.09898103028535843,0.09056086093187332,0.041050996631383896
Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,7.886138337198645e-05,0.000919354788493365,0.001012446009553969,0.0010574227198958397,0.002156449481844902,0.002680278616026044,0.0009548504604026675,0.0009019359713420272,0.0038618179969489574,0.0012580957263708115,0.000620086386334151,0.0007053698063828051,0.0005747560644522309,0.0017561415443196893,0.0013235899386927485,0.002940042642876506,0.04257849603891373,0.05466315895318985,0.10976584255695343,0.09328389912843704,0.26339155435562134,0.3820885717868805,0.24796062707901,0.23219583928585052,0.11874846369028091,0.0804591104388237,0.12977606058120728,0.06824904680252075,0.08107125759124756,0.08071517199277878,0.046011969447135925,0.07800310105085373,0.1185317188501358,0.0024975331034511328
Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,3.569844466255745e-06,5.054912980995141e-05,0.0011521530104801059,0.015697728842496872,0.008296767249703407,0.008801110088825226,0.05495104938745499,0.012859972193837166,0.008258294314146042,0.0032645200844854116,0.002221528207883239,0.01590033620595932,0.02149074152112007,0.01587020978331566,0.06681547313928604,0.06645426154136658,0.09042991697788239,0.09868825972080231,0.10694808512926102,0.12732547521591187,0.1588253527879715,0.5860868692398071,0.32482343912124634,0.4147699475288391,0.2905197739601135,0.2137768268585205,0.41869211196899414,0.3751564621925354,0.4048343300819397,0.596113383769989,0.36826181411743164,0.40480825304985046,0.3910137414932251,0.4291723370552063
Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,3.207608460797928e-05,0.0009684478864073753,0.009489661082625389,0.039908044040203094,0.08334082365036011,0.05792027711868286,0.12536664307117462,0.11038807779550552,0.13009704649448395,0.1782863289117813,0.03670383617281914,0.023705940693616867,0.033225223422050476,0.008254481479525566,0.028750412166118622,0.04814019054174423,0.27975228428840637,0.034910041838884354,0.2555941343307495,0.07474621385335922,0.09534593671560287,0.0704437792301178,0.0651354268193245,0.17128463089466095,0.04020025581121445,0.019453588873147964,0.010611290112137794,0.01799953356385231,0.047465730458498,0.04911840707063675,0.011674867942929268,0.1041981428861618,0.07770166546106339,0.1039402186870575
James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,1.7979802578338422e-05,3.184122033417225e-05,0.0001981334644369781,0.0006925122579559684,0.0018588351085782051,0.015145299956202507,0.007376657333225012,0.0030943616293370724,0.05084313824772835,0.012621844187378883,0.018846310675144196,0.007378873880952597,0.018678205087780952,0.01766355149447918,0.034894395619630814,0.04098290205001831,0.08513160049915314,0.08454849570989609,0.4675396680831909,0.03436892852187157,0.07078082114458084,0.10895533859729767,0.6781055331230164,0.894021213054657,0.9798178672790527,0.9326112866401672,0.9324100613594055,0.9674913883209229,0.7342302203178406,0.7057540416717529,0.7555298209190369,0.9648705720901489,0.7589750289916992,0.6258741617202759
