explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,2.2705693481839262e-05,6.992340217948367e-07,9.735066669236403e-06,2.52299332714756e-06,1.9323306332807988e-05,7.032949270069366e-06,3.890971527198417e-07,3.3513842936372384e-06,1.2411983334459364e-06,8.625844998277898e-07,4.662997241666744e-07,1.440705688082744e-07,3.585106469472521e-06,9.99961116576742e-07,1.5417892029745417e-07,3.476769734334084e-07,6.167300057313696e-07,1.2822788164612575e-07,2.9507691579055972e-06,1.3064962331554852e-05,1.8320135950489203e-06,1.7674257833277807e-05,1.8509419533074833e-05,5.656874054693617e-05,8.564996824134141e-05,1.2217818948556669e-05,4.6817790462228e-06,6.3723196035425644e-06,6.995266176090809e-06,4.2020605661718946e-08,6.890304860007745e-08,1.0943900718984878e-07,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0003845705359708518,3.906951860699337e-06,3.3455157790740486e-06,4.9236416089115664e-05,5.110702113597654e-05,8.189490472432226e-06,3.606668906286359e-05,5.431959289126098e-05,1.037233687384287e-06,2.5584145078028087e-06,4.516035005508456e-06,1.671510858614056e-07,7.351766271312954e-07,7.4485483310127165e-06,1.2161148106315522e-06,1.8223518338800204e-07,5.446362933980708e-07,6.80387131524185e-07,3.386387561477022e-07,1.6107161400213954e-06,6.407297769328579e-05,0.00012270383012946695,1.405667353537865e-05,1.084727409761399e-05,6.807967565691797e-06,0.0005283467471599579,6.627231778111309e-05,9.506335118203424e-06,2.9709278805967188e-06,6.706157819280634e-06,2.228965740869171e-07,1.3810706356309765e-08,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,6.63615708162979e-07,1.8939030042020022e-06,7.043280220386805e-06,2.5796703084779438e-06,1.1694415888996446e-06,1.632775024518196e-06,6.873196070955601e-06,4.4828041723121714e-07,1.2249714131939982e-07,2.78400136721757e-07,3.025959642855014e-07,6.932609721843619e-07,4.0481700125383213e-07,5.410004632722121e-06,2.374271753069479e-05,0.0003271654713898897,0.15021440386772156,0.07248114049434662,0.007023671176284552,0.01805664598941803,0.0598611906170845,0.4840715825557709,0.10162097215652466,0.021931707859039307,0.01882355846464634,0.012659373693168163,0.0020922492258250713,0.00351953087374568,0.006996044889092445,0.002405503997579217,0.001351799350231886,0.0005701168556697667,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,2.210058482887689e-05,0.0001438014442101121,7.514710631539856e-08,2.9358504889387405e-06,2.707557233971869e-10,1.928379766980015e-08,5.612629365714383e-07,6.520286532918362e-09,3.675771154121321e-08,1.098723259929102e-06,8.284256978186022e-07,1.6037402872370876e-07,7.252937166413176e-07,1.6938076896622078e-07,1.969590812223032e-06,2.3627067093912046e-06,1.0553149877523538e-05,5.748976946051698e-06,8.081288456196489e-07,7.235861630761065e-06,1.93955420400016e-05,6.224695971468464e-05,0.0004201877163723111,0.00017466966528445482,0.008672540076076984,0.069167360663414,0.07276463508605957,0.011626680381596088,0.006626988761126995,0.0002067822206299752,0.00030412935302592814,2.1569961973000318e-05,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,1.1630593689915258e-05,0.0003947766963392496,6.709189619868994e-05,5.508181402547052e-06,8.12790767668048e-06,1.961180259968387e-06,8.151482120410947e-07,2.489983899067738e-07,3.7573324789264007e-06,9.63134880294092e-07,1.9979397620772943e-06,1.8519490367907565e-06,7.919643394416198e-07,3.577492634576629e-06,3.152966314701189e-07,1.3428895044853562e-06,3.43138090102002e-05,2.1341998944990337e-05,5.047999002272263e-05,0.029703611508011818,0.008989374153316021,0.0007390191894955933,0.0006600599153898656,0.00024195341393351555,0.07086972147226334,0.07123658806085587,0.10865771025419235,0.008608299307525158,0.005017878953367472,0.002794857369735837,0.0004131801542825997,0.001403486356139183,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,7.064811597956577e-06,4.853890004596906e-06,5.650185244121531e-07,8.570926297579717e-07,1.8159145298568546e-08,7.375960109357038e-08,1.0257039662064926e-07,1.1411580089770723e-06,2.5260388269998657e-07,2.6254727458763227e-07,1.0851161960090394e-06,6.467032562795794e-07,1.281000209019112e-06,2.521596798032988e-06,4.871702117270615e-07,1.0727550403544228e-07,4.5090945377523894e-07,2.6660035246095504e-07,4.906048047814693e-07,5.623898687190376e-06,4.02771656808909e-05,4.4368345697876066e-05,0.00015423254808411002,5.474275167216547e-05,0.0002270275290356949,3.3753651223378256e-05,1.671205427555833e-05,1.986791903618723e-05,6.703633971483214e-06,9.424869062968355e-07,4.280397831735172e-07,1.3598224768429645e-06,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,6.265833008001209e-07,1.4229322005121503e-05,1.214529311255319e-05,3.321684971524519e-07,3.7722054457844933e-07,5.461777163873194e-07,1.749856323840504e-06,2.4874574933164695e-07,6.64489220980613e-07,3.866386578010861e-06,8.018727385206148e-06,6.086821485951077e-06,3.4978506846528035e-06,1.7394170299667167e-06,5.311979748512385e-06,7.75818625697866e-06,0.0003625492099672556,0.00010348325304221362,0.0005476045771501958,0.010461109690368176,0.008506081998348236,0.0032316604629158974,0.002911475719884038,0.0018783535342663527,6.945766654098406e-05,0.00019157066708430648,8.832930325297639e-05,2.5776991606107913e-05,0.0002910362964030355,0.0034828309435397387,0.0012127604568377137,0.013546149246394634,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,9.08318816073006e-06,4.7383105993503705e-05,3.551367626641877e-05,2.1056389414297882e-06,5.16186582899536e-06,6.481485343101667e-06,1.4785187829602364e-07,1.998886745013806e-07,3.0223514357885506e-08,5.35736575102419e-08,3.6789429032069165e-06,4.526334862475778e-07,1.331773376023193e-07,3.110131956418627e-07,1.4330006479212898e-06,3.4632525967026595e-06,0.0006459709838964045,0.0017337563913315535,0.0010879890760406852,0.003037832211703062,0.0030489065684378147,0.004043541382998228,0.008825559169054031,0.010977772064507008,0.05960153415799141,0.25701645016670227,0.43531033396720886,0.08627438545227051,0.1299477219581604,0.1237855926156044,0.05285796523094177,0.006422650534659624,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,2.8430274596757954e-06,3.012188926732051e-06,5.32248805029667e-07,1.4391904414878809e-06,4.4767131157641415e-07,3.6161441130388994e-07,4.559914668078591e-09,2.9098276854711003e-07,2.9898781122028595e-06,1.9939088815590367e-06,8.15737948869355e-05,3.9212147385114804e-05,5.648716978612356e-05,7.876571908127517e-05,0.00032031352748163044,3.949294114136137e-05,5.3195417422102764e-06,8.646527930977754e-06,0.00040368011104874313,0.00558150140568614,0.17438550293445587,0.08840399235486984,0.04431609436869621,0.05510222539305687,0.1357482522726059,0.15274415910243988,0.1209406927227974,0.12724080681800842,0.2706974744796753,0.6145285367965698,0.7394669651985168,0.032448869198560715,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,3.7919599549240957e-07,2.437293687762576e-06,7.684590855205897e-06,4.228651050652843e-06,1.2810079169867095e-05,0.00028704499709419906,2.9631093639181927e-05,1.196735229314072e-05,1.2560495861180243e-06,2.3297202460526023e-06,9.267584573535714e-06,1.2587983292178251e-05,9.351898370368872e-06,6.680009391857311e-06,1.4404107560039847e-06,1.0979711987602059e-05,5.753244840889238e-05,1.8847469618776813e-05,5.4150030337041244e-05,2.9781087505398318e-05,6.266880973271327e-06,2.7046562536270358e-06,2.2767180496430228e-07,1.142504970630398e-06,1.1502655752337887e-06,7.966871635289863e-06,1.818348391680047e-05,9.391928324475884e-05,0.00018908771744463593,0.0004239312547724694,0.005647804122418165,0.009623453952372074,0.9786726832389832,0.9694126844406128
The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.0017179152928292751,0.00010760136501630768,2.201150891778525e-05,2.613716105770436e-06,2.416437928332016e-05,7.456750950041169e-08,3.426416697038803e-07,1.5805435396032408e-05,8.38655250845477e-05,2.9231145163066685e-05,3.846310846711276e-06,5.290040689942543e-07,4.833238449464261e-07,7.265188060046057e-07,4.7979046939872205e-06,1.972588734133751e-06,0.0002280569460708648,0.00020708146621473134,0.00025756756076589227,0.0006714729825034738,0.004815178923308849,0.0690155103802681,0.2223653942346573,0.029270242899656296,0.9589819312095642,0.898527204990387,0.6969804763793945,0.8240236043930054,0.761486828327179,0.48517951369285583,0.17307497560977936,0.00801342073827982,0.080360047519207,0.7874895334243774
Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,2.833550752256997e-05,6.145812221802771e-05,4.097112650924828e-06,2.0039577066199854e-05,0.00036426621954888105,0.00010076392209157348,2.8278809622861445e-05,2.7001660782843828e-05,0.0013100787764415145,0.00017691926041152328,0.0005573661183007061,5.334814704838209e-05,7.657790411030874e-05,9.799796316656284e-06,7.724007446086034e-06,0.0001356038119411096,0.0004540697846096009,0.000416196184232831,0.0003101015754509717,2.2833261027699336e-05,0.00012228578270878643,0.0001035597306326963,2.174650398956146e-05,8.522762982465792e-06,3.3916858228622004e-05,1.1815864127129316e-05,1.4155043572827708e-05,4.098060344404075e-06,6.009251478644728e-07,4.840903784497641e-06,1.782352455848013e-06,6.938344540685648e-06,0.40789318084716797,0.4678117632865906
Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,4.996465577278286e-06,1.1326444564474514e-06,1.2653406429308234e-06,3.890825610142201e-06,3.956612601996312e-07,4.553665803541662e-06,9.87371095106937e-06,8.46897000883473e-06,0.00012632734433282167,1.0911532626778353e-05,7.02183479006635e-06,4.583350346365478e-06,1.6137723832798656e-06,9.62157628237037e-06,7.717642347415676e-07,2.6567599320515e-07,1.4958392966946121e-05,8.232729669543914e-06,0.0008484125137329102,0.00044315194827504456,0.0006350504118017852,0.006812950596213341,0.00034967847750522196,0.0002043394197244197,0.0006965179345570505,0.0009240602375939488,0.009424074552953243,0.002506591845303774,0.00014269337407313287,4.711108704213984e-05,3.6152228858554736e-05,1.754536356202152e-06,0.5411407947540283,0.9643753170967102
