explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,9.109322854783386e-05,1.3799643966194708e-05,1.5369440006907098e-05,9.887439773592632e-06,1.3913859220338054e-06,7.791882126184646e-06,1.0763930731627624e-05,1.610185245226603e-05,3.4432227948855143e-06,0.00030165453790687025,0.005990656558424234,0.017968250438570976,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,9.200230124406517e-05,0.0003337061498314142,0.0016350103542208672,8.542167051928118e-05,4.697264375863597e-05,2.8316046154941432e-05,0.00010984804976033047,0.00044468758278526366,0.002026110189035535,0.005787936970591545,0.006602515000849962,0.0238939356058836,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.006997830234467983,0.04464085027575493,0.05879019945859909,0.015052713453769684,0.024449598044157028,0.0363137312233448,0.00859664287418127,0.007781603839248419,0.011095387861132622,0.07395566999912262,0.00626493152230978,0.005073892418295145,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.00037715520011261106,1.5286641428247094e-05,9.653618326410651e-05,0.00034375605173408985,0.000315659650368616,0.000528600299730897,0.002562564564868808,0.00017031532479450107,0.0003392809012439102,0.000265634385868907,0.00012336218787822872,3.792277129832655e-05,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.003169719595462084,0.0008775342721492052,0.00986216589808464,0.012476765550673008,0.003015453927218914,0.00020441529341042042,0.0013705011224374175,0.016624096781015396,0.03894669935107231,0.04815341904759407,0.12652380764484406,0.2200193554162979,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.6907191820791923e-05,0.0004954554024152458,0.004103753715753555,0.005091255530714989,0.0068097105249762535,0.004293658304959536,0.0019128310959786177,0.0037375555839389563,0.006085759028792381,0.008829752914607525,0.04248524084687233,0.029534313827753067,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,2.933535597549053e-06,3.383574221516028e-05,0.000370632711565122,0.00013816847058478743,0.00012107851944165304,3.600561467465013e-05,5.590827640844509e-06,1.4934806131350342e-05,6.548163946717978e-05,0.0001840909681050107,1.372708265989786e-05,5.577855517913122e-06,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,3.447665585554205e-05,0.0010625551221892238,0.0016776254633441567,0.004483286757022142,0.0009471536031924188,0.0007864357903599739,0.0006819414556957781,0.0007138002547435462,0.001201665960252285,0.0015174539294093847,2.5881525289150886e-05,0.0009649142739363015,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,4.927664849674329e-05,0.00023029325529932976,0.0003349822945892811,0.0001564040721859783,0.000949759385548532,0.0020324334036558867,0.011390230618417263,0.0190730057656765,0.13419722020626068,0.8650797009468079,0.9528810977935791,0.8536550402641296,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.004326207097619772,0.01504849549382925,0.027751224115490913,0.05023222044110298,0.015859277918934822,0.008201968856155872,0.005836179479956627,0.004574952181428671,0.013849345967173576,0.012450771406292915,0.006632487755268812,0.01454190444201231,0.100090391933918,0.14716646075248718
