explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,ans_prob_lens_edit_layer32,ans_prob_lens_edit_layer33,ans_prob_lens_edit_layer34,ans_prob_lens_edit_layer35,ans_prob_lens_edit_layer36,ans_prob_lens_edit_layer37,ans_prob_lens_edit_layer38,ans_prob_lens_edit_layer39,ans_prob_lens_edit_layer40,ans_prob_lens_edit_layer41,ans_prob_lens_edit_layer42,ans_prob_lens_edit_layer43,ans_prob_lens_edit_layer44,ans_prob_lens_edit_layer45,ans_prob_lens_edit_layer46,ans_prob_lens_edit_layer47,ans_prob_lens_edit_layer48,ans_prob_lens_edit_layer49,ans_prob_lens_edit_layer50,ans_prob_lens_edit_layer51,ans_prob_lens_edit_layer52,ans_prob_lens_edit_layer53,ans_prob_lens_edit_layer54,ans_prob_lens_edit_layer55,ans_prob_lens_edit_layer56,ans_prob_lens_edit_layer57,ans_prob_lens_edit_layer58,ans_prob_lens_edit_layer59,ans_prob_lens_edit_layer60,ans_prob_lens_edit_layer61,ans_prob_lens_edit_layer62,ans_prob_lens_edit_layer63,ans_prob_lens_edit_layer64,ans_prob_lens_edit_layer65,ans_prob_lens_edit_layer66,ans_prob_lens_edit_layer67,ans_prob_lens_edit_layer68,ans_prob_lens_edit_layer69,ans_prob_lens_edit_layer70,ans_prob_lens_edit_layer71,ans_prob_lens_edit_layer72,ans_prob_lens_edit_layer73,ans_prob_lens_edit_layer74,ans_prob_lens_edit_layer75,ans_prob_lens_edit_layer76,ans_prob_lens_edit_layer77,ans_prob_lens_edit_layer78,ans_prob_lens_edit_layer79,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,1.7995909047385794e-06,6.791391911065148e-07,5.676209298144386e-07,1.6828375919430982e-06,2.8246388410479994e-06,1.1239986633881927e-05,5.655059339915169e-06,7.06445371179143e-06,9.044074431585614e-06,2.419121483399067e-05,7.282529259100556e-05,5.5119551689131185e-05,6.55739422654733e-05,7.774371624691412e-05,1.9879056708305143e-05,1.5190260455710813e-05,9.693388165032957e-06,2.4927214326453395e-05,5.194675759412348e-05,9.005040919873863e-05,0.00014271560939960182,0.00013255115482024848,5.606153717963025e-05,0.0001222695573233068,8.245902427006513e-05,0.00011184476898051798,0.0001520174992037937,8.969823102233931e-05,0.0005918116657994688,0.00017604726599529386,0.00011010959860868752,0.0003579628828447312,0.00011357215407770127,0.00017717671289574355,9.837404650170356e-05,9.960314491763711e-05,5.872666952200234e-05,0.00027360281092114747,8.163281017914414e-05,3.9724327507428825e-05,0.00010047155956272036,0.0003202049992978573,0.0004319836152717471,0.000174611690454185,0.0003690849698614329,0.0014226207276806235,0.0016283444128930569,0.0016358791617676616,0.0008449977030977607,0.001369651174172759,0.0012641983339563012,0.0010717082768678665,0.0041663749143481255,0.003443581983447075,0.005502581130713224,0.015545347705483437,0.0015157614834606647,0.022289320826530457,0.05236593261361122,0.021940644830465317,0.011960960924625397,0.007031510584056377,0.005613790359348059,0.005560062825679779,0.005179202649742365,0.0011818768689408898,0.01494627259671688,0.010903487913310528,0.005973531398922205,0.008829045109450817,0.011419827118515968,0.0070488182827830315,0.0007942713564261794,0.0007116051274351776,0.0005954170483164489,0.00027085276087746024,0.0004318067221902311,0.0001287204067921266,0.00013293224037624896,0.001458949875086546,0.08630707114934921,0.03394823148846626
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,3.643151273990952e-07,3.7675874864362413e-07,3.971501882915618e-07,2.1281870488110144e-07,1.122226422012318e-06,2.3922295895317802e-06,3.554919658199651e-06,5.535663603950525e-06,1.0453095455886796e-05,6.599253083550138e-06,0.0001049038692144677,0.00015742112009320408,6.992812996031716e-05,0.00016272217908408493,0.0005316031165421009,0.0003633288433775306,0.00018007331527769566,0.00032591851777397096,0.0006682751118205488,0.00040477674338035285,0.0004906891845166683,0.00035949854645878077,0.000533215410541743,0.002033836208283901,0.002855979837477207,0.0009041624725796282,0.0006598111358471215,0.000439558265497908,0.0006185660604387522,0.0014637935673817992,0.0011447096476331353,0.0006759687094017863,0.0009381977142766118,0.00041714220424182713,0.001544157974421978,0.001773645170032978,0.006050628609955311,0.002684523817151785,0.009531672112643719,0.027491725981235504,0.025608615949749947,0.04974065721035004,0.06134255975484848,0.08172162622213364,0.06340425461530685,0.0977722629904747,0.23669083416461945,0.8803907632827759,0.8569734692573547,0.7976413369178772,0.8220632672309875,0.8276941180229187,0.803080677986145,0.9660250544548035,0.9620437622070312,0.9619268178939819,0.966010570526123,0.95072340965271,0.9563259482383728,0.9506639242172241,0.9447376132011414,0.9507433176040649,0.9444277882575989,0.919120192527771,0.872233510017395,0.85703444480896,0.8348706364631653,0.8610404133796692,0.8909759521484375,0.9166926741600037,0.8933120369911194,0.9170070290565491,0.9470418691635132,0.9468228220939636,0.9404850006103516,0.9492524862289429,0.9402544498443604,0.7668067812919617,0.8359326720237732,0.8517431020736694,0.8543716669082642,0.6189217567443848
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,4.6377922444662545e-06,4.438861196831567e-06,3.6179201288177865e-06,4.950171842210693e-06,3.6718806768476497e-06,7.049436590023106e-06,1.0398799531685654e-05,2.2137926862342283e-05,1.884026642073877e-05,7.9118981375359e-06,3.9617025322513655e-05,1.98054713109741e-05,2.0400404537213035e-05,2.512279479560675e-06,3.1325785130320583e-06,9.545005923428107e-07,9.15253394850879e-07,1.2898702834718279e-06,1.8039070255326806e-06,3.000567630806472e-06,2.117086751241004e-06,3.8110702007543296e-06,1.856686685641762e-05,1.1792589248216245e-05,3.5755219869315624e-05,2.959530320367776e-05,1.3693891560251359e-05,9.680096263764426e-05,4.093238021596335e-05,0.00014889806334394962,0.0002487580059096217,0.0009461945737712085,0.0006925845518708229,0.0007960594375617802,0.0016992228338494897,0.0009344356949441135,0.0026051499880850315,0.36542707681655884,0.4593985378742218,0.21666136384010315,0.10148151218891144,0.40186670422554016,0.6060226559638977,0.7425312399864197,0.8625441789627075,0.56047523021698,0.48429766297340393,0.4733796715736389,0.6041166186332703,0.5906110405921936,0.24938350915908813,0.5254084467887878,0.5572614669799805,0.7743357419967651,0.7730610966682434,0.7522508502006531,0.40687012672424316,0.24465225636959076,0.37661969661712646,0.37649065256118774,0.4668678045272827,0.4346359372138977,0.43395504355430603,0.37336257100105286,0.3166508674621582,0.6048898100852966,0.3301084041595459,0.42061281204223633,0.4324568510055542,0.669414222240448,0.21375752985477448,0.23059231042861938,0.26427438855171204,0.31034430861473083,0.47398877143859863,0.5408530235290527,0.4493422210216522,0.4239037334918976,0.24956968426704407,0.2263765037059784,0.0355692058801651,0.3625369668006897
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,2.1559681044891477e-06,1.1209895092179067e-06,1.5863059843468363e-06,8.853836561684147e-07,5.421225068857893e-07,9.509839742349868e-07,2.1305559130269103e-06,1.6640964304315276e-06,1.524163963040337e-06,1.0627112487782142e-06,2.3352945390797686e-06,8.811681482256972e-07,6.218733688001521e-07,1.0873723113036249e-06,1.6741785202611936e-06,5.758846782555338e-06,7.231818926811684e-06,1.2424075976014137e-05,5.855234121554531e-06,1.0933975318039302e-05,9.341149052488618e-06,4.926829660689691e-06,2.5046135760931065e-06,4.2398078221594915e-06,5.104100182506954e-06,5.7919564824260306e-06,3.6010444546263898e-06,2.652222065080423e-06,3.967522843595361e-06,5.878880529053276e-06,5.539550784305902e-06,8.104006155917887e-06,5.52101028006291e-06,5.51160201212042e-06,3.2968277992040385e-06,1.5691441149101593e-05,6.899229629198089e-05,0.0005434241029433906,0.0008762867073528469,0.003270544344559312,0.010142778977751732,0.010831987485289574,0.023455621674656868,0.013510491698980331,0.03982030972838402,0.0901467576622963,0.10379933565855026,0.17581400275230408,0.26223692297935486,0.17885686457157135,0.17947138845920563,0.21885435283184052,0.3449157178401947,0.3431876003742218,0.43076157569885254,0.3725973963737488,0.43367627263069153,0.49578189849853516,0.5273433327674866,0.7258872389793396,0.5099330544471741,0.42320504784584045,0.5107980370521545,0.5725226402282715,0.5974012613296509,0.5427804589271545,0.5438411831855774,0.5758091807365417,0.545893132686615,0.5700886249542236,0.6204420924186707,0.7725874185562134,0.8137889504432678,0.7738913893699646,0.7753451466560364,0.7953283190727234,0.8136967420578003,0.8976590633392334,0.9446913599967957,0.945851743221283,0.9403198957443237,0.9352973699569702
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,1.4886882127029821e-05,1.5618141333106905e-05,1.2343501111899968e-05,1.468368645873852e-05,4.3689658923540264e-05,0.00020291583496145904,0.00028108691913075745,0.0003473994438536465,0.00013277545804157853,0.00012243124365340918,0.0003671207232400775,5.2607294492190704e-05,4.30159670941066e-05,2.25063649850199e-05,4.52666608907748e-05,2.8615624614758417e-05,1.4602349438064266e-05,2.4833147108438425e-05,7.83836094342405e-06,9.709373262012377e-05,0.000922019244171679,0.00223190407268703,0.0018881461583077908,0.004633012693375349,0.005854200571775436,0.01227392628788948,0.017142603173851967,0.01739548146724701,0.03852267935872078,0.08071617782115936,0.03297237679362297,0.026730401441454887,0.02904747612774372,0.044539522379636765,0.1587967574596405,0.12651783227920532,0.18063849210739136,0.29570630192756653,0.2947661876678467,0.11919208616018295,0.1711740493774414,0.1555345356464386,0.1847832202911377,0.25063642859458923,0.33426207304000854,0.28621017932891846,0.3164772093296051,0.220925971865654,0.24330627918243408,0.26866409182548523,0.4676956534385681,0.5898415446281433,0.4365253150463104,0.5593113303184509,0.58774334192276,0.7487163543701172,0.7245775461196899,0.699159562587738,0.5880475640296936,0.6184462308883667,0.6184091567993164,0.5884780883789062,0.725502073764801,0.6992735862731934,0.7693644165992737,0.903984010219574,0.855618417263031,0.8573548793792725,0.8075759410858154,0.8838757276535034,0.929514467716217,0.8089257478713989,0.8447125554084778,0.8864662647247314,0.8331748247146606,0.7303311824798584,0.8166561126708984,0.9120981693267822,0.9122411012649536,0.8619408011436462,0.6360928416252136,0.7828002572059631
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.7683773876342457e-06,9.160518175121979e-07,8.093725796243234e-07,1.0209922720605391e-06,4.7185807261485024e-07,3.1769911856827093e-07,5.92450760450447e-07,1.6038694639064488e-06,2.2610129235545173e-06,4.526102657109732e-06,9.213576049660333e-06,1.0700870916480199e-05,1.079793946701102e-05,9.901535122480709e-06,1.1541987078089733e-05,4.6239179027907085e-06,8.50630476634251e-06,2.569037678767927e-05,1.704068017716054e-05,1.1444984920672141e-05,2.0515395590336993e-05,2.3183114535640925e-05,3.592541179386899e-05,6.167619176267181e-06,1.7778874052964966e-06,1.907839532577782e-06,1.2248302709849668e-06,2.524234105294454e-06,3.117731466772966e-06,3.568652800822747e-06,6.735416263836669e-06,1.4436593119171448e-05,1.8938548237201758e-05,1.5250216165441088e-05,6.402883627742995e-06,1.16702694867854e-05,9.982900337490719e-06,1.1380167279639863e-06,5.657006454384828e-07,1.448227067157859e-06,2.909120894400985e-06,4.581965185934678e-06,1.6369988316000672e-06,9.952224218068295e-07,3.196135821781354e-06,3.2375257887906628e-06,2.8218139505042927e-06,3.2716395708121127e-06,1.346674525848357e-05,1.766915556800086e-05,1.1275575161562301e-05,1.2987052286916878e-05,1.20040722322301e-05,1.547466490592342e-05,2.009969830396585e-05,1.0672856660676189e-05,1.5192477803793736e-05,4.231340062688105e-05,1.8903258023783565e-05,5.591697117779404e-06,1.022454489429947e-05,3.162733946737717e-06,3.6674366583611118e-06,6.092495368648088e-06,7.650901352462824e-06,2.3458003852283582e-05,3.851746077998541e-05,3.4620537917362526e-05,4.5459270040737465e-05,6.706118438160047e-05,6.694947660434991e-05,5.9551057347562164e-05,3.873257810482755e-05,3.594727604649961e-05,5.348171544028446e-05,6.19029306108132e-05,8.617300045443699e-05,7.15911082806997e-05,0.00020392438455019146,0.0012835473753511906,0.023658061400055885,0.007474442012608051
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.5264702597050928e-05,2.9193809041316854e-06,3.0604178391513415e-06,2.9918865038780496e-06,1.4722490959684364e-06,1.9073652310908074e-06,1.0408571142761502e-06,5.00932060276682e-07,7.297767297131941e-07,3.7021672483206203e-07,1.2967674933861417e-07,4.164123197369918e-07,6.206012699294661e-07,6.813450568188273e-07,6.444386713155836e-07,1.0232557769995765e-06,9.196998007610091e-07,6.78181834246061e-07,2.1499911326827714e-06,3.124752311123302e-06,4.6585878408222925e-06,1.2366522241791245e-05,6.697762000840157e-05,6.03419539402239e-05,2.845759445335716e-05,1.4739031939825509e-05,1.2465791769500356e-05,9.58167584030889e-06,1.9954970866820076e-06,4.307211838749936e-06,1.249487013410544e-05,6.15293683949858e-05,0.00015423349395859987,0.00015978506417013705,8.697265002410859e-05,6.1012960941297933e-05,0.00019588321447372437,0.4653795659542084,0.5534893274307251,0.4103681147098541,0.28996896743774414,0.4799201488494873,0.5720037221908569,0.6086680889129639,0.6463650465011597,0.9577727913856506,0.9119322896003723,0.8789140582084656,0.803096354007721,0.8768928050994873,0.9082093238830566,0.9151394367218018,0.8677465915679932,0.9145606160163879,0.9110466837882996,0.9153469204902649,0.9383398294448853,0.9024751782417297,0.39050230383872986,0.46661996841430664,0.3609158396720886,0.3321937322616577,0.23880280554294586,0.21524687111377716,0.27927812933921814,0.17308709025382996,0.16437536478042603,0.19557856023311615,0.20498661696910858,0.10895228385925293,0.09749429672956467,0.0646110475063324,0.05076555907726288,0.042598601430654526,0.23730520904064178,0.3726186752319336,0.2322370857000351,0.21374984085559845,0.19678665697574615,0.8889468312263489,0.8373129367828369,0.9475685358047485
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,2.238881279481575e-06,1.0089531770063331e-06,1.4795352853980148e-06,2.879518206100329e-06,2.9951281703688437e-06,3.162669827361242e-06,7.863002792873885e-06,1.1257480764470529e-05,9.808233699004631e-06,5.786136171082035e-06,7.53956483094953e-05,0.00014522302080877125,4.140727469348349e-05,3.3803524274844676e-05,0.00011951011401833966,2.6919720767182298e-05,1.674257691774983e-05,2.6053847250295803e-05,2.2859747332404368e-05,3.9274964365176857e-05,8.991402864921838e-05,8.800761861493811e-05,0.00023897437495179474,0.00027561167371459305,0.00018868142797145993,6.118811143096536e-05,4.8766338295536116e-05,6.114058487582952e-05,4.198882743366994e-05,3.6158722650725394e-05,0.00020204318570904434,0.00043072030530311167,0.00020038218644913286,0.0002836606581695378,0.00022477027960121632,0.00028062803903594613,0.0002043021231656894,0.06889383494853973,0.0228361077606678,0.02377614937722683,0.0571623258292675,0.15809129178524017,0.2893013656139374,0.23641200363636017,0.2171112298965454,0.2517862915992737,0.21950411796569824,0.31255659461021423,0.3794212341308594,0.641741931438446,0.6110047101974487,0.5861219167709351,0.7407941818237305,0.7742154598236084,0.8664008975028992,0.8715227842330933,0.5274474024772644,0.43420106172561646,0.40375378727912903,0.5870532989501953,0.6463122963905334,0.7922735214233398,0.8458357453346252,0.8462651968002319,0.8748136162757874,0.8977828025817871,0.8736918568611145,0.8448907732963562,0.8838549256324768,0.861833393573761,0.8475799560546875,0.7984951734542847,0.6918864846229553,0.8596924543380737,0.7995733022689819,0.8207685351371765,0.7864903211593628,0.34236735105514526,0.4973747432231903,0.9267312288284302,0.2082185000181198,0.7491705417633057
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,6.656348432443338e-07,3.0545248819180415e-07,1.902006601994799e-06,2.1274638584145578e-06,4.582243036566069e-06,1.6473702544317348e-06,1.9506724129314534e-06,1.148915316662169e-06,5.929896929046663e-07,1.4401568932953523e-06,2.7253136067884043e-06,2.885143203457119e-06,1.1729075595212635e-06,6.924086051185441e-07,1.4182811582941213e-06,3.6085934880247805e-06,3.813695911958348e-06,1.4993313925515395e-05,8.115974924294278e-05,9.122122719418257e-05,7.035342423478141e-05,0.00015108738443814218,0.0009371756459586322,0.0028774156235158443,0.003933206666260958,0.00264079961925745,0.004781415686011314,0.0024199075996875763,0.002372072311118245,0.0012985562207177281,0.0027031279169023037,0.004949716851115227,0.002940750913694501,0.007189345546066761,0.017763089388608932,0.026089312508702278,0.0353582538664341,0.055811285972595215,0.031195560470223427,0.027250241488218307,0.023319801315665245,0.15580564737319946,0.13515087962150574,0.12981460988521576,0.13684768974781036,0.24633324146270752,0.24799075722694397,0.25197935104370117,0.232832133769989,0.25882452726364136,0.32513687014579773,0.29488667845726013,0.3819347321987152,0.26993319392204285,0.3025706708431244,0.33336007595062256,0.3307621479034424,0.4100281000137329,0.5015132427215576,0.6188493371009827,0.5958723425865173,0.6698716282844543,0.6981692314147949,0.811913251876831,0.8509905934333801,0.8858470916748047,0.8660633563995361,0.8715416789054871,0.8655960559844971,0.8743139505386353,0.8739528059959412,0.9205868244171143,0.9242690801620483,0.838982105255127,0.8825351595878601,0.873518168926239,0.7921532392501831,0.8468674421310425,0.9209937453269958,0.9702302813529968,0.9951085448265076,0.9965139031410217
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,1.2993848486075876e-06,3.0755622901779134e-06,7.8920456871856e-06,1.0042958820122294e-05,1.875318048405461e-05,1.2976562175026629e-05,1.7696555005386472e-05,1.7936856238520704e-05,3.722561086760834e-05,4.263011578586884e-05,5.224059350439347e-05,3.800766353379004e-05,3.5563669371185824e-05,2.2255080693867058e-05,1.5620758858858608e-05,2.4674607630004175e-05,2.73685873253271e-05,1.1903619451913983e-05,1.511363370809704e-05,1.781313039828092e-05,5.6051474530249834e-05,0.00024037469120230526,0.0003868128696922213,0.0004750334774143994,0.0003122822963632643,0.00013079168274998665,0.0002539371489547193,0.00021828414173796773,0.00025064602959901094,0.00017831454169936478,6.020769433234818e-05,5.204880653764121e-05,9.417332330485806e-05,0.0001572334731463343,5.034009518567473e-05,4.8410609451821074e-05,7.200751861091703e-05,0.00013905081141274422,0.00013049399422015995,0.00019951508147642016,0.0005566959152929485,0.0023679391015321016,0.001558159478008747,0.004315535072237253,0.014239078387618065,0.018339283764362335,0.019285518676042557,0.0418340265750885,0.055656831711530685,0.06522055715322495,0.19402416050434113,0.19634881615638733,0.26682549715042114,0.3048346936702728,0.4243170917034149,0.7138873934745789,0.6415051221847534,0.6761845350265503,0.6217162013053894,0.7119245529174805,0.8000637888908386,0.8666151165962219,0.891021728515625,0.881918728351593,0.7817675471305847,0.025604551658034325,0.07893582433462143,0.011647635139524937,0.017175866290926933,0.030716460198163986,0.05650337040424347,0.06214423105120659,0.05008959025144577,0.10164128243923187,0.21592749655246735,0.32877132296562195,0.2781279683113098,0.20360544323921204,0.2770816683769226,0.377271443605423,0.954092800617218,0.945635199546814
