explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,4.032075230497867e-05,1.7561080767336534e-06,2.920751285273582e-07,2.474589066991939e-08,6.058589741009257e-10,6.705565169795591e-08,1.1923924958523457e-08,8.346843216600064e-09,2.2004441324607882e-10,1.8003129298449494e-07,5.671033068210818e-05,0.00018341990653425455,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,3.9955775719136e-06,0.002766501624137163,0.002299412153661251,7.923547673271969e-05,2.267282434331719e-05,1.9563696696422994e-05,2.3550866899313405e-05,4.706027539214119e-05,0.00014677518629468977,0.004249472636729479,0.0023973933421075344,0.018331576138734818,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,4.7961482778191566e-05,0.00010715930693550035,5.454047641251236e-05,0.0002886152360588312,0.0008314235019497573,0.00011797768820542842,1.2709580005321186e-05,2.5804400138440542e-05,8.932324999477714e-05,0.0027584615163505077,1.494528532930417e-05,0.0003199774073436856,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,1.4030235433892813e-05,0.00034963732468895614,0.00024440037668682635,0.0023420429788529873,0.0018778715748339891,0.0002747998514678329,0.0002727102837525308,3.373520712557365e-06,1.3290921287989477e-06,2.5254893287751656e-08,3.1749152640259126e-08,2.7205242503214322e-08,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,4.591948709276039e-06,2.2988808268564753e-05,0.00012290768790990114,7.921089854789898e-05,1.6734511518734507e-05,9.518334081803914e-06,5.322956440068083e-06,0.0005453346529975533,0.0006490115774795413,0.003234047209843993,0.006779849529266357,0.01837162673473358,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.4031173805051367e-06,8.608315511082765e-06,0.00011231040843995288,0.0011584878666326404,0.0008803154923953116,0.00032656770781613886,0.0007257871911861002,0.0008109691552817822,0.011555748991668224,0.0010159084340557456,0.01975143887102604,0.002711791777983308,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,4.203690551207728e-08,2.8427105114303686e-10,1.6999062157907474e-09,1.1611820838197673e-08,2.380610020225049e-08,3.861232666935166e-09,2.7870468519847202e-12,2.9516625688758014e-12,2.5130653114047163e-09,1.1914721653738525e-07,3.432457651442178e-09,6.755453973994463e-09,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,9.394697372044902e-06,2.1847396055818535e-05,2.3482602045987733e-05,0.0003019166470039636,1.4104179172136355e-05,1.0795009075081907e-05,2.1536137865041383e-05,5.310179403750226e-06,1.003727811621502e-05,7.263209408847615e-05,2.8660306838901306e-07,5.069989856565371e-05,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,9.558430065226275e-07,3.393089718883857e-05,9.584281360730529e-05,4.5468161260942e-05,0.00010784816549858078,0.0006605744129046798,0.004346208181232214,0.004294140730053186,0.11050286144018173,0.5287090539932251,0.476725310087204,0.004493131767958403,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.0019560856744647026,0.0909094363451004,0.004164398182183504,0.0025074186269193888,0.00039988014032132924,4.27053528255783e-05,3.56910313712433e-05,2.6573410650598817e-05,4.127512147533707e-05,1.597509799466934e-05,1.3546743957704166e-06,0.0004375307180453092,0.100090391933918,0.14716646075248718
The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,3.0165424504957628e-06,2.9381383228610503e-06,4.056092166138114e-06,5.7467681472189724e-05,0.002103052567690611,0.03303072974085808,0.3790537416934967,0.1389331817626953,0.008530614897608757,0.00010125461267307401,0.00039520059362985194,0.0005476135411299765,0.04068177193403244,0.043853167444467545
Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,8.458982847514562e-09,1.1082794117101002e-05,0.0008473076741211116,0.00011921497207367793,1.3981627489556558e-05,1.2382415661704727e-05,1.692360092420131e-05,4.724005066236714e-06,3.9949668462213594e-06,1.7533465097585577e-06,1.6021065675886348e-05,0.0006300434470176697,0.411927193403244,0.514491081237793
Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,2.860191898435005e-06,4.968805811245147e-08,4.72227429781924e-06,2.1505150016309926e-06,1.5603475844727654e-07,7.536931434515282e-08,7.118338999134721e-06,5.00141277370858e-06,2.9175102099543437e-05,0.00042016326915472746,2.6140307696209675e-08,2.3984111408026365e-07,0.026844482868909836,0.05663884058594704
Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,3.809945425814476e-08,1.113327357415983e-06,4.320282187109115e-06,5.089748083264567e-05,0.00012557438458316028,0.0008299450273625553,1.3740198028244777e-06,1.0397014193586074e-05,0.0002007435541599989,6.529968459290103e-07,2.2390429066376782e-08,1.592464968780405e-07,0.011504310183227062,0.0543273463845253
California is the most,The bear flag state is the most,California,The bear flag state, populous,1.0505898373480704e-09,5.385666554502677e-06,7.45997967896983e-05,0.002045443980023265,1.1199869732081424e-05,7.309342618100345e-05,0.0574878454208374,0.07971420139074326,0.10269001126289368,0.6786543130874634,0.9727239608764648,0.8530193567276001,0.0011133091757073998,0.3787842392921448
California is the most,The golden bear state is the most,California,The golden bear state, populous,1.2714645336586727e-08,1.0185849532717839e-06,3.678150460473262e-05,6.380877312039956e-05,5.0530037043472475e-08,2.4099017537082545e-06,0.0007757956627756357,0.0007440595072694123,0.0003153452998958528,0.010736561380326748,0.001188343157991767,0.00023435453476849943,0.016364527866244316,0.3787842392921448
Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,1.569351297803223e-05,7.5888947321800515e-06,7.569075933133718e-06,1.018409602693282e-05,5.740233609685674e-05,7.704294694121927e-05,3.6572366752807284e-06,2.54808156796571e-08,9.207190565518886e-09,3.3981724101295185e-09,3.0301943176880286e-09,5.946620262875513e-07,0.3519904911518097,0.5238668918609619
Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,6.759278914358902e-09,2.517734287721396e-07,9.588460869736082e-08,4.236330397588972e-08,1.669190794473252e-07,1.0743262919277186e-06,8.910143515095115e-05,1.2153141142334789e-05,0.00036453461507335305,0.0002628840156830847,0.016607634723186493,0.021877365186810493,0.04826728254556656,0.18779811263084412
Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,1.7199358381958518e-08,5.819438264609289e-09,1.3436143717626692e-06,4.721365257864818e-06,2.9812192678946303e-06,1.978796353796497e-05,1.1607673513935879e-05,1.1618830285442527e-05,9.100632269110065e-06,0.013669936917722225,0.00018020848801825196,0.12579874694347382,0.4046311378479004,0.5442834496498108
Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,4.698195880337153e-06,0.49560868740081787,0.8916826248168945,0.6434978246688843,0.21646787226200104,0.01665956899523735,0.04072064906358719,0.001482388935983181,0.00033460574923083186,3.717451909324154e-05,9.220153879141435e-05,0.00022488506510853767,0.06934917718172073,0.08784747868776321
James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,2.12673061383839e-08,2.3583199435961433e-05,0.00022864389757160097,3.659988215076737e-05,0.0001788505760487169,4.3427655327832326e-05,3.755768602786702e-06,1.945546864590142e-05,0.0004686012689489871,0.0008621098240837455,0.0002374920732108876,0.014387469738721848,0.0006663365056738257,0.011069848202168941
Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,6.418464693069836e-08,1.6865541851984744e-07,6.355242021527374e-07,4.8251706630253466e-08,5.344684339547712e-08,1.0489956139281276e-06,6.873872280266369e-07,2.732356279011583e-07,5.886982989977696e-07,9.178815929544726e-09,9.034618539405237e-12,2.8808569418892205e-10,0.00028046747320331633,0.00044431298738345504
Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,8.479548796458403e-07,3.6370558120779606e-08,5.501410487340763e-05,0.00012597706518135965,0.00012404237349983305,0.0016774472314864397,0.016494086012244225,0.036631010472774506,0.04751742631196976,0.035265225917100906,0.22287467122077942,0.3254810571670532,0.3540010154247284,0.7835427522659302
Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,2.218024803823937e-07,3.924931490928429e-09,3.5140718779302915e-08,5.6887841992647736e-08,6.341660423458961e-07,1.5893091358520905e-06,1.0263813692290569e-06,1.677521765941492e-07,2.5134559109574184e-06,2.1510275018954417e-06,2.1816739631226947e-14,7.371297461311599e-10,0.00014298834139481187,0.00023876610794104636
Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,1.2686446382303984e-07,2.5654085220594425e-06,2.0725524052522815e-07,1.1069056427004398e-06,8.191312304006715e-07,9.088130354939494e-06,1.3126226861004398e-07,1.3727727719015093e-06,4.508861093199812e-05,4.279842471532902e-07,1.3798880615922826e-07,5.218722435529344e-05,0.02226678654551506,0.013671007007360458
Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,5.67523159133998e-07,7.015639198471035e-07,3.9799576256882574e-07,9.901338415829741e-08,1.970580676413647e-08,8.312953880817986e-09,1.750417033541396e-09,5.196807428831107e-10,4.82639848087274e-07,0.00015818316023796797,1.8743443206403754e-06,2.0584220692398958e-05,0.00425700843334198,0.028314366936683655
Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,3.7320388446282493e-10,4.5131155701483294e-08,6.6088894357108074e-09,1.0285427620715382e-08,3.308433704773961e-08,1.232203743484206e-07,1.5770882377807993e-09,2.8772004778687688e-09,4.6063587433309294e-07,5.784461243329986e-10,5.7008602283303844e-08,1.2647053154068999e-05,0.0005254307179711759,0.0004807798541150987
Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,9.934599809469091e-09,3.161117589911555e-08,7.164811108850699e-07,1.9882047581631923e-06,3.9893193388707004e-06,1.0808130355144385e-05,6.179404863360105e-06,7.755238584650215e-07,7.343634024437051e-06,0.004657707177102566,9.435193959461685e-09,5.960907856206177e-07,0.001927309320308268,0.013798421248793602
The largest university in Ohio is called The,The largest university in the Buckeye State is called The,Ohio,The Buckeye State, Ohio State University,1.4988795271619892e-07,1.2855192835559137e-05,2.511939783289563e-05,9.776985098142177e-05,9.480788139626384e-05,0.0008460057433694601,0.0005682271439582109,0.0009276748169213533,0.9962334036827087,0.9757441282272339,0.8355642557144165,0.34556901454925537,0.13293713331222534,0.3509562611579895
"Canadians call their $1 coin a ""loonie"" because this type of bird appears on it","Canadians call their $1 coin a ""loonie"" because this type of winged animal appears on it",bird,winged animal, Common Loon,8.027715807656932e-07,9.30948615973648e-08,5.104481033413322e-07,7.064144256219151e-07,2.2003432604833506e-05,4.417965828906745e-05,7.350949454121292e-05,0.0003065367054659873,3.203489541192539e-05,2.359053360123653e-05,8.783194971329067e-07,2.1417294192360714e-05,4.719180708434578e-07,1.136051764660806e-06
The University of Chicago is located in Chicago neighborhood of,The university with the most Nobel Prizes is located in the Chicago neighborhood of,The University of Chicago,The university with the most Nobel Prizes, Hyde Park,1.423804576461407e-07,1.3337599966689595e-06,3.04886493829315e-09,2.321178492470377e-11,4.2373328695659296e-13,2.6126366695078396e-12,1.1240126607248158e-09,9.763150501385098e-07,6.92106922883795e-08,3.4956407546360424e-08,8.648229595564771e-06,8.044202331802808e-06,0.008195447735488415,0.017048943787813187
"Después de las guerras de independencia hispanoamericanas, Simón Bolívar estableció la nación de la","Después de las guerras de independencia hispanoamericanas, el libertador estableció la nación de la",Simon Bolivar,el libertador, Gran Colombia,2.7500651412992738e-05,2.499533025002165e-07,8.516599336871877e-06,0.000102949736174196,0.0001647531898925081,9.318689262727275e-05,6.354568904498592e-05,1.5694842659286223e-05,6.923972250660881e-05,8.80623974808259e-06,3.177706048518303e-06,0.0021754445042461157,0.0002084676525555551,0.00034863833570852876
Bill Gates was born in the city of,The founder of Microsoft was born in the city of,Bill Gates,The founder of Microsoft, Seattle,2.4227845187851926e-06,7.0500746005564e-06,6.220997875061585e-06,0.0006448625354096293,0.00020833098096773028,0.003432801691815257,0.0009902366437017918,0.0036146175116300583,7.161698158597574e-05,1.2400532796164043e-05,2.0948974499557238e-10,1.4178515306273454e-10,0.009965800680220127,0.011851899325847626
Nelson Mandela brought an end to,The first president of South Africa brought an end to,Nelson Mandela,The first president of South Africa, Apartheid,3.626228817665833e-06,3.0297610464913305e-07,5.566402592194208e-07,1.642473307583714e-06,5.0815127906389534e-05,1.3242334716778714e-05,9.704064723337069e-05,7.12190376361832e-06,1.380522689942154e-06,2.823872524704285e-10,7.121635547946426e-08,9.826665869905327e-11,0.0010680650593712926,0.0004999007796868682
Abraham Lincoln issued an executive order famously known as the,The 16th president of the United States issued an executive order famously known as the,Abraham Lincoln,The 16th president of the United States, Emancipation Proclamation,0.0003975826548412442,1.2281183217055514e-06,1.5490181795030367e-06,7.172099572017032e-07,4.491800211781083e-07,6.818726205892744e-07,3.8066690422056126e-07,1.763923023645475e-06,1.1179538432770642e-06,1.1793394039116833e-10,1.0693729125680392e-14,1.5414564069615722e-09,0.0008844553958624601,0.004880013410001993
The name of Texas' dominating political party is,The name of the Lone Star State's dominating political party is,Texas',Lone Star State's, Republican,1.3988203928505527e-09,5.7352623116457835e-05,0.00010050708806375042,0.0032292213290929794,2.030539690167643e-05,4.5996834785455576e-08,6.662680789304432e-07,6.919155453033454e-07,2.0465224679355742e-06,6.02842021635297e-07,2.2034181423880028e-10,2.1608541089790378e-07,0.007656445261090994,0.004999225027859211
Russia is mostly located on the continent of,The largest country in the world is mostly located on the continent of,Russia,The largest country in the world, Asia,4.356734706334464e-08,7.986734090081882e-06,1.4045232092030346e-05,4.7709854698041454e-05,0.0001465047971578315,3.2984673453029245e-05,1.584736310178414e-05,0.00023659173166379333,0.0003661518276203424,0.0004899554187431931,1.896433241199702e-05,3.6808953609579476e-06,0.020920878276228905,0.022181639447808266
Steve Jobs' father was from the country of,The founder of Apple's father was from the country of,Steve Jobs',The founder of Apple's, Syria,8.297138975876805e-09,1.0497213224880397e-05,6.646805104537634e-06,1.3164698202672298e-06,1.524540635955418e-07,5.5677817911714556e-09,1.066362997903525e-08,3.066573217580526e-09,2.3032094287334104e-10,1.5735997574428673e-12,2.1885494354346763e-16,1.4579801104437185e-17,0.0013121628435328603,0.00014549418119713664
J.R.R. Tolkien was afraid of,"The author of ""The Lord of The Rings"" was afraid of",J.R.R. Tolkien,"The author of ""The Lord of The Rings""", spiders,5.124086571717257e-11,1.6431858096410679e-09,1.3774175045000447e-07,9.367582265440433e-07,1.4152658422972308e-07,1.1533260568796777e-08,1.1350020923117654e-09,5.028244132176951e-08,2.727480534758797e-07,1.666946189970986e-07,1.4794269143081351e-09,3.838944451217685e-08,0.0023473554756492376,0.0012702902313321829
Argonne National Laboratory conducted pioneering research on,The U.S.'s first national laboratory conducted pioneering research on,Argonne National Laboratory ,The U.S.'s first national laboratory, nuclear energy,9.225735198015173e-07,2.7361912202650274e-07,1.3214958016760647e-09,1.9586479105271337e-09,6.172508904001006e-08,1.1324392090727997e-08,9.538334566627782e-10,4.5760217837198525e-10,3.2260538684880657e-09,6.535688878983592e-09,2.5843847950568488e-08,5.072034241493384e-07,0.003137905616313219,0.002698226599022746
"For 25 years, the Sears Tower was the world's","For 25 years, the world's tallest building in 1973 was the world's",Sears Tower,world's tallest building in 1973, tallest building,1.9228816938721138e-07,5.1126538892276585e-05,2.908640817622654e-05,5.343683005776256e-05,0.005968318786472082,3.60482594885525e-08,1.739157937663549e-06,1.2940564602104132e-06,8.522454663761891e-06,1.5546321825363196e-12,3.2379432468587765e-10,3.2387739712369523e-10,0.869688093662262,0.5380632281303406
French is the official language of a Canadian province called,A romance language is the official language of a Canadian province called,French,A romance language, Quebec,1.677218607054609e-11,1.124491291193408e-07,2.6600247338137706e-08,1.4111281587680935e-10,2.018069933384936e-09,6.189866041950154e-08,2.962847531762236e-07,5.693752882507397e-06,4.601039549356756e-08,0.0003873061796184629,0.0015773838385939598,0.006895933300256729,0.05500509962439537,0.08546159416437149
Cain murdered a person named,Adam and Eve's eldest son murdered a person named,Cain,Adam and Eve's eldest son, Abel,3.0906277537212645e-10,2.927307951594571e-09,5.084940801758364e-10,1.0357803503779905e-08,7.212304531378777e-09,6.762408588656399e-08,2.8526545747808996e-07,2.015327993376559e-08,7.642761801207598e-08,4.379759402373118e-11,1.0037259651901609e-12,5.308323767529155e-13,0.0025499772746115923,0.00040322905988432467
Napoleon was famously defeated at The Battle of,The Corsican-born leader of the French Republic was famously defeated at The Battle of,Napoleon,The Corsican-born leader of the French Republic, Waterloo,7.982573713150032e-09,1.8870530027470522e-08,1.1006722161255311e-05,0.00015954094124026597,0.0005100127891637385,0.01939135044813156,0.0003459748113527894,0.035246845334768295,0.03362474963068962,0.00022565033577848226,2.165544117360696e-07,0.0003695131454151124,0.08033143728971481,0.2970423996448517
Quinine forms a medication used to treat an illness called,Extract from the bark of the cinchona tree forms a medication used to treat an illness called,Quinine,Extract from the bark of the cinchona tree, malaria,3.2734544241908026e-12,6.600116897459429e-09,3.952625782233099e-09,5.109806622272117e-08,8.01344057776987e-09,6.998259749479985e-10,8.920646443755231e-10,3.118103648544479e-12,4.9326199375032687e-11,5.235026301342316e-11,2.307326150887551e-13,6.553519120607032e-13,0.0012110215611755848,0.000433917623013258
Hadrian built a wall in the province of,The successor to Antoninus Pius built a wall in the province of,Hadrian,The successor to Antoninus Pius built a wall across, Britannia,3.245003432628124e-10,2.02384908831732e-09,1.1437923941315375e-09,8.532756723411694e-10,6.399432095349766e-10,7.823392422778852e-08,1.2193942744431752e-08,8.635093196041055e-10,8.179427968268982e-11,2.1641112431811452e-14,4.931076841340268e-14,2.2949283532552878e-12,4.976095078745857e-05,6.446213956223801e-05
D-Day took place on the beaches of,The largest seaborne invasion in history took place on the beaches of,D-Day,The largest seaborne invasion in history, Normandy,4.4202323579156655e-08,7.941588410176337e-05,9.04604007700982e-07,1.1311415619275067e-05,0.00044482896919362247,0.001809192937798798,0.0037326663732528687,0.0025611433666199446,0.031673818826675415,0.0003112632839474827,0.0001066002732841298,1.4291563275037333e-05,0.03399527817964554,0.04625219851732254
The melting point of water is zero degrees,The melting point of dihydrogen monoxide is zero degrees,water,dihydrogen monoxide, Celsius,9.287042485084385e-05,0.09632337838411331,0.016084717586636543,0.1801232248544693,0.1503363996744156,0.06070476770401001,0.07457447797060013,0.40644901990890503,0.7362669706344604,0.28927600383758545,0.08744125068187714,0.03742385655641556,0.4223082661628723,0.44599345326423645
The highest mountain of the world is called,The tall mountain located at China–Nepal border is called,highest mountain,The tall mountain located at China–Nepal border, Mount Everest,7.507324623068357e-12,8.144858398839716e-11,5.5039720336935716e-08,1.8659495708561735e-06,2.462005795678124e-06,7.508553608204238e-06,5.627850327982742e-07,4.0311289239980397e-07,2.1315665890142554e-06,5.873788722965401e-06,2.333123302378226e-05,1.1343211554049049e-05,0.005189842544496059,0.12483695894479752
Kopi luwak is eaten and defecated by,The most expensive coffee in the world is eaten and defecated by,Kopi luwak,The most expensive coffee in the world, civets,0.009265541099011898,3.0850260372972116e-05,9.925580525305122e-05,0.00012701985542662442,6.55458279652521e-05,0.00017368319095112383,9.870010217127856e-06,3.868525709549431e-06,1.8871352267524344e-06,2.3687343286837859e-07,4.6637620698675164e-07,4.337026439316105e-06,0.0004300441069062799,0.001130219199694693
