explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,3.0557788704754785e-05,1.5654445633117575e-06,2.76499631581828e-05,5.5015188991092145e-06,2.5475850634393282e-05,1.3786954696115572e-05,1.7567539600804594e-07,4.895573511021212e-06,2.829622872013715e-06,9.040520581038436e-07,7.638954571120848e-07,3.0963937547312526e-07,4.863579306402244e-06,3.2664208902133396e-06,1.955543922349534e-07,7.348122608163976e-07,9.273205137105833e-07,1.1113307607502065e-07,5.353980213840259e-06,1.125588096329011e-05,3.0185901778168045e-06,3.9227208617376164e-05,1.4054731764190365e-05,0.00012350115866865963,9.526521171210334e-05,7.097503839759156e-05,3.240588921471499e-05,1.4146838111628313e-05,1.864214937086217e-05,8.261861239589052e-08,1.6948634140590002e-07,2.0418897861418372e-07,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0004839590983465314,2.6883864848059602e-05,4.679843641497428e-06,0.00018471411021891981,1.6330524886143394e-05,3.6926099710399285e-05,6.403712905012071e-05,5.153580423211679e-05,6.417155304916378e-07,1.2846769095631316e-05,2.8740207199007273e-05,9.605397508494207e-07,8.476011316815857e-06,7.299170647456776e-06,1.3734983212998486e-06,5.280307959765196e-07,1.6692583812982775e-06,3.3049407193175284e-06,1.0918427051365143e-06,2.2246500520850532e-05,9.721313836053014e-05,0.000384538754587993,4.762397293234244e-05,5.12597180204466e-05,5.0353908591205254e-05,0.012601547874510288,0.001088474877178669,0.00011485639697639272,1.992664510908071e-05,8.848959987517446e-05,1.6302187759720255e-06,1.164862126756816e-07,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,2.483324806235032e-06,2.4642417884024326e-06,9.591585694579408e-06,4.867871666647261e-06,2.2407964479498332e-06,1.2985623243366717e-06,2.826614718287601e-06,4.757086742301908e-07,2.017313676105914e-07,5.597231051979179e-07,1.5163178090915608e-07,1.0522904858589754e-06,2.4073526674328605e-06,6.348094757413492e-06,3.4631659218575805e-05,0.00038723007310181856,0.34852907061576843,0.14597441256046295,0.024646222591400146,0.04190720617771149,0.3423263132572174,0.5157703161239624,0.24875786900520325,0.13083113729953766,0.07318255305290222,0.03171148896217346,0.0022488893009722233,0.008559049107134342,0.008029437623918056,0.0010557242203503847,0.0007878344622440636,0.00044694344978779554,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,6.093111005611718e-05,0.000165225806995295,8.112666023407655e-07,1.2209613487357274e-05,4.0612985197086005e-10,4.538195597092454e-08,1.1086085294209624e-07,3.1596707472658636e-09,5.894640153769615e-08,1.1540495506778825e-05,1.1172788617841434e-05,2.364768931784056e-07,1.6803134030851652e-06,1.5922545344437822e-06,2.3312353732762858e-05,1.5862140571698546e-05,3.6411818200576818e-06,2.2435722257796442e-06,1.8069914631269057e-06,3.24948996421881e-05,0.0010707118781283498,0.0007135893101803958,0.002935423282906413,0.0017758598551154137,0.04943171888589859,0.410712331533432,0.28899896144866943,0.12136943638324738,0.06024017930030823,0.0015500030713155866,0.024630006402730942,0.000827410607598722,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,6.624837624258362e-06,0.0001385155483148992,6.878646672703326e-05,3.6695869312097784e-06,1.7388136257068254e-05,1.1296318007225636e-05,4.594557140080724e-06,3.4996182307622803e-07,1.2545493518700823e-05,2.58531645158655e-06,3.8872553886903916e-06,5.5747846090525854e-06,4.547305252344813e-06,4.085998170921812e-06,7.662876555514231e-07,6.860049325041473e-06,0.0003306172729935497,5.303699799696915e-05,0.0004896822501905262,0.11755571514368057,0.01101035624742508,0.0009666323894634843,0.0005371630541048944,0.0004074174212291837,0.06353463977575302,0.11180337518453598,0.1318463683128357,0.040663525462150574,0.07409537583589554,0.01872040517628193,0.0014290508115664124,0.023431995883584023,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,2.919685357483104e-05,1.0521969670662656e-05,1.012930852084537e-06,1.4727804682479473e-06,1.256803017213315e-07,3.7848248979344135e-08,1.0778301628988629e-07,8.75510522746481e-07,5.448415549835772e-07,5.073488864582032e-07,3.3216537076441455e-07,3.7568045740954403e-07,1.9475889985187678e-06,3.1796741950529395e-06,4.4539834220813646e-07,2.5639280920586316e-07,3.535917301178415e-07,1.8591725847727503e-07,5.20712831075798e-07,4.434807124198414e-06,5.503246939042583e-05,2.171283631469123e-05,0.0001094316685339436,2.875500103982631e-05,0.00020234426483511925,1.2913000318803824e-05,1.4380715583683923e-05,2.9189270208007656e-05,1.0239189577987418e-05,3.982223006460117e-06,1.4978885474192793e-06,1.193087882711552e-06,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,2.1658661353285424e-06,1.4721696970809717e-05,1.369238361803582e-05,5.674969543179031e-07,2.9525165246013785e-07,4.371504473965615e-07,1.1960901247221045e-06,6.880137561893207e-07,2.034208591794595e-06,5.652148047374794e-06,6.200953521329211e-06,5.333935860107886e-06,6.862873760837829e-06,3.540289071679581e-06,4.3525174078240525e-06,1.0697191100916825e-05,0.0004986999556422234,0.0001329928927589208,0.0023650596849620342,0.014558668248355389,0.03946572542190552,0.03372566029429436,0.01204968523234129,0.019278747960925102,0.0003694324113894254,0.00029505343991331756,0.00020507574663497508,5.261116530164145e-05,0.000632063252851367,0.0067970966920256615,0.0015680063515901566,0.01736551709473133,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,6.0214697441551834e-06,4.715283284895122e-05,3.9553415263071656e-05,2.132339432137087e-06,1.1154097592225298e-05,2.3598318875883706e-05,1.1589841619752406e-07,1.5433900557582092e-07,2.991771452798275e-08,6.781837669223023e-08,1.5228051779558882e-06,4.4604072968468245e-07,1.2782702185631933e-07,1.1243064790278368e-07,4.0663883282832103e-07,6.111645689088618e-06,0.0002748755505308509,0.001954249572008848,0.0015967396320775151,0.004575105383992195,0.008895596489310265,0.015564155764877796,0.022490520030260086,0.033955130726099014,0.2353229522705078,0.40641888976097107,0.6220881938934326,0.13396669924259186,0.1693568229675293,0.47583460807800293,0.05125732347369194,0.03168626129627228,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,6.928991751919966e-06,1.0031894817075226e-05,3.713891601364594e-06,6.551854767167242e-06,1.2451536122171092e-06,1.5124124956855667e-06,7.977735805297925e-08,2.458227754686959e-06,2.0809025954804383e-05,9.230583231101264e-08,0.0001066802506102249,4.5104614400770515e-05,8.562652510590851e-05,0.00021851355268154293,0.00037133906153030694,0.00012509773659985512,1.4310322512756102e-05,3.771981573663652e-05,0.001002150820568204,0.010747588239610195,0.140872985124588,0.11464186012744904,0.03243708983063698,0.09781445562839508,0.11475100368261337,0.15930958092212677,0.1583710014820099,0.1731976717710495,0.4831586480140686,0.764864981174469,0.7664811611175537,0.0831848680973053,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,8.653993290863582e-07,8.922595498006558e-07,2.178278236897313e-06,1.6885969671420753e-06,2.0478000806178898e-05,0.00013505236711353064,1.718029125186149e-05,1.1277814337518066e-05,1.537100615678355e-06,2.835549821611494e-06,1.5538551451754756e-05,2.9895991247030906e-06,6.932000815140782e-06,4.27581881012884e-06,1.7646902961132582e-06,1.3244155525171664e-05,0.00010177008516620845,1.7536325685796328e-05,6.032498276908882e-05,7.486446702387184e-05,1.8387718228041194e-05,8.498765055264812e-06,2.859570258806343e-06,7.795200872351415e-06,5.699076609744225e-06,2.812429920595605e-05,8.109279588097706e-05,0.0003925705677829683,0.0010128801222890615,0.004626325331628323,0.02051263116300106,0.05621490254998207,0.9786726832389832,0.9694126844406128
The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.0006255453918129206,0.0001676224492257461,6.570818368345499e-05,1.45965705087292e-05,2.644141568453051e-05,9.363355957248132e-07,2.5550696136633633e-07,5.446270733955316e-06,0.00015819752297829837,4.2542407754808664e-05,2.6764068934426177e-06,6.248326371860458e-07,7.39347569833626e-07,3.321636370401393e-07,3.2606476452201605e-05,2.8354386813589372e-05,0.0004580227250698954,0.0029138189274817705,0.0007203776040114462,0.006938159465789795,0.014855202287435532,0.24014176428318024,0.5144321322441101,0.2668452262878418,0.9640169143676758,0.9789061546325684,0.9529221653938293,0.9207244515419006,0.8336243033409119,0.4826239347457886,0.13222211599349976,0.038043469190597534,0.080360047519207,0.7874895334243774
Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,4.721614459413104e-05,0.000371968635590747,2.0580873751896434e-05,1.1463153896329459e-05,0.0006795458029955626,5.2067553042434156e-05,7.245257620525081e-06,8.08221593615599e-05,0.001479357946664095,0.0002162382734240964,0.0008451170288026333,5.016743307351135e-05,0.00011897838703589514,3.9356898923870176e-05,3.103247581748292e-05,0.0005448410520330071,0.0013845707289874554,0.00040861021261662245,0.001970581943169236,0.00011685269419103861,0.0006201714859344065,0.000831604702398181,0.000172877887962386,4.198056194582023e-05,0.00020007345301564783,3.498224759823643e-05,6.400986603694037e-05,1.7580430721864104e-05,1.0908055628533475e-05,6.204577948665246e-05,7.365707915596431e-06,5.779600178357214e-05,0.40789318084716797,0.4678117632865906
Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,3.330538311274722e-05,6.409376055671601e-06,6.014709015289554e-06,8.913748388295062e-06,5.43871647096239e-06,2.2092663130024448e-05,6.794284217903623e-06,4.052913936902769e-05,7.013710273895413e-05,8.860605885274708e-05,6.980237958487123e-05,9.377564310852904e-06,1.3955576832813676e-05,3.9155343984020874e-05,4.0551000779487367e-07,2.1545420167967677e-06,3.0514476748066954e-05,1.649192563490942e-05,0.002418946474790573,0.002910149982199073,0.003167622024193406,0.0164254792034626,0.000751857238356024,0.00025729028857313097,0.001117645762860775,0.001948670600540936,0.00784856267273426,0.0015246233670040965,0.00037370200152508914,0.0006296023493632674,0.00012032530503347516,4.319173967815004e-06,0.5411407947540283,0.9643753170967102
