explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,6.300491804722697e-05,1.1615385346885887e-06,1.4661703971796669e-05,3.832542006421136e-06,3.15537145070266e-05,1.1429428013798315e-05,5.223661219133646e-07,5.505980425368762e-06,4.298833118809853e-06,1.6620480209894595e-06,8.131424351631722e-07,3.3643388519521977e-07,6.063731689209817e-06,2.303329210917582e-06,1.0191864419084595e-07,3.1865579330769833e-07,9.089183095056796e-07,1.2634177437576e-07,4.331403033575043e-06,1.4882087270962074e-05,3.5231626043241704e-06,2.3834041712689213e-05,3.482573447399773e-05,0.00012018802954116836,0.00014281801122706383,2.722299177548848e-05,2.8202985049574636e-05,3.3217729651369154e-05,3.9106584154069424e-05,2.1515523940252024e-07,2.0652397836329328e-07,2.970926971102017e-07,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,4.941715087625198e-05,1.0577849707260611e-06,1.5370303572126431e-06,3.084703712374903e-05,2.5885181457852013e-05,5.7877909966919105e-06,5.7166848819178995e-06,2.614246477605775e-05,1.951291778823361e-06,2.835480700014159e-06,5.575472641794477e-06,7.720890380369383e-07,8.738014116715931e-07,6.827136076026363e-06,1.0242980579278083e-06,1.7027308558681398e-06,7.513145305892976e-07,9.415102226739691e-07,2.8272719987398887e-07,4.6192953959689476e-06,2.2146983610582538e-05,7.915035530459136e-05,1.437505034118658e-05,3.5796936572296545e-05,2.7322766982251778e-05,0.004498157184571028,0.00046340181143023074,5.5793836509110406e-05,1.195340337289963e-05,1.2331194739090279e-05,5.526210884454485e-07,7.522704237317157e-08,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,7.730165521024901e-07,1.0395211802460835e-06,4.761649051943095e-06,3.895515874319244e-06,8.34702177598956e-07,3.823710983397177e-07,5.832393981108908e-06,7.828232924111944e-07,1.9705120735125092e-07,3.826558270247915e-07,1.755613112663923e-07,2.403668020178884e-07,2.422200395812979e-07,2.3002880880085286e-06,1.1490596989460755e-05,8.438336226390675e-05,0.05342767760157585,0.008440034464001656,0.0022079467307776213,0.006671502720564604,0.11804098635911942,0.4115898609161377,0.1993226706981659,0.0645291730761528,0.025119157508015633,0.030398951843380928,0.00231451285071671,0.012130502611398697,0.011365578509867191,0.0035287318751215935,0.0016224146820604801,0.0005742040812037885,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,1.1648096005956177e-05,1.636711385799572e-05,8.539592499801074e-08,5.228048962635512e-07,7.235311794140387e-10,3.392917236055837e-08,1.3155718647794856e-07,1.4438852780074285e-08,2.7252571044300566e-07,5.535150648938725e-07,1.539299773867242e-06,7.31732683334485e-08,5.338450250746973e-07,5.574456451995502e-08,6.253538344935805e-07,4.072494903084589e-06,2.163276349165244e-06,2.8205749913468026e-06,1.5523391994065605e-06,3.4779959605657496e-06,3.307048973510973e-05,7.165564602473751e-05,0.00212501036003232,0.001030630199238658,0.026744306087493896,0.28088662028312683,0.29931017756462097,0.15857526659965515,0.05755549669265747,0.001219690777361393,0.0036501246504485607,0.0005101751303300261,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,1.0533623935771175e-05,6.0273225244600326e-05,4.555482155410573e-05,5.594796220975695e-06,1.444490953872446e-05,1.9609738046710845e-06,5.107119136482652e-07,1.6393633472944202e-07,2.927582954725949e-06,7.149981797738292e-07,6.505274541268591e-07,1.0647045201039873e-06,8.671555065120629e-07,3.281268618593458e-06,2.828781191510643e-07,2.9771749723295216e-06,0.00019124330719932914,7.066943362588063e-05,0.0006390759372152388,0.12622299790382385,0.036186426877975464,0.002760383067652583,0.0008491473272442818,0.0010926204267889261,0.08445712178945541,0.08245159685611725,0.18905630707740784,0.06820057332515717,0.04417070746421814,0.03156796470284462,0.003072489518672228,0.007900983095169067,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.1767318937927485e-05,4.448894287634175e-06,1.3364633559831418e-06,1.5109512787603308e-06,1.743413768906521e-08,1.9102868620279878e-08,4.818571142095607e-08,1.5031148450361798e-06,8.944221576712152e-07,2.311013247435767e-07,1.5550507441730588e-06,1.2520800396487175e-07,1.2886192735095392e-06,2.9194225135142915e-06,7.35045716737659e-07,5.898723998143396e-07,1.4069712506170617e-06,2.7043145678362634e-07,1.0898424989136402e-06,6.603063866350567e-06,6.903442408656701e-05,6.958693847991526e-05,0.00020461926760617644,8.222194446716458e-05,0.00012628044351004064,1.9393855836824514e-05,2.9985885703354143e-05,2.8262624255148694e-05,1.5345753126894124e-05,2.159793211831129e-06,6.698096512991469e-07,1.954242179635912e-06,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,4.531840659183217e-06,1.6073019651230425e-05,1.0820019269885961e-05,6.260339091568312e-07,5.547555588236719e-07,1.0654987363523105e-06,2.09218933377997e-06,3.720022618836083e-07,2.044930624833796e-06,6.072868472983828e-06,6.307514013315085e-06,4.824863481189823e-06,6.9910888669255655e-06,2.660498239492881e-06,6.666063654847676e-06,8.634421647002455e-06,0.0004510757571551949,8.954360237112269e-05,0.0008525630692020059,0.017605140805244446,0.03548067435622215,0.021308084949851036,0.016215389594435692,0.01165124960243702,0.00023699126904830337,0.00021397785167209804,0.00025085380184464157,6.397713150363415e-05,0.0003865566977765411,0.0031040525063872337,0.0033784606494009495,0.022971462458372116,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,1.1861238817800768e-05,5.056587906437926e-05,3.847570042125881e-05,1.0835456123459153e-05,8.176552910299506e-06,3.06429537886288e-05,6.249019293136371e-07,5.713328050660493e-07,2.318584222393838e-07,7.030074300473643e-08,1.2032764971081633e-06,5.789364081465465e-07,1.1871685501319007e-07,1.1345341732749148e-07,4.893601044386742e-07,3.471550371614285e-06,0.0002997780102305114,0.001138299354352057,0.0003755693032871932,0.0020198123529553413,0.00622270442545414,0.002514682477340102,0.011898349970579147,0.004457926377654076,0.11371118575334549,0.4357149004936218,0.5225014686584473,0.2172439843416214,0.1479918211698532,0.2961961328983307,0.1127031221985817,0.0222222451120615,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,3.670210617201519e-06,1.960104100362514e-06,1.6121441603900166e-06,2.841591822289047e-06,6.834133046140778e-07,9.970808605430648e-07,3.8637310240119405e-08,1.0794793752211262e-06,1.0951080184895545e-05,8.85642111825291e-06,0.00011357161565683782,4.0048671507975087e-05,3.7398876884253696e-05,3.612815635278821e-05,6.952811236260459e-05,2.458554990880657e-05,7.406250915664714e-06,1.2983319720660802e-05,0.0003874346730299294,0.004794302862137556,0.24266783893108368,0.18449287116527557,0.08149584382772446,0.21960631012916565,0.12993782758712769,0.14772838354110718,0.1721293181180954,0.15358425676822662,0.2245587855577469,0.46795952320098877,0.5711783170700073,0.03111066110432148,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,1.1452945045675733e-06,1.943523102454492e-06,4.819966761715477e-06,2.171699179598363e-06,1.1854131116706412e-05,9.361694537801668e-05,1.9655102732940577e-05,1.4448424735746812e-05,1.6932515336520737e-06,3.471580839686794e-06,1.7367652617394924e-05,8.656314093968831e-06,6.543174549733521e-06,6.6784941736841574e-06,1.4162474144541193e-06,1.0374899829912465e-05,9.026474435813725e-05,1.7398320778738707e-05,4.395446740090847e-05,8.189382788259536e-05,1.891565989353694e-05,6.6805087044485845e-06,2.2640217594016576e-06,4.140448254474904e-06,5.596883966063615e-06,2.6483436158741824e-05,9.846752072917297e-05,0.0006765569560229778,0.0008785268291831017,0.002537698717787862,0.017558565363287926,0.03897074609994888,0.9786726832389832,0.9694126844406128
