Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,ans_prob_lens_edit_layer32,ans_prob_lens_edit_layer33,ans_prob_lens_edit_layer34,ans_prob_lens_edit_layer35,ans_prob_lens_edit_layer36,ans_prob_lens_edit_layer37,ans_prob_lens_edit_layer38,ans_prob_lens_edit_layer39,ans_prob_lens_edit_layer40,ans_prob_lens_edit_layer41,ans_prob_lens_edit_layer42,ans_prob_lens_edit_layer43,ans_prob_lens_edit_layer44,ans_prob_lens_edit_layer45,ans_prob_lens_edit_layer46,ans_prob_lens_edit_layer47,ans_prob_lens_edit_layer48,ans_prob_lens_edit_layer49,ans_prob_lens_edit_layer50,ans_prob_lens_edit_layer51,ans_prob_lens_edit_layer52,ans_prob_lens_edit_layer53,ans_prob_lens_edit_layer54,ans_prob_lens_edit_layer55,ans_prob_lens_edit_layer56,ans_prob_lens_edit_layer57,ans_prob_lens_edit_layer58,ans_prob_lens_edit_layer59,ans_prob_lens_edit_layer60,ans_prob_lens_edit_layer61,ans_prob_lens_edit_layer62,ans_prob_lens_edit_layer63,ans_prob_lens_edit_layer64,ans_prob_lens_edit_layer65,ans_prob_lens_edit_layer66,ans_prob_lens_edit_layer67,ans_prob_lens_edit_layer68,ans_prob_lens_edit_layer69,ans_prob_lens_edit_layer70,ans_prob_lens_edit_layer71,ans_prob_lens_edit_layer72,ans_prob_lens_edit_layer73,ans_prob_lens_edit_layer74,ans_prob_lens_edit_layer75,ans_prob_lens_edit_layer76,ans_prob_lens_edit_layer77,ans_prob_lens_edit_layer78,ans_prob_lens_edit_layer79,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,1.1958307368331589e-05,8.360848369193263e-06,5.029458861827152e-06,8.207133760151919e-06,3.1112972465052735e-06,2.584098638180876e-06,4.490626906772377e-06,1.2364665053610224e-05,9.216249964083545e-06,1.1235033525736071e-05,6.763782039342914e-06,6.0813731579401065e-06,1.1271514267718885e-05,2.0656918877648422e-06,6.295556431723526e-06,1.3218123058322817e-06,3.74581304640742e-06,1.009727498058055e-06,1.0626609764585737e-05,9.855836651695427e-06,7.951559837238165e-07,4.095076292287558e-06,1.0230394764221273e-05,8.21793764771428e-06,5.767805123468861e-05,4.8052614147309214e-05,2.3852449885453098e-05,3.110652323812246e-05,0.00012190874258521944,1.7988702893489972e-05,0.0009016463300213218,0.0003271044697612524,0.0008174532558768988,0.0006072740070521832,0.0004866295785177499,0.001667353673838079,0.000240794601268135,0.06342467665672302,0.01944733038544655,0.036977458745241165,0.009940478950738907,0.014287900179624557,0.852806031703949,0.7620056867599487,0.6811317205429077,0.5801791548728943,0.5701795220375061,0.3339076042175293,0.4440406858921051,0.28449514508247375,0.22768639028072357,0.3607270121574402,0.30450698733329773,0.12962815165519714,0.05081506073474884,0.08345042914152145,0.06742661446332932,0.14784860610961914,0.09515467286109924,0.1640942245721817,0.10604976117610931,0.07565146684646606,0.06731705367565155,0.059903375804424286,0.07558917999267578,0.06737436354160309,0.0950746014714241,0.09477025270462036,0.040318336337804794,0.035559795796871185,0.03586212918162346,0.031739916652441025,0.047137774527072906,0.04873700812458992,0.061806485056877136,0.03970222547650337,0.06950255483388901,0.05795757472515106,0.030441656708717346,0.01642378233373165,0.0001257472176803276,0.00335746631026268
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,7.840794182811806e-07,5.44603551588807e-07,8.220892050303519e-05,8.903898560674861e-06,7.814624041202478e-06,1.648531724640634e-05,4.9012874114851e-06,1.3265998859424144e-05,9.533765478408895e-06,5.660629994963529e-06,1.1575778444239404e-05,1.1604500286921393e-05,4.376526248961454e-06,4.590314802044304e-06,9.993174899136648e-06,1.4590465980290901e-05,5.036372385802679e-05,6.648016551480396e-06,2.703390919123194e-06,2.5455341528868303e-05,3.450801159488037e-05,8.366474503418431e-05,1.7417110939277336e-05,4.522724339039996e-06,1.3200083230913151e-05,1.1130137863801792e-05,3.5656717045640107e-06,4.870448719884735e-06,6.776433565391926e-06,9.96772178041283e-06,2.4819589725666447e-06,1.4319062984213815e-06,2.6236129997414537e-06,7.704269364694483e-07,4.3958903006569017e-07,8.522731604898581e-07,1.8409279789466382e-07,2.140436890840647e-06,2.4707183001737576e-06,9.003179570754583e-07,1.8543393025538535e-06,3.3773278573789867e-06,2.99681090609738e-07,3.557452998848021e-07,3.627268085892865e-07,1.3819376931678562e-07,1.1166628155478975e-07,4.794850383404992e-07,1.1374914521411483e-07,4.676801523828544e-08,3.6773364797682007e-08,4.923799323819367e-08,1.5922489637887338e-07,5.484975673653025e-08,4.368730088799566e-08,1.3089641370811478e-08,1.3967536460768315e-08,5.977316419603085e-09,3.4311518071206137e-09,2.8707953791951013e-09,2.7896265297755463e-09,1.2784880931704379e-09,1.6744116093647676e-09,8.856116950894943e-10,3.0057210054224015e-09,8.057829958829643e-10,3.883525445669278e-10,1.8366337617425899e-10,6.273311731197495e-11,2.2651541753404558e-10,6.520123885245255e-10,1.495501167347868e-09,1.49843764063462e-08,1.1488505435863772e-07,2.688128120098554e-07,2.636215185702895e-06,7.950259259814629e-07,2.0292291083023883e-05,2.9639613785548136e-05,5.752265678893309e-06,0.1128707081079483,0.8184218406677246
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,3.498153455439024e-05,2.1957888748147525e-05,2.5810320948949084e-05,1.701208202575799e-05,2.7988753572572023e-05,0.0003666477568913251,1.3783755093754735e-05,5.7489678511046804e-06,2.8612746518774657e-06,8.16813439996622e-07,7.851977898098994e-06,7.062442364258459e-06,4.62812022306025e-06,2.4257251425297e-06,6.004312353979913e-07,7.290742587429122e-07,5.4683109738107305e-06,1.932622126332717e-06,1.0070790267491248e-05,8.96678011486074e-06,1.1722156614268897e-06,3.491544703138061e-06,1.4941941799406777e-06,1.1584756975935306e-05,8.413995601586066e-06,9.784495887288358e-06,1.7350799907944747e-06,2.5204684789059684e-05,4.0746839658822864e-05,8.767071267357096e-05,2.6956717192661017e-05,3.562907295417972e-05,8.907911978894845e-05,0.0001256278483197093,0.0002755692694336176,0.0010273868683725595,2.9469225410139188e-05,6.0161433793837205e-05,0.00018660110072232783,0.0001970604935195297,0.00024981822934933007,0.0005248295492492616,0.00011635444388957694,1.0452152309881058e-05,7.701248250668868e-05,4.892079232377e-05,6.520665920106694e-05,0.0003086600045207888,0.00020771710842382163,5.700976907974109e-05,0.00026301838806830347,1.9585484551498666e-05,0.00028877638396807015,5.640444942400791e-05,4.792262916453183e-05,0.00013038625183980912,3.6732621083501726e-05,3.836199175566435e-05,2.3119935576687567e-05,2.5502677090116777e-05,5.089240221423097e-05,5.503904685610905e-05,4.431964043760672e-05,3.958380330004729e-05,1.998750121856574e-05,2.6018056814791635e-05,1.8042675947071984e-05,4.1238567064283416e-05,4.351880488684401e-05,0.00019559639622457325,4.6175071474863216e-05,3.35098484356422e-05,7.083320087986067e-05,1.0515799658605829e-05,4.6031469537410885e-05,1.8245586034026928e-05,1.963681097549852e-05,0.00017324757936876267,0.00010830596147570759,0.0011660943273454905,8.765982784098014e-05,0.00093993847258389
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,7.155416824389249e-06,4.639348389900988e-06,1.2099031891921186e-06,6.310548883448064e-07,5.381475034482719e-07,4.102749926460092e-07,6.001483825457399e-07,7.718466008554969e-07,2.0037829528973816e-07,3.7127168184269976e-07,6.72303201554314e-07,4.1735711420187727e-07,3.0555315788660664e-07,6.404832220141543e-07,4.046855224260071e-07,9.698032954474911e-07,4.814913268091914e-07,1.7156648368654714e-07,3.054090882415039e-07,1.088546852656691e-07,7.888781539122647e-08,2.908276428570389e-07,1.7352272152493242e-06,4.022902828637598e-07,2.028330214898233e-07,2.7430144200479845e-07,1.270708196443593e-07,4.7097010735797085e-08,1.5284355470157607e-07,1.514438991989664e-07,3.7908484955551103e-06,3.7281981803971576e-06,1.011850963550387e-05,4.279170298104873e-06,9.727378937895992e-07,1.0034126489699702e-06,2.9973236905789236e-06,3.3696594528009882e-06,6.623527042393107e-06,6.468089122790843e-05,6.868694981676526e-06,1.348974478787568e-06,6.577302542609686e-07,6.620966814807616e-07,8.20409240986919e-07,5.153449365025153e-07,7.794243828129765e-08,6.120836104628324e-08,2.6117451312757112e-08,4.7814715742333647e-08,3.047489371965639e-08,7.593220274770829e-09,4.732970282361748e-08,1.3495962569720632e-08,3.641755119687673e-09,2.5455801910823084e-09,7.64623475646431e-09,7.326959927667076e-09,7.1424555159183e-09,1.9277097251801933e-08,8.168065335212304e-09,8.64905214115197e-09,7.362445320069355e-09,1.5191506719247627e-08,5.441607164868856e-09,9.392368660599004e-09,4.706189216108214e-09,5.764754895665192e-09,1.4222989896950367e-08,1.0921477056058393e-08,5.193028940198019e-08,4.189329771975281e-08,4.502649630921951e-08,5.836830041516805e-08,4.4495276796396865e-08,2.5999531771958573e-07,1.7303462129802938e-07,1.1297352102701552e-06,2.4420596673735417e-06,6.901573783579806e-07,0.0019810176454484463,0.0036820208188146353
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,1.0276338798576035e-05,6.777550879633054e-06,4.746089416585164e-06,5.430113674265158e-07,6.449894840443449e-07,1.9903022518974467e-07,2.478527107996342e-07,1.5571063727293222e-07,5.601593784376746e-07,1.014618305816839e-06,5.817216788273072e-07,1.2601765320141567e-06,7.391408871626481e-07,6.479963872152439e-07,7.60834552693268e-07,9.734377499626135e-07,1.7776159211280174e-06,4.354136763140559e-06,4.171751243120525e-06,1.7732363630784675e-05,2.742408241829253e-06,1.0293940704286797e-06,5.947041472609271e-07,6.499492428702069e-07,6.664255352006876e-07,1.7826141629484482e-06,4.695515087860258e-07,1.5490149962715805e-06,1.3842216048942646e-06,8.588590958424902e-07,7.874718335187936e-07,4.6882644255674677e-07,8.072076980170095e-07,1.977577994694002e-06,6.702983910145122e-07,1.5885364064160967e-06,4.421560220180254e-07,2.485842060195864e-06,1.2289015103306156e-06,2.369418780290289e-06,1.2308328223298304e-06,1.1050234434151207e-06,4.195604105916573e-06,7.4053550633834675e-06,2.5429087600059574e-06,1.500156827205501e-06,1.6622306020508404e-06,2.04971615858085e-06,6.085741006245371e-06,1.7814968487073202e-06,2.8428494260879233e-06,5.424934442999074e-06,3.310709644210874e-06,3.5599764487415086e-06,3.314289642730728e-06,3.279665907029994e-05,6.413055962184444e-05,3.647740959422663e-05,6.256189954001456e-05,4.966751657775603e-05,0.00010536451736697927,0.00011092281783930957,0.00014609978825319558,0.00015293958131223917,9.440474241273478e-05,0.0001613697240827605,0.00022166325652506202,8.561991126043722e-05,0.00012340368994046003,2.4446771931252442e-05,5.3189160098554567e-05,4.2588228097883984e-05,2.8815433324780315e-05,5.55195365450345e-05,6.439550634240732e-05,3.035504232684616e-05,8.825545592117123e-06,2.5120411009993404e-05,0.0005822423263452947,0.0002527397882658988,4.497737972997129e-05,0.0001568612497067079
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,8.376198093174025e-05,0.000227444339543581,9.736032370710745e-05,4.460528725758195e-05,9.105809294851497e-05,0.000266324874246493,2.1734040274168365e-05,3.0407114536501467e-05,0.00010391364776296541,3.0071843866608106e-05,2.519603913242463e-05,3.029738763871137e-05,1.662450267758686e-05,1.1188147254870273e-05,1.1013321454811376e-05,4.404611900099553e-06,7.24168203305453e-05,5.3662326536141336e-05,0.00019214114581700414,2.3018994397716597e-05,1.2546561265480705e-05,4.840930614591343e-06,7.715310857747681e-06,7.593862392241135e-06,3.508774170768447e-05,8.201530727092177e-05,2.578543353592977e-05,9.204560774378479e-05,0.00017766129167284817,0.0005677040899172425,0.0006594264996238053,0.00028913799906149507,0.0005293216090649366,0.00028213104815222323,0.0009916495764628053,0.0008113990188576281,4.367704241303727e-05,0.0003625739482231438,8.600065484642982e-05,9.945517376763746e-05,2.3816493921913207e-05,0.0001013363289530389,7.702047696511727e-06,5.066234734840691e-06,4.69388032797724e-06,7.053295121295378e-06,1.0695194760046434e-05,7.452211866620928e-05,0.00012953401892445982,0.00025149676366709173,0.00024003743601497263,4.8783553211251274e-05,0.00019334795069880784,9.967320511350408e-05,7.221358100650832e-05,0.00012792579946108162,3.2144242140930146e-05,1.9279545085737482e-05,1.2448057532310486e-05,2.4913584638852626e-05,4.663696381612681e-05,2.07571192731848e-05,6.399802077794448e-05,2.4756240236456506e-05,1.6136573322000913e-05,6.866285275464179e-06,1.197765777760651e-05,1.922850242408458e-05,6.230290182429599e-06,6.995964940870181e-05,5.515976226888597e-05,4.496122073760489e-06,4.779682058142498e-06,2.698060779948719e-05,1.25314772958518e-05,6.93905349180568e-06,4.169595285929972e-06,6.486079655587673e-06,8.788547347649e-06,2.2244485080591403e-05,0.0021015105303376913,0.003255456918850541
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,1.4282503570939298e-06,6.556426797033055e-06,3.559220931492746e-05,1.7541450461067143e-06,5.031537057220703e-06,1.498185952186759e-06,9.004888852359727e-07,1.1149410283906036e-06,2.754289198492188e-06,9.955908808478853e-07,2.0653946194215678e-05,2.197846697526984e-05,0.00019578055071178824,2.2409443772630766e-05,1.935821637744084e-05,3.7751988202217035e-06,4.908662958769128e-06,5.882183813810116e-06,1.9469629478408024e-05,1.0315543477190658e-05,2.3851468995417235e-06,1.2057584171998315e-05,8.456137038592715e-06,2.7741520170820877e-05,2.1213877516856883e-06,3.4845181744458387e-06,5.930301654188952e-07,3.190526740581845e-07,7.682592695346102e-07,1.944829222111366e-07,9.401463785252417e-07,1.4250815638661152e-06,2.94460960503784e-06,3.6412520785233937e-06,1.7462122059441754e-06,9.036269830176025e-07,4.650782557291677e-06,2.2541744328918867e-06,7.954174066071573e-07,9.160434046862065e-07,6.996744446041703e-07,7.91753063822398e-06,4.455488124222029e-06,1.9140998119837604e-06,1.0667603191905073e-06,4.996466941520339e-06,2.697544687180198e-06,4.665210326493252e-06,3.7340605558711104e-06,4.93774041387951e-06,2.016539156102226e-06,4.168469331489177e-06,1.801536200218834e-06,2.5519527753203874e-06,2.501587232472957e-06,5.937006335443584e-07,4.708506082806707e-07,4.257522050465923e-07,3.148083180803951e-07,2.1963521135148767e-07,1.3135505128047953e-07,2.2130906529582717e-07,3.654461977475876e-07,5.789711394754704e-07,6.451001581808669e-07,2.296196726092603e-07,1.1567404811785309e-07,1.1639896513315762e-07,1.8321784978070355e-07,1.8377566846083937e-07,1.0770110492330787e-07,5.2631875746556034e-08,1.0257382854206298e-07,2.1424528995339642e-07,1.461893930354563e-07,3.567208750610007e-07,9.48059195593487e-08,5.056083978161041e-07,1.7468595103764528e-07,1.38705004815165e-07,0.0003488212823867798,0.00012365543807391077
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.00044338448788039386,0.0003071701794397086,6.725626735715196e-05,0.00013114430475980043,0.00021594656573142856,2.320125167898368e-05,3.606847894843668e-05,1.9627943402156234e-05,8.727699605515227e-05,3.555052899173461e-05,3.234388941564248e-06,2.9608361728605814e-05,4.219023321638815e-05,9.79644937615376e-06,0.0002833704638760537,0.00019254686776548624,7.322259625652805e-05,0.000179520997335203,0.00013471108104567975,0.00014256344002205878,8.525497105438262e-05,0.000126057886518538,4.066850306116976e-05,1.7037219777193968e-06,5.473446890391642e-06,2.3898442123027053e-06,2.750382691374398e-06,3.0073748348513618e-05,7.49409855416161e-06,1.2697745660261717e-05,1.8666158211999573e-05,5.266792140901089e-05,0.00030212249839678407,8.97804566193372e-05,0.0001832763955462724,0.00018768197332974523,9.831837087403983e-05,9.105053322855383e-06,9.642312215873972e-05,6.51493883196963e-06,0.0001418825559085235,0.00011831531446659938,3.068293517571874e-05,1.1103629731223918e-05,2.2638969312538393e-06,5.935089120612247e-06,7.5294707357898e-07,1.1310162335576024e-05,9.418279660167173e-06,3.1171077807812253e-06,2.641573519213125e-05,9.652244443714153e-06,6.682500043098116e-06,2.3341648557106964e-05,2.7870952180819586e-05,5.738776962971315e-06,2.57931951637147e-05,2.9686294510611333e-05,0.0002695918083190918,0.0003005288017448038,0.0007192473858594894,0.005935703404247761,0.017197242006659508,0.011408930644392967,0.03209821507334709,0.30365991592407227,0.0768173485994339,0.2719883918762207,0.14582319557666779,0.14023016393184662,0.3841264247894287,0.8586582541465759,0.9880223274230957,0.985450029373169,0.9700667858123779,0.9806829690933228,0.9791000485420227,0.9976415634155273,0.7472355365753174,0.8946576714515686,4.840598558075726e-05,0.054478343576192856
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,2.444701749482192e-06,2.0107312082018325e-07,5.3039187264403154e-08,6.206930436292168e-08,2.5758455990398943e-07,6.200021402946732e-07,1.1716335279743362e-07,7.56394129552973e-08,2.1267457839257986e-07,1.3039539226156194e-07,2.2267299470968283e-07,2.6564151767161093e-07,8.473473656067654e-08,1.2275589256205421e-07,7.632463194795491e-08,8.064745316005428e-08,1.1568143065687764e-07,1.3718532443363074e-07,3.4365911005806993e-07,3.0193922384569305e-07,4.344615831541887e-07,8.379184919249383e-07,4.15464995739967e-07,1.4800618828303413e-06,7.19572290108772e-06,3.736144208232872e-06,4.050033624025673e-07,4.773617661157914e-07,5.282686856844521e-07,1.4538419463860919e-06,1.0106176659974153e-06,7.00673865594581e-07,4.409432960983395e-07,7.965081181282585e-07,8.656315344524046e-07,2.0388657162584423e-07,2.7180610118193727e-07,1.1336179568388616e-06,7.111947297744337e-07,6.524401783281064e-07,6.368167078107945e-07,1.2706482266366947e-06,3.0962142773205414e-05,3.721462780958973e-05,9.67099258559756e-05,5.481460539158434e-05,4.8699839680921286e-05,5.485531437443569e-05,5.3321593441069126e-05,6.16265315329656e-05,6.620926433242857e-05,5.5717293435009196e-05,3.147351890220307e-05,4.316052218200639e-05,3.067635771003552e-05,1.4922529771865811e-05,1.5792491467436776e-05,1.6051135389716364e-05,1.7002505046548322e-05,1.0937465049210005e-05,1.365984007861698e-05,6.90406250214437e-06,1.0795782145578414e-05,5.217369107413106e-06,2.3002255602477817e-06,1.7915396028911346e-06,2.8144729640189325e-06,4.177923528914107e-06,8.198208888643421e-06,1.0816302165039815e-05,1.1835397344839294e-05,3.29824943037238e-05,3.7420442822622135e-05,2.5749253836693242e-05,1.5875913959462196e-05,2.6415460524731316e-05,3.6101146179134957e-06,1.0030462362919934e-06,6.033450290487963e-07,2.7754546749747533e-07,0.4517287313938141,0.0672052800655365
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,1.499761538070743e-06,4.723286110674962e-06,2.8590188776433934e-06,0.00013766411575488746,2.087619031954091e-05,0.00013097558985464275,0.00015364533464889973,0.00022768546477891505,2.7491963919601403e-05,0.00015336340584326535,0.00021469469356816262,2.4057741029537283e-05,4.6507734623446595e-06,2.5237204681616277e-05,3.1353956728708e-06,1.4660098486274364e-06,8.377396625292022e-07,9.17530940114375e-07,1.120789306696679e-06,2.313543518539518e-06,5.007781146559864e-05,2.723276338656433e-05,4.8870629143493716e-06,1.0089205716212746e-05,6.6641305238590576e-06,1.6891255654627457e-05,1.3749929166806396e-05,5.6854155445762444e-06,5.071082341601141e-06,3.0360001801454928e-06,2.5959832328226184e-06,1.2724366342808935e-06,1.8918170496817766e-07,1.745959536947339e-07,5.1832012104569e-07,3.6185449516779045e-06,2.6389625418232754e-06,1.8494044979888713e-06,1.985894641620689e-06,1.9012683196706348e-06,1.5566448610115913e-06,2.4024484446272254e-06,1.3744915122515522e-05,1.2848889127781149e-05,3.101911715930328e-05,4.7652374632889405e-05,1.3695024790649768e-05,2.1688179913326167e-05,1.9570716176531278e-05,9.955833775165956e-07,1.1109186743851751e-06,1.5639863022443024e-06,4.941356564813759e-06,1.0815118685059133e-06,7.594287126266863e-06,1.4545703379553743e-05,4.718520358437672e-05,0.00018749022274278104,0.00019315993995405734,0.00012990378309041262,8.206538041122258e-05,5.618625436909497e-05,6.0031277826055884e-05,4.4383345084497705e-05,8.349725976586342e-05,4.2887953895842656e-05,4.617401646100916e-05,5.389768193708733e-05,6.122297054389492e-05,5.953112486167811e-05,6.915478297742084e-05,0.00011692690895870328,9.591275011189282e-05,0.00011435864144004881,0.00010726614709710702,0.00036415469367057085,0.00023457547649741173,7.764330803183839e-05,0.0001632577768759802,0.0001438155595678836,7.766246199025773e-06,4.225887096254155e-05
