explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,5.700729616364697e-06,2.684429091459606e-06,1.716572296572849e-05,1.0784799087559804e-05,2.4303355530719273e-05,1.801495091058314e-05,3.869167630909942e-05,4.943287422065623e-05,4.515160253504291e-05,1.955229163286276e-05,2.3432638045051135e-05,2.1234516680124216e-05,4.81416609545704e-05,9.548495290800929e-05,5.302601130097173e-05,0.00011775225721066818,0.0009164244402199984,0.0002847786818165332,0.010889056138694286,0.006327914074063301,0.002388155786320567,0.0011945281876251101,0.0035201311111450195,0.013228765688836575,0.06080470234155655,0.023569006472826004,0.05906805768609047,0.21460440754890442,0.07926948368549347,0.025857193395495415,0.005619112402200699,0.007578761782497168,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,2.6214882382191718e-05,2.063296051346697e-05,3.637226109276526e-05,5.05588213854935e-05,4.967782660969533e-05,1.727504059090279e-05,4.8902864364208654e-05,8.807744598016143e-05,6.884673348395154e-05,0.00013895171287003905,0.0001982403773581609,0.00016889958351384848,6.505169585580006e-05,0.00011764563532778993,5.6503311498090625e-05,0.00020476264762692153,0.00030490817152895033,0.0005399613874033093,0.0008362297085113823,0.013972482644021511,0.03006724640727043,0.027476971969008446,0.04362057149410248,0.23669371008872986,0.1187969222664833,0.9981600642204285,0.9983260035514832,0.9910576343536377,0.946540355682373,0.8684754371643066,0.6056381464004517,0.9063793420791626,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,2.786502818707959e-06,1.6157246136572212e-05,2.5117626137216575e-05,1.6010459148674272e-05,2.4091645173029974e-05,2.9538909075199626e-05,3.09465904138051e-05,1.8548662410466932e-05,9.641877113608643e-06,1.0318753083993215e-05,3.614631623349851e-06,1.4693202956550522e-06,2.882415174099151e-06,1.8984117104992038e-06,8.534432708984241e-06,0.00010543164535192773,0.006714430637657642,0.0016467199893668294,0.01617986336350441,0.031198088079690933,0.5982660055160522,0.9425906538963318,0.821790874004364,0.7978199124336243,0.7759451270103455,0.45484253764152527,0.6262030601501465,0.6256300806999207,0.4804006814956665,0.2078789919614792,0.1598183810710907,0.060179777443408966,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,2.6435365725774318e-05,1.4215612281986978e-05,1.5572361007798463e-05,3.733766425284557e-05,9.653557754063513e-06,1.929502650455106e-05,2.9912631362094544e-05,5.000786586606409e-06,1.21583789223223e-05,1.2047330528730527e-05,4.469139821594581e-05,1.680523382674437e-05,3.171183925587684e-05,1.3404028322838712e-05,2.1352843759814277e-05,2.2987818738329224e-05,3.086981814703904e-05,0.000352446484612301,0.003382917260751128,0.00842057541012764,0.06174170970916748,0.21182236075401306,0.5319910049438477,0.765004575252533,0.834202766418457,0.963596761226654,0.9946611523628235,0.9389642477035522,0.9739271402359009,0.9654022455215454,0.9810303449630737,0.9640284180641174,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,2.3608095943927765e-05,9.008048073155805e-05,0.000410248787375167,0.0002692000998649746,0.00022367808560375124,0.00012002487346762791,0.000136849150294438,0.0001993290934478864,0.0002757070178631693,0.00042753919842652977,0.0001811641122912988,0.0001288917410420254,9.337349911220372e-05,8.028253068914637e-05,6.620220665354282e-05,0.0003399269189685583,0.013771934434771538,0.012141302227973938,0.039198700338602066,0.18265500664710999,0.1602492332458496,0.1516246646642685,0.080891452729702,0.07210139185190201,0.5228397846221924,0.4165089428424835,0.48538708686828613,0.6120614409446716,0.6890923380851746,0.8246616125106812,0.7804163694381714,0.8152814507484436,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,3.124204158666544e-05,2.8135504180681892e-05,5.704967043129727e-05,3.6827503208769485e-05,2.9320257453946397e-05,1.5710385923739523e-05,1.4497376469080336e-05,2.8605276384041645e-05,1.1740045010810718e-05,1.2161399354226887e-05,1.2086949936929159e-05,8.887127478374168e-06,1.60632607730804e-05,2.7100948500446975e-05,2.3086600776878186e-05,2.0933530322508886e-05,0.00011565212480491027,3.19381506415084e-05,0.00016687503375578672,0.0002694505383260548,0.0014823108213022351,0.0006905474001541734,0.0011737571330741048,0.0008107689791359007,0.001701020635664463,0.008258230984210968,0.002606819150969386,0.003956065513193607,0.0021028260234743357,0.006001690402626991,0.010622157715260983,0.01834581419825554,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,5.982138191029662e-06,8.355310455954168e-06,6.518586815218441e-06,4.984927272744244e-06,1.0074441888718866e-05,1.8622195057105273e-05,5.904054887651e-06,1.1879183148266748e-05,7.472710422007367e-06,7.512269348808331e-06,6.3776942624826916e-06,2.4015216695261188e-06,4.519218236964662e-06,5.080766186438268e-06,2.0955449144821614e-05,6.607949762837961e-05,0.0008372681913897395,0.0010788073996081948,0.05482630431652069,0.1605905294418335,0.10485193878412247,0.14458662271499634,0.3327920436859131,0.49674710631370544,0.5555989742279053,0.9113878607749939,0.9633992314338684,0.9278439283370972,0.9109598994255066,0.9626033902168274,0.971393346786499,0.9884019494056702,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,3.212128285667859e-05,9.80281038209796e-05,9.232595766661689e-05,5.336829781299457e-05,7.685652963118628e-05,0.00013173723709769547,0.00015088508371263742,5.8727226132759824e-05,2.7981193852610886e-05,1.7021629901137203e-05,7.959542563185096e-05,3.596920578274876e-05,4.345255365478806e-05,3.0031544156372547e-05,7.336797716561705e-05,0.00011687412916216999,0.001300272298976779,0.0022404794581234455,0.0032377331517636776,0.01196343544870615,0.06787505000829697,0.09740599989891052,0.3144301176071167,0.5349119901657104,0.9585115313529968,0.9585535526275635,0.969595193862915,0.9680524468421936,0.9590742588043213,0.9592185616493225,0.9586973190307617,0.9760956764221191,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,5.481901553139323e-06,3.44716045219684e-06,2.2011229248164454e-06,4.372775492811343e-06,4.384568910609232e-06,1.5544081179541536e-05,5.69257463212125e-06,1.2489221262512729e-05,3.3205469662789255e-05,1.567688195791561e-05,1.498405708844075e-05,2.606614725664258e-05,3.624503051469219e-06,5.529236659640446e-06,1.64339471666608e-05,5.8912810345645994e-05,5.315096859703772e-05,4.769650331581943e-05,0.000794125022366643,0.0013176959473639727,0.07675285637378693,0.2482229769229889,0.258812814950943,0.5188536047935486,0.5699529647827148,0.5862835049629211,0.5392661690711975,0.6426886916160583,0.6620944142341614,0.858228862285614,0.938552975654602,0.9585313200950623,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,7.423942065543088e-07,1.1462924476290937e-06,1.5294752984118531e-06,9.384643817611504e-07,2.0357222183520207e-06,1.1236031696171267e-06,5.510850087375729e-07,1.7617575167605537e-06,8.595155236434948e-07,5.683269819201087e-07,4.592803861669381e-07,4.940758913107857e-07,8.407563427681453e-07,9.912620271279593e-07,5.552100788008829e-07,1.879162141449342e-06,1.4797001313127112e-05,7.729167555226013e-05,0.00011892207112396136,0.00036857937811873853,0.0005551696522161365,0.0010574564803391695,0.0026647138874977827,0.0019791347440332174,0.004701236262917519,0.04280485957860947,0.25576430559158325,0.4819701611995697,0.6057567596435547,0.7758848667144775,0.5246700644493103,0.5268068313598633,0.9786726832389832,0.9694126844406128
