explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,3.4051419106617686e-07,3.645560354925692e-06,8.591183359385468e-06,9.239253995474428e-05,6.661995575996116e-05,8.651172538520768e-05,0.0009406108874827623,0.0012442339211702347,0.0012632873840630054,0.0004390661488287151,0.0011870271991938353,0.0021038451232016087,0.005873668473213911,0.0063739437609910965,0.013306945562362671,0.011836504563689232,0.022076480090618134,0.0375095009803772,0.42867881059646606,0.300942599773407,0.09476762264966965,0.00866981316357851,0.07775567471981049,0.1758837103843689,0.36847686767578125,0.28385621309280396,0.3716691732406616,0.3537372350692749,0.46647900342941284,0.49934935569763184,0.1384737342596054,0.07863514870405197,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,3.342204536238569e-06,0.0004161378601565957,0.0006175777525641024,0.00027541155577637255,0.00036446659942157567,0.00013188000593800098,7.738872955087572e-05,0.0003052657120861113,0.0012192586436867714,0.005301755852997303,0.02022845298051834,0.009875771589577198,0.002680946374312043,0.004947472829371691,0.009843237698078156,0.01431370060890913,0.03162238001823425,0.04338046908378601,0.07703317701816559,0.11004302650690079,0.41207829117774963,0.23281468451023102,0.273936003446579,0.5328359007835388,0.7695924043655396,0.9996393918991089,0.9995751976966858,0.9980775117874146,0.9964236617088318,0.9940190315246582,0.9784731864929199,0.9929696917533875,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,2.5180406737490557e-06,0.0016192522598430514,0.012892019934952259,0.002431435976177454,0.0067187221720814705,0.010237920098006725,0.00452079065144062,0.00340281636454165,0.005134619306772947,0.0030258966144174337,0.0054129972122609615,0.0029687394853681326,0.01920325867831707,0.005059196613729,0.011174707673490047,0.02541724592447281,0.019417429342865944,0.01337746437638998,0.023781027644872665,0.019278621301054955,0.028637630864977837,0.00262302509509027,0.009237646125257015,0.11565816402435303,0.1768135279417038,0.12425726652145386,0.35707587003707886,0.1974944770336151,0.39029398560523987,0.36111047863960266,0.20688726007938385,0.40401706099510193,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.00012324874114710838,0.00014840724179521203,0.0008284272043965757,0.004127110820263624,0.002257291227579117,0.0033257969189435244,0.004882485140115023,0.0024566766805946827,0.0008987134788185358,0.0005869179731234908,0.004770116880536079,0.0003429278149269521,0.001096059917472303,0.0008978351834230125,0.0008599034044891596,0.0010934235760942101,0.010382547043263912,0.13335025310516357,0.4881179630756378,0.8718942403793335,0.9655460119247437,0.9856593012809753,0.992653489112854,0.9899933934211731,0.9803871512413025,0.9767518043518066,0.9856833815574646,0.986182689666748,0.9724540114402771,0.9830420017242432,0.9929494857788086,0.9873191118240356,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.00014239439042285085,0.0025388433132320642,0.25092029571533203,0.05472850427031517,0.2650209367275238,0.1522756665945053,0.5822587609291077,0.5825002789497375,0.5377561450004578,0.3169693648815155,0.32113516330718994,0.022898273542523384,0.0532563254237175,0.004340402781963348,0.018623190000653267,0.02694588527083397,0.11351057142019272,0.12311037629842758,0.1568879932165146,0.1482042819261551,0.2918344736099243,0.3099749684333801,0.24082046747207642,0.2478591650724411,0.18276816606521606,0.18111050128936768,0.1893410086631775,0.46974265575408936,0.6796913146972656,0.6812962293624878,0.5510609745979309,0.7391737699508667,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,7.310033197427401e-06,0.00015384829021058977,0.0010756253032013774,0.006914864294230938,0.005209510214626789,0.008918036706745625,0.005697052925825119,0.0085831917822361,0.006484678015112877,0.009189286269247532,0.005282251629978418,0.005807240027934313,0.002940335776656866,0.0006739512900821865,0.001412642770446837,0.0005523249274119735,0.0011801484506577253,0.0013524137903004885,0.0034227976575493813,0.004656170029193163,0.003134379629045725,0.0025583086535334587,0.0032466216944158077,0.0019308567279949784,0.001252459827810526,0.0049938298761844635,0.006886616814881563,0.005043978337198496,0.006262532435357571,0.007234564051032066,0.010150902904570103,0.007737255189567804,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.9862668523273896e-06,8.1185920862481e-05,3.660937727545388e-05,7.640694093424827e-05,0.00010588704026304185,0.0001467349356971681,5.851284367963672e-05,0.00015669036656618118,0.000239037603023462,0.0002890567120630294,0.00013699961709789932,2.9980048566358164e-05,4.748905121232383e-05,7.962527888594195e-05,0.0007502963999286294,0.0020696474239230156,0.008526908233761787,0.04492130130529404,0.09805018454790115,0.23354391753673553,0.13214588165283203,0.09647474437952042,0.05844084173440933,0.1585560292005539,0.9669933319091797,0.9383360743522644,0.9423924088478088,0.965592622756958,0.9104295969009399,0.8156010508537292,0.5167081952095032,0.601283073425293,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,6.013697657181183e-06,0.0005653479020111263,0.0011860773665830493,0.0007680926355533302,0.0013837694423273206,0.007781532593071461,0.010881314985454082,0.0015064068138599396,0.001977689564228058,0.00160373211838305,0.01001050230115652,0.004217691719532013,0.00591299356892705,0.003667529672384262,0.0034014831762760878,0.000918705016374588,0.00398859241977334,0.008893287740647793,0.0070756408385932446,0.04720389470458031,0.17402397096157074,0.10416581481695175,0.11718897521495819,0.15593929588794708,0.35549482703208923,0.3955743908882141,0.511935830116272,0.34503498673439026,0.4194479286670685,0.6864007711410522,0.4085342288017273,0.38212770223617554,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.59991748205357e-06,1.4353060578287113e-05,8.444042578048538e-06,7.740920409560204e-05,0.0007862410275265574,0.002194493543356657,0.0007879494223743677,0.0012111931573599577,0.007237426936626434,0.006777422968298197,0.010051974095404148,0.0061084129847586155,0.0016619915841147304,0.005844465922564268,0.006848094519227743,0.010644686408340931,0.011367572471499443,0.0024258983321487904,0.008054697886109352,0.016988426446914673,0.1720440834760666,0.35613805055618286,0.31094691157341003,0.20421510934829712,0.6240849494934082,0.6036756038665771,0.6178152561187744,0.731703519821167,0.801594078540802,0.9136093258857727,0.9813289642333984,0.9954833984375,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,1.7508537553112546e-07,8.860558295964438e-07,1.6967876490525668e-06,6.571087851625634e-06,2.1467008991749026e-05,7.4559620770742185e-06,1.178749789687572e-05,1.3702097021450754e-05,3.536696567607578e-06,1.944904624906485e-06,3.478899543551961e-06,2.185145149269374e-06,3.5146665595675586e-06,1.4759749319637194e-05,1.03672227851348e-05,1.2077673090971075e-05,0.0006838911795057356,0.006029712967574596,0.020861875265836716,0.21993127465248108,0.3173181116580963,0.24419787526130676,0.6623508930206299,0.9159666895866394,0.8333871960639954,0.9542433023452759,0.9714326858520508,0.9605703353881836,0.9529070258140564,0.9676666259765625,0.8224790096282959,0.751853346824646,0.9786726832389832,0.9694126844406128
