explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,ans_prob_lens_edit_layer32,ans_prob_lens_edit_layer33,ans_prob_lens_edit_layer34,ans_prob_lens_edit_layer35,ans_prob_lens_edit_layer36,ans_prob_lens_edit_layer37,ans_prob_lens_edit_layer38,ans_prob_lens_edit_layer39,ans_prob_lens_edit_layer40,ans_prob_lens_edit_layer41,ans_prob_lens_edit_layer42,ans_prob_lens_edit_layer43,ans_prob_lens_edit_layer44,ans_prob_lens_edit_layer45,ans_prob_lens_edit_layer46,ans_prob_lens_edit_layer47,ans_prob_lens_edit_layer48,ans_prob_lens_edit_layer49,ans_prob_lens_edit_layer50,ans_prob_lens_edit_layer51,ans_prob_lens_edit_layer52,ans_prob_lens_edit_layer53,ans_prob_lens_edit_layer54,ans_prob_lens_edit_layer55,ans_prob_lens_edit_layer56,ans_prob_lens_edit_layer57,ans_prob_lens_edit_layer58,ans_prob_lens_edit_layer59,ans_prob_lens_edit_layer60,ans_prob_lens_edit_layer61,ans_prob_lens_edit_layer62,ans_prob_lens_edit_layer63,ans_prob_lens_edit_layer64,ans_prob_lens_edit_layer65,ans_prob_lens_edit_layer66,ans_prob_lens_edit_layer67,ans_prob_lens_edit_layer68,ans_prob_lens_edit_layer69,ans_prob_lens_edit_layer70,ans_prob_lens_edit_layer71,ans_prob_lens_edit_layer72,ans_prob_lens_edit_layer73,ans_prob_lens_edit_layer74,ans_prob_lens_edit_layer75,ans_prob_lens_edit_layer76,ans_prob_lens_edit_layer77,ans_prob_lens_edit_layer78,ans_prob_lens_edit_layer79,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,1.5787143183843e-06,9.325411269855977e-07,1.7364023108257243e-07,6.948878308321582e-07,1.8031873878499027e-06,2.2681728296447545e-05,2.722834688029252e-05,4.169605381321162e-05,3.587725950637832e-05,6.176233728183433e-05,0.00013894191943109035,0.000112315290607512,9.938926814356819e-05,3.463105531409383e-05,5.288268766889814e-06,1.763657223818882e-06,4.105141670152079e-06,2.43409203903866e-06,3.915001343557378e-06,9.72392513176601e-07,1.3028164858042146e-06,4.151099346927367e-06,1.347645138594089e-06,1.6042605466282112e-06,1.3393022300078883e-06,2.5913807348842965e-06,3.409424834899255e-06,3.437444775045151e-06,5.787323061667848e-06,1.0915980510617374e-06,6.891114594509418e-07,7.887097126513254e-07,1.2805808182747569e-06,3.0376584163605003e-06,1.3318042419996345e-06,1.1534781378941261e-06,1.0994617696269415e-06,1.4528055771734216e-06,7.841333626856795e-07,1.2048388953189715e-06,6.7023693191003986e-06,7.92847822594922e-06,8.135594725899864e-06,1.945296617122949e-06,5.212616542848991e-06,2.7814610348286806e-06,1.6032994381021126e-06,3.2359139368054457e-06,2.687644609977724e-06,3.527642320477753e-06,3.329147375552566e-06,6.641259005846223e-06,1.6339632566086948e-05,2.7497799237607978e-05,7.055372407194227e-05,9.141884947894141e-05,2.6285872081643902e-05,5.3918862249702215e-05,4.528325007413514e-05,7.779586303513497e-05,7.00212040101178e-05,0.00018906776676885784,0.0001969019212992862,0.0002120009157806635,0.00021718461357522756,0.00016687494644429535,0.0004407957603689283,0.0005961904535070062,0.0001983856491278857,0.0003491374081932008,0.0003217677294742316,0.0005338748451322317,0.0002736305177677423,0.00026398382033221424,0.0002452109183650464,0.00011672194523271173,5.392463572206907e-05,9.274137846659869e-05,0.00020671557285822928,0.0003973179846070707,0.08630707114934921,0.03394823148846626
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,3.3142669053631835e-06,9.25276708585443e-06,7.426558568113251e-06,4.89798867420177e-06,1.0694492630136665e-05,1.852644891187083e-05,3.405467577977106e-05,7.471835851902142e-05,6.601252243854105e-05,6.135353032732382e-05,0.0008633363759145141,0.0007972900057211518,0.00021255099272821099,0.00021460965217556804,0.0002577868872322142,0.00013453596329782158,4.017239189124666e-05,3.0225752198020928e-05,0.00012461714504752308,3.712981924763881e-05,1.935622094606515e-05,3.6235152947483584e-05,3.6870122130494565e-05,0.00011719876056304201,2.2238362362259068e-05,2.6824171072803438e-05,1.1461246685939841e-05,2.2806086690252414e-06,1.4145673958410043e-05,2.8430300517356955e-05,3.0123168471618555e-05,4.369894304545596e-05,5.7741715863812715e-05,7.339506282733055e-06,1.1229964002268389e-05,1.55013822222827e-05,3.2635471143294126e-05,1.2321770554990508e-05,1.4481020116363652e-05,0.00012435695680323988,0.00018329535669181496,0.0003644243988674134,0.00021644840307999402,0.00045912686618976295,0.0002558907144702971,0.0005357443587854505,0.0001923449308378622,0.002135571325197816,0.005917651113122702,0.0021117422729730606,0.0024464752059429884,0.001603454235009849,0.0009390273480676115,0.0024405834265053272,0.0016331643564626575,0.0005476635415107012,0.00048452746705152094,0.0027516738045960665,0.001073511433787644,0.0017887490103021264,0.00043450656812638044,0.0005239777965471148,0.0015896313125267625,0.0004986676503904164,0.00040005918708629906,0.0002643795742187649,0.0001370682439301163,7.41836047382094e-05,0.00013734842650592327,8.4839848568663e-05,3.7865749618504196e-05,6.41632141196169e-05,0.00014187510532792658,0.00027804402634501457,6.13300726399757e-05,2.8230455427546985e-05,1.2808784958906472e-05,4.544721832644427e-06,8.507236088917125e-06,3.3838587114587426e-05,0.8543716669082642,0.6189217567443848
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,7.116747292457148e-05,6.74355833325535e-05,5.9212376072537154e-05,5.4971420468064025e-05,2.6451916710357182e-05,3.5079421650152653e-05,5.379947106121108e-05,3.671695230877958e-05,1.7074487914214842e-05,4.53612028650241e-06,2.6054606223624432e-06,2.1100554477015976e-06,3.827252385235624e-06,6.864655119898089e-07,7.363555596384685e-07,4.7201868369484146e-07,1.9511578557285247e-06,1.8678783817449585e-06,4.6251034291344695e-07,8.233942594415566e-07,7.369428089987196e-07,9.040143709171389e-07,1.225413870997727e-05,5.2836535360256676e-06,1.2414458069542889e-05,2.8629136068047956e-05,2.202019459218718e-05,0.0002741244388744235,5.417407373897731e-05,0.00020000631047878414,0.00019185857672709972,0.0006297868676483631,0.0007176034268923104,0.0005884310230612755,0.0016486969543620944,0.002008451148867607,0.002428960520774126,0.25508207082748413,0.19793882966041565,0.05952867865562439,0.011332022026181221,0.036422599107027054,0.09702134877443314,0.1873638778924942,0.45741215348243713,0.08449196070432663,0.15157625079154968,0.11004577577114105,0.09720689058303833,0.09777289628982544,0.04200948402285576,0.3994399607181549,0.3842647671699524,0.6590656042098999,0.6308376789093018,0.6830840706825256,0.7845149636268616,0.635900616645813,0.7371601462364197,0.5775367617607117,0.6579294800758362,0.41395753622055054,0.33504822850227356,0.33426374197006226,0.17071545124053955,0.33006346225738525,0.07714429497718811,0.023217404261231422,0.046020690351724625,0.0325804129242897,0.06403699517250061,0.0169186070561409,0.01456739567220211,0.020742138847708702,0.02014361508190632,0.02852855995297432,0.03611648082733154,0.038570769131183624,0.09353923797607422,0.02580551616847515,0.0355692058801651,0.3625369668006897
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,7.906120299594477e-05,5.2764356951229274e-05,0.0002945996820926666,0.00014583607844542712,9.200364729622379e-05,3.1400595617014915e-05,5.895459617022425e-05,1.4278763956099283e-05,1.050617174769286e-05,1.2454913758119801e-06,4.8297351895598695e-06,6.61020612824359e-06,3.160779726840701e-07,5.613360940515122e-07,1.386265353175986e-06,9.768078598426655e-06,6.389422651409404e-06,0.00013195068459026515,4.280041321180761e-05,3.516796277835965e-05,1.0577050488791429e-06,7.553987870778656e-06,1.6671671119183884e-06,5.946640612819465e-06,2.3361671992461197e-06,1.1859615369758103e-05,3.7329304177546874e-05,2.7637741368380375e-05,2.5269418983953074e-05,4.4467018597060814e-05,7.150516466936097e-05,5.2087554649915546e-05,4.291303412173875e-05,1.3215721082815435e-05,1.1509222304084687e-06,1.2654421880142763e-05,5.106865501147695e-06,1.7550048141856678e-05,2.9591443308163434e-05,0.0002801074006129056,0.0007201574626378715,0.000608669884968549,0.0029842357616871595,0.0005281567573547363,0.004812384955585003,0.007843186147511005,0.0019483756041154265,0.004738498013466597,0.49947917461395264,0.4341443181037903,0.31244850158691406,0.4319482743740082,0.3035069406032562,0.6184751987457275,0.629893958568573,0.5454362034797668,0.384737104177475,0.3104212284088135,0.44644609093666077,0.6461188793182373,0.17866690456867218,0.117087222635746,0.07315289229154587,0.06546181440353394,0.13366343080997467,0.10294733196496964,0.12376181036233902,0.11817479133605957,0.1065095067024231,0.2982768416404724,0.0705639198422432,0.3093879520893097,0.3309728801250458,0.6263167858123779,0.6241772770881653,0.6060577034950256,0.5239089131355286,0.38709020614624023,0.2742149531841278,0.16885407269001007,0.9403198957443237,0.9352973699569702
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,2.0721854525618255e-05,1.9456527297734283e-05,5.27071206306573e-05,9.540793689666316e-05,0.00015704224642831832,0.0011108651524409652,0.0004713183152489364,0.00034275013604201376,4.74653352284804e-05,4.26411243097391e-05,0.00045304844388738275,7.437488238792866e-05,2.2133419406600296e-05,1.880590025393758e-05,1.7300539184361696e-05,6.962749466765672e-05,0.00010308493801858276,0.0005525721935555339,0.0001620056136744097,8.53721285238862e-05,0.00030658007017336786,0.0003506256325636059,0.0007631499320268631,0.0007617695373483002,0.0014821219956502318,0.002572382567450404,0.0015569009119644761,0.0013109814608469605,0.0027882405556738377,0.004541116766631603,0.004482625052332878,0.009808027185499668,0.006734283175319433,0.0071535962633788586,0.04249598830938339,0.06688911467790604,0.067632757127285,0.14251098036766052,0.05591848865151405,0.0244054663926363,0.049521517008543015,0.0025806634221225977,0.004332619719207287,0.002332217525690794,0.0038682324811816216,0.08518153429031372,0.14322584867477417,0.1320238560438156,0.0963132306933403,0.5698662996292114,0.6883906126022339,0.7276493310928345,0.7266466617584229,0.5992962718009949,0.3050258159637451,0.19080199301242828,0.061194803565740585,0.10237504541873932,0.02920234017074108,0.14559784531593323,0.11329156905412674,0.06185705214738846,0.08788948506116867,0.10429086536169052,0.04918718710541725,0.02308868244290352,0.016133569180965424,0.011885437183082104,0.012201760895550251,0.032926127314567566,0.035088010132312775,0.02578798308968544,0.00567843671888113,0.012596866115927696,0.10975176095962524,0.4025326669216156,0.47857236862182617,0.15756595134735107,0.6670824885368347,0.905907154083252,0.6360928416252136,0.7828002572059631
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.7532691344968043e-05,5.852492449776037e-06,1.4570888197340537e-05,1.3382925317273475e-05,4.9991322157438844e-06,9.937604090737295e-07,3.3616174732742365e-06,2.7843152565765195e-06,1.8108239601133391e-06,1.2124512522859732e-06,1.8635994365467923e-06,4.6606423893535975e-06,5.057130238128593e-06,4.261301910446491e-06,6.148648935777601e-06,1.8198273892267025e-06,2.9634220481966622e-06,1.583751327416394e-05,1.1269257811363786e-05,5.5946788961591665e-06,1.4600466784031596e-05,9.202954061038326e-06,8.591654477640986e-06,4.83668145534466e-06,2.0174852579657454e-06,5.562626938626636e-06,2.4556395601393888e-06,8.96392339200247e-06,1.5769186575198546e-05,1.0707562069001142e-05,1.1567900401132647e-05,1.9615736164269038e-05,1.8981803805218078e-05,1.0459235454618465e-05,2.674017423487385e-06,3.7756999518023804e-06,2.3634474928257987e-06,8.919835636334028e-06,2.7987005069007864e-06,4.1065304685616866e-06,3.2059163004305447e-06,2.9710297440033173e-06,1.0794499303301563e-06,8.359565981663764e-07,8.533775712749048e-07,1.268379946850473e-06,1.248750322702108e-06,4.422186520969262e-06,4.6393624870688654e-06,9.893802598526236e-06,1.2925821465614717e-05,6.95442258802359e-06,5.742744633607799e-06,4.392155915411422e-06,6.651540843449766e-06,2.4331880013050977e-06,3.1223260066326475e-06,5.096005224913824e-06,1.9183403310307767e-06,5.137405878485879e-06,4.908634309686022e-06,1.8277063418281614e-06,4.541219311704481e-07,1.5019485317679937e-06,1.2810940006602323e-06,1.3251785730972188e-06,1.406856767971476e-06,4.3833207996613055e-07,3.631395770753443e-07,4.882468260802852e-07,4.6462943714686844e-07,1.4407212347578024e-06,3.384635363090638e-07,2.095296736115415e-07,3.880310259773978e-07,5.721560114579916e-07,6.300703034867183e-07,2.243404679802552e-07,1.6949415737599338e-07,5.189165790397965e-07,0.023658061400055885,0.007474442012608051
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.0563319847278763e-05,2.90082061837893e-06,3.493763870210387e-06,2.0615425455616787e-06,2.5953866042982554e-06,7.0579339990217704e-06,4.885746420768555e-06,3.0090141081018373e-06,5.8754917517944705e-06,4.150261702307034e-06,1.7972398609344964e-06,3.1753731946082553e-06,4.4505513869808055e-06,3.855714112432906e-06,2.480407829352771e-06,4.274275397619931e-06,5.8027148952533025e-06,1.7693303107080283e-06,8.073219760262873e-06,3.825318799499655e-06,3.3920332498382777e-06,2.350152499275282e-06,1.733531098579988e-05,9.733480510476511e-06,5.1291203817527276e-06,3.673368382806075e-06,2.3474826775782276e-06,1.296436153097602e-06,1.489094785256384e-07,1.248032788225828e-07,1.88209924090188e-07,3.275982578543335e-07,3.6463768537942087e-07,8.41592793676682e-07,2.642222398208105e-06,4.3506150859684567e-07,3.686102900246624e-06,0.015231396071612835,0.013863468542695045,0.02398812212049961,0.01685747504234314,0.03145774081349373,0.022313151508569717,0.024642184376716614,0.030568543821573257,0.6026774048805237,0.5029900670051575,0.4055618345737457,0.22987231612205505,0.3328675329685211,0.2224665880203247,0.13370327651500702,0.07815274596214294,0.04571966826915741,0.04280613362789154,0.0162628386169672,0.023100480437278748,0.014907552860677242,0.01078859530389309,0.022145556285977364,0.010714692063629627,0.006857320200651884,0.007019161246716976,0.009114732034504414,0.010077334940433502,0.012158741243183613,0.01031253207474947,0.005460415035486221,0.003351018065586686,0.005228585563600063,0.003368575591593981,0.002317260717973113,0.003231193870306015,0.0035512021277099848,0.0005962104187346995,0.0008350402349606156,0.0009709180449135602,0.002971689449623227,0.0024430800694972277,0.011463372968137264,0.8373129367828369,0.9475685358047485
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,1.381465267513704e-06,7.740833325442509e-07,6.967147214709257e-07,8.269719842246559e-07,4.2322099034208804e-06,3.7772231280541746e-06,1.7852822566055693e-05,1.6647798474878073e-05,1.4225870472728275e-05,7.193355941126356e-06,0.00039764269604347646,0.0011268905363976955,0.00033051305217668414,0.0003380949201527983,0.00044206497841514647,6.761650001863018e-05,2.3672979295952246e-05,4.74376865895465e-05,9.192018478643149e-05,0.00014413923781830817,0.0009453197126276791,0.00035962703987024724,0.0010601088870316744,0.0006590377306565642,0.00011642470781225711,1.3385273632593453e-05,1.3574684999184683e-05,1.5121270735107828e-05,1.8913287931354716e-05,2.8019021556247026e-05,0.0016199429519474506,0.0038039085920900106,0.0017249974189326167,0.0010067577240988612,0.0010764189064502716,0.0015202260110527277,0.0009269057773053646,0.6492363214492798,0.42189231514930725,0.16172192990779877,0.07686815410852432,0.30910786986351013,0.3213893175125122,0.3327861428260803,0.43053051829338074,0.3770131468772888,0.46111175417900085,0.32431191205978394,0.4780915677547455,0.6812375783920288,0.7640134692192078,0.6324241757392883,0.7423574328422546,0.5498663187026978,0.9170175790786743,0.9014686346054077,0.9363827109336853,0.92628014087677,0.9236487150192261,0.9089353680610657,0.9438925385475159,0.9405367970466614,0.9114108085632324,0.8989764451980591,0.9388251304626465,0.939157247543335,0.9575658440589905,0.9209660291671753,0.9165248274803162,0.9065370559692383,0.9279314279556274,0.895591139793396,0.9112769961357117,0.6993514895439148,0.8670639395713806,0.8980265855789185,0.918919026851654,0.35125526785850525,0.37105974555015564,0.559776782989502,0.2082185000181198,0.7491705417633057
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,8.719754873709462e-07,4.781122129315918e-07,2.4891442080843262e-06,5.443606823973823e-06,1.4077229934628122e-05,3.051782414331683e-06,8.02066278993152e-06,3.71965552403708e-06,2.9536031433963217e-06,2.9426446417346597e-06,2.7939738629356725e-06,7.1629410740570165e-06,2.8662993827310856e-06,2.9520388125092722e-06,4.3991071834170725e-06,1.5008423360995948e-05,6.758261406503152e-06,1.5131505278986879e-05,4.665702363126911e-05,2.567560841271188e-05,1.571564826008398e-05,2.1355597709771246e-05,0.00010543309326749295,0.000157746922923252,0.0003142996283713728,0.00015447752957697958,0.0001466163812438026,7.833710697013885e-05,0.00012940810120198876,3.535239375196397e-05,0.00010615098290145397,6.852189835626632e-05,8.04416777100414e-05,0.0007209704490378499,0.0004126194107811898,0.0014681901084259152,0.002223242074251175,0.005818439181894064,0.002688582520931959,0.0047034937888383865,0.0032508319709450006,0.024316780269145966,0.11171440780162811,0.09251091629266739,0.07210591435432434,0.12698718905448914,0.1232113167643547,0.29551199078559875,0.3133894205093384,0.39280465245246887,0.4448644518852234,0.4962625503540039,0.1920875608921051,0.1242072656750679,0.17372040450572968,0.14467297494411469,0.18186110258102417,0.17944583296775818,0.2181411236524582,0.3001878261566162,0.19775621592998505,0.2337854951620102,0.25138330459594727,0.4264274835586548,0.5839987993240356,0.6153546571731567,0.6823635697364807,0.6585918068885803,0.5615362524986267,0.5065907835960388,0.5415942072868347,0.7592247724533081,0.6215295791625977,0.6686497330665588,0.6672906279563904,0.8034836649894714,0.7537640333175659,0.9173862934112549,0.8938754200935364,0.9266211986541748,0.9951085448265076,0.9965139031410217
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,3.035453346456052e-07,6.989579333094298e-07,2.3548000172013417e-06,1.9701947167050093e-06,1.9494823391141836e-06,7.411510409838229e-07,1.3919379853177816e-06,2.2152844394440763e-06,1.995077127503464e-06,3.4659274206205737e-06,7.416428616124904e-06,6.1916075537737925e-06,6.348830538627226e-06,1.2082484772690805e-06,1.7192114398767444e-07,1.0428587984279147e-06,9.347389209324319e-07,5.54498228666489e-07,2.543444679758977e-06,1.119646640290739e-05,1.9822407921310514e-05,6.270982703426853e-05,0.00013035583833698183,0.00025836582062765956,8.386753324884921e-05,6.026990740792826e-05,2.2780390281695873e-05,9.283410327043384e-05,6.04510642006062e-05,3.9656351873418316e-05,4.0537750464864075e-05,7.249112968565896e-05,1.4037531400390435e-05,6.52570633974392e-06,1.928052370203659e-06,2.1555872535827802e-06,5.771802989329444e-06,1.3552185009757522e-05,2.9021937734796666e-05,1.475053886679234e-05,2.0787423636647873e-05,4.012163117295131e-05,2.764124837995041e-05,0.00010757282143458724,0.0006943540647625923,0.0005953097715973854,0.0012211158173158765,0.0012114598648622632,0.0025328430347144604,0.001570825232192874,0.0059332940727472305,0.0022224769927561283,0.0023653374519199133,0.0021644115913659334,0.0049985246732831,0.0057704756036400795,0.0070394244976341724,0.0027355586644262075,0.0016745098400861025,0.0036204042844474316,0.001738441176712513,0.010233303532004356,0.012599739246070385,0.0230435561388731,0.013329991139471531,0.023961061611771584,0.0608372800052166,0.0008720291079953313,0.0020012890454381704,0.001980925677344203,0.0013391940155997872,0.0017646228661760688,0.0009766097646206617,0.003063664771616459,0.009134341962635517,0.01898507960140705,0.01205005869269371,0.009290310554206371,0.03479743003845215,0.08274464309215546,0.954092800617218,0.945635199546814
