Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.2177067623706535e-05,3.2859827570064226e-06,1.554016193949792e-06,3.0952226097724633e-06,9.461478356342923e-08,1.36026130803657e-06,2.626473587952205e-06,4.806503284271457e-07,5.919460818404332e-06,9.316712748841383e-06,1.3821895663568284e-05,1.0000561815104447e-05,1.1622602869465481e-05,7.930496394692454e-06,1.9574563339119777e-05,4.727012128569186e-05,0.0011879332596436143,0.028614824637770653,0.02905300073325634,0.05939295515418053,0.12814240157604218,0.4443308413028717,0.2748590409755707,0.23613685369491577,0.8640345931053162,0.8119394183158875,0.8121277689933777,0.8152022957801819,0.2336844503879547,0.13499726355075836,0.048036690801382065,0.012709890492260456,3.687319258460775e-05,0.0018955129198729992
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.8495153401308926e-06,1.8729309658738202e-06,9.567436791257933e-06,2.7960038551100297e-06,1.2288032849028241e-05,2.651713202794781e-06,3.624561486503808e-07,9.250862831322593e-07,1.6967108251719765e-07,1.6579862176513416e-06,4.168392479186878e-06,8.291341146104969e-06,1.1065934586440562e-06,3.221874521841528e-06,5.754744415753521e-05,7.857894524931908e-05,2.407576539553702e-05,0.00012683375098276883,0.00047820215695537627,0.000827101175673306,0.0005279630422592163,0.0007823893101885915,0.008245832286775112,0.0029882206581532955,0.00629461370408535,0.042712241411209106,0.042121198028326035,0.02840118110179901,0.19069483876228333,0.2727852463722229,0.12312629073858261,0.46594348549842834,0.00045534525997936726,0.04947078973054886
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,8.378217899007723e-06,1.181418338092044e-05,9.144382056547329e-05,2.8773338272003457e-05,8.489190076943487e-05,4.0998605982167646e-05,3.699989974847995e-05,0.00015372320194728673,0.00025566440308466554,8.892941696103662e-05,4.121774327359162e-05,0.0002407990104984492,4.991912646801211e-05,9.25130007090047e-06,3.785402077483013e-05,0.0003254735784139484,5.806874833069742e-05,0.00017277768347412348,0.00027199205942451954,0.00010033445141743869,9.799482359085232e-05,4.0084272768581286e-05,2.316573227290064e-05,2.450642205076292e-05,8.533204891136847e-06,7.056486083456548e-06,2.981733086926397e-05,1.0230067346128635e-05,8.346949584847607e-07,7.488164328606217e-07,1.4500968063657638e-05,5.1488386816345155e-05,0.001122611341997981,8.37918632896617e-05
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,1.7428964156351867e-06,4.513446583587211e-06,8.097922545857728e-07,6.591118562937481e-06,3.6703497698908905e-06,2.560905159043614e-06,4.329376679379493e-06,1.2177823919046205e-05,8.263494351012923e-07,8.10354595159879e-06,2.457231403241167e-06,5.5543209782626946e-06,4.61477202406968e-06,1.4908159755577799e-06,8.415281627094373e-06,0.00014529484906233847,0.0001364438357995823,0.003847061190754175,0.014968212693929672,0.0037930055987089872,0.032104626297950745,0.005959177389740944,0.00230919080786407,0.0036938670091331005,0.00041942240204662085,0.0003230046422686428,0.00010301560541847721,1.8467133486410603e-05,3.397977343411185e-05,9.92554851109162e-06,1.3236804079497233e-06,2.2041296688257717e-05,0.00481195654720068,0.002034316770732403
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,6.881784884171793e-06,1.0936734724964481e-05,2.188284497606219e-06,1.1171140386068146e-06,2.9983132776578714e-07,3.2539408039156115e-06,5.146185685589444e-06,1.972705103980843e-05,5.429618795460556e-06,3.266724206696381e-06,1.3610937230623676e-06,2.914116294050473e-06,1.5229327345878119e-06,1.949410716406419e-06,2.1490222934517078e-05,2.5463026759098284e-05,8.471933142573107e-06,1.1194867511221673e-05,1.434167552361032e-05,3.316936272312887e-05,0.000153675428009592,0.00010489625128684565,0.00019714853260666132,0.00027203018544241786,0.0004802493203897029,0.0001439735060557723,0.00032812729477882385,0.0005117905675433576,0.001174054341390729,0.0044121225364506245,0.0029859149362891912,0.001241338555701077,1.6736430552555248e-05,0.00035608006874099374
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,9.112891348195262e-06,3.074481355724856e-05,8.887052536010742e-05,9.65926574281184e-06,4.8596502892905846e-05,3.1171945011010394e-05,2.515896994736977e-05,0.000331683928379789,0.0002497016394045204,0.0012741920072585344,0.0004906011163257062,0.0043694195337593555,0.00017421055235899985,0.00037245647399686277,0.0023557685781270266,0.016191409900784492,0.0009738521766848862,0.00143219786696136,0.0009009176283143461,0.0005214770208112895,0.0005474799545481801,0.0002606029447633773,0.00020332910935394466,0.00032963830744847655,0.0016950368881225586,0.0018028997583314776,0.0012757973745465279,0.0017740338807925582,0.0003264308616053313,0.00013095281610731035,0.0018997675506398082,0.0005449930904433131,0.007045171223580837,0.00602232338860631
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,2.721693817875348e-06,1.388326745654922e-05,4.516788976616226e-06,4.406118023325689e-06,1.3544190551328938e-05,2.3286547730094753e-05,1.1679617273330223e-06,2.9859722417313606e-05,1.5116851500351913e-05,5.619690000457922e-06,1.6535399481654167e-05,3.0342544050654396e-06,5.352800371838384e-07,5.739988182540401e-07,3.409835187540011e-07,5.689074669135152e-07,1.1363811154296855e-06,1.2526455748229637e-06,1.8883072698372416e-05,1.4333712897496298e-05,8.921820153773297e-06,4.320093921705848e-06,1.5616888049407862e-05,2.4523762476746924e-05,2.0111185222049244e-05,9.9301551017561e-06,7.680981980229262e-06,2.5792076030484168e-06,1.4456866210821318e-06,1.491325178903935e-06,7.674015023440006e-07,1.1837157387617481e-07,5.869304368388839e-05,2.7171119654667564e-05
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.0002665574720595032,0.00017175562970805913,0.00023400987265631557,2.7981186576653272e-05,1.4024915799382143e-05,2.921423947555013e-05,2.1771458705188707e-05,5.4087399803393055e-06,2.408743057458196e-06,7.497993010474602e-06,1.534136936243158e-05,1.622607851459179e-05,1.5607824025209993e-05,7.055094556562835e-06,8.458990487270057e-05,1.849545878940262e-05,3.206499286534381e-06,7.067415026540402e-06,1.2822607686757692e-06,1.5696763284722692e-06,5.033357410866302e-07,2.4585330038462416e-07,1.2067880561517086e-06,1.930955932039069e-06,5.815034910483519e-06,5.551225967792561e-06,3.864142399834236e-06,2.8245003704796545e-05,2.507076715119183e-05,9.05991328181699e-06,1.845157748903148e-05,1.5761788745294325e-05,0.0002301120839547366,4.396155782160349e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,3.7290080854290863e-06,2.00677391148929e-06,2.525353465898661e-06,6.996850970608648e-06,1.5386275435957941e-06,2.677893689906341e-06,3.173852519466891e-06,9.84989310381934e-06,3.022743612746126e-06,7.123161935851385e-07,2.685178060346516e-06,3.554076783984783e-07,1.698140579264873e-07,8.301640974650581e-08,2.2036580560325092e-07,3.2003791261558945e-07,4.8783435886434745e-06,9.373889042763039e-07,2.0853472051385324e-06,9.540096471027937e-06,8.314300430356525e-06,1.9164001059834845e-05,3.1232411856763065e-05,1.9871076801791787e-05,0.0003133858845103532,0.0002925789449363947,0.00021616401500068605,0.0002978578268084675,0.00012433688971213996,5.4355463362298906e-05,5.9010792028857395e-05,0.0001421799388481304,0.06457751244306564,0.028546705842018127
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,6.026722303431598e-07,8.748677942094218e-07,5.116931447446404e-07,1.569990490679629e-05,6.562349312844162e-07,3.065401870117057e-07,3.864375685225241e-06,1.818558757804567e-06,1.538609285489656e-05,6.80130551700131e-06,4.658743364416296e-06,4.055661975144176e-06,7.843570529075805e-06,6.507609214168042e-06,5.142729833096382e-07,4.9742364893745616e-08,3.058839581626671e-07,9.138576615441707e-07,5.304230512592767e-07,4.995908966520801e-07,1.6610479178780224e-06,6.279784884100081e-06,2.2610918676946312e-05,3.2871867006178945e-05,8.142094884533435e-05,0.0001079686262528412,0.00012983511260244995,5.084826625534333e-05,2.3679087462369353e-05,1.9887942471541464e-05,3.821864811470732e-05,0.0001097967688110657,3.727771627382026e-06,4.274486127542332e-05
