explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,4.544819603324868e-06,1.0132233683179948e-06,3.06894289678894e-05,9.323353879153728e-06,3.8008278352208436e-05,1.681408866716083e-05,9.657422879172373e-07,1.0581425158306956e-05,3.90008972317446e-06,2.466519617883023e-06,1.577075067871192e-06,9.469373480897048e-07,1.8050846847472712e-05,1.3072744877717923e-05,1.2361657582005137e-06,3.8258858694462106e-06,4.643510237656301e-06,9.018352216116909e-07,2.0656085325754248e-05,0.00010661888518370688,1.510316815256374e-05,0.000144004647154361,7.963518874021247e-05,0.0007473787409253418,0.00112743373028934,0.0005132111255079508,0.00023506907746195793,0.00013651428162120283,9.38169687287882e-05,3.6487577403931937e-07,4.1765494529499847e-07,5.630058694805484e-07,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.000449508021119982,4.975730917067267e-05,5.03864539496135e-05,0.0005162649322301149,0.00010944852692773566,7.572574395453557e-05,7.268232002388686e-05,0.0001196153461933136,2.850712917279452e-06,6.391345232259482e-05,0.00010379214654676616,5.65745540370699e-06,8.827852980175521e-06,4.221421841066331e-05,9.946345926437061e-06,5.12370979777188e-06,2.5084133085329086e-05,9.435278479941189e-05,1.1791692486440297e-05,0.0004200419643893838,0.0017507070442661643,0.003742640372365713,0.0010294660460203886,0.0015198171604424715,0.0005710182012990117,0.7277793884277344,0.34583014249801636,0.020825576037168503,0.002129428554326296,0.00856254156678915,0.00014085166912991554,3.8876791222719476e-05,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,2.4908665636758087e-06,6.615855454583652e-06,1.4307538549473975e-05,3.5003372431674507e-06,3.984395334555302e-06,2.1799735350214178e-06,3.253431259508943e-06,7.861911512918596e-07,1.3294180689626955e-07,6.437870752051822e-07,2.5953698923331103e-07,1.381694346491713e-06,1.3793580819765339e-06,2.476911868143361e-05,7.125698175514117e-05,0.0006768786115571856,0.44974878430366516,0.3046635687351227,0.04438050091266632,0.12796704471111298,0.6391708254814148,0.7189412117004395,0.32921430468559265,0.3620041012763977,0.19342754781246185,0.02831396646797657,0.011082685552537441,0.060662224888801575,0.021356184035539627,0.0030875559896230698,0.002149208914488554,0.0023932824842631817,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.00023680910817347467,0.00025344968889839947,3.475631729088491e-06,2.8704818760161288e-05,5.790572910058245e-09,2.8399000484569115e-07,9.730570127430838e-07,3.648390389798806e-08,7.729236699560715e-07,3.972412378061563e-05,4.104509571334347e-05,8.719593438399897e-07,6.406157808669377e-06,5.1397546485532075e-06,3.549119719536975e-05,5.0059607019647956e-05,6.859737914055586e-05,0.00012618348409887403,0.0001233768998645246,0.0005814366741105914,0.02330118417739868,0.02943958342075348,0.05168640986084938,0.07797319442033768,0.6476699113845825,0.9630135893821716,0.9315807819366455,0.7780749201774597,0.6901584267616272,0.10739145427942276,0.6689302325248718,0.07929205149412155,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,7.763683242956176e-06,0.00018027036276180297,0.00013607009896077216,5.90227464272175e-05,3.1611860322300345e-05,3.5417564504314214e-05,1.5492203601752408e-05,1.883165509752871e-06,2.6977993911714293e-05,8.461696779704653e-06,1.1094829460489564e-05,1.573196095705498e-05,4.998610165785067e-06,1.0539502909523435e-05,3.49782590092218e-06,2.2251366317505017e-05,0.0020636627450585365,0.0007908091647550464,0.003612767206504941,0.17567139863967896,0.03221764788031578,0.036843057721853256,0.012935027480125427,0.016639839857816696,0.10486138612031937,0.09474745392799377,0.1788443624973297,0.1632167547941208,0.3435668647289276,0.2987193167209625,0.10340960323810577,0.21931186318397522,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,2.920561018981971e-05,1.1414570508350153e-05,2.493134616088355e-06,2.0999793832743308e-06,1.7093074689000787e-07,1.3070554416572122e-07,2.2801457078003295e-07,2.8219144496688386e-06,7.956093668326503e-07,5.583579536505567e-07,7.313099104067078e-07,9.244557190868363e-07,4.2329384086770006e-06,6.3816796682658605e-06,9.320531830780965e-07,3.1244218234860455e-07,1.0034116257884307e-06,3.510543820084422e-07,1.1148782732561813e-06,1.612868254596833e-05,2.6334433641750365e-05,2.609312468848657e-05,0.00018323067342862487,9.880935249384493e-05,0.0002547649492044002,1.8012349755736068e-05,3.479228325886652e-05,4.5459531975211576e-05,3.782993007916957e-05,1.4221203855413478e-05,3.548773520378745e-06,5.704582235921407e-06,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,2.6374821118224645e-06,2.243094058940187e-05,1.4191409718478099e-05,1.1543136224645423e-06,1.5105026704986813e-06,2.6424390853208024e-06,1.7950450228454429e-06,1.824914761527907e-06,1.9321237232361455e-06,9.92746208794415e-06,1.2494607290136628e-05,9.68251970334677e-06,6.961582130315946e-06,7.369776540144812e-06,1.576975228090305e-05,2.3454635083908215e-05,0.0011336557799950242,0.000362607795977965,0.0128459008410573,0.06614476442337036,0.11772781610488892,0.13243578374385834,0.043153516948223114,0.11693721264600754,0.00309586338698864,0.0028222219552844763,0.004774655681103468,0.0006560460315085948,0.0066802105866372585,0.0465838760137558,0.02132957987487316,0.14837895333766937,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,7.486837148462655e-06,0.00011610580986598507,6.072699761716649e-05,5.30914530827431e-06,1.094512663257774e-05,6.0612219385802746e-05,3.1466529435419943e-06,6.336091473713168e-07,1.4172320561556262e-07,2.5422770022487384e-07,6.5625958995951805e-06,7.897979799054156e-07,2.3209842936466885e-07,3.94149111571096e-07,1.285409439333307e-06,1.4963938156142831e-05,0.000309301249217242,0.0012686176924034953,0.003660951042547822,0.007887421175837517,0.034173935651779175,0.03483913093805313,0.0790633037686348,0.11854538321495056,0.5498495101928711,0.7554450631141663,0.8925541639328003,0.601949155330658,0.5050435066223145,0.8199355602264404,0.2829379737377167,0.32743901014328003,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.1157798326166812e-05,1.0262984687869903e-05,4.8380702537542675e-06,1.3616309843200725e-05,6.180183390824823e-06,2.0164105080766603e-05,6.190356316437828e-07,1.1131838618894108e-05,0.00011206882481928915,4.695154711953364e-05,0.00028320064302533865,0.00014138277038000524,0.00011209447984583676,0.00042849223245866597,0.0007957076304592192,0.00041822262573987246,7.864434155635536e-05,0.00011045764404116198,0.003554112510755658,0.019855862483382225,0.17534847557544708,0.15978915989398956,0.05851079896092415,0.092759869992733,0.13090211153030396,0.14631818234920502,0.17964735627174377,0.1897270828485489,0.5345186591148376,0.8359999060630798,0.8291108012199402,0.7400028705596924,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,2.2757372164505796e-07,1.276841601338674e-07,6.295549610513262e-07,2.652408284120611e-06,1.2900569345219992e-05,2.4539731384720653e-05,7.233924407046288e-06,4.396885742607992e-06,7.430771802319214e-07,1.2277779433134128e-06,4.650636128644692e-06,2.6969755708705634e-06,3.9132460187829565e-06,5.99168379267212e-06,1.2566767964017345e-06,8.59179453982506e-06,6.484107143478468e-05,2.228310586360749e-05,9.377958485856652e-05,0.00029196907416917384,9.414253872819245e-05,6.774282519472763e-05,5.555371171794832e-05,0.00011617725249379873,0.0001322822499787435,0.000836967199575156,0.004172465298324823,0.01584935560822487,0.03927407041192055,0.09982822090387344,0.06431428343057632,0.08713573217391968,0.9786726832389832,0.9694126844406128
