Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.9239817851921543e-05,1.0621761248330586e-06,4.99527629926888e-07,2.5713950435601873e-07,1.8712537297460585e-08,2.1958649654152396e-07,1.8341614804739947e-07,2.6351824544690317e-07,1.6333102621501894e-06,1.9024946595891379e-06,2.18453510569816e-06,1.4015590750204865e-06,1.5571250742141274e-06,6.273739927564748e-07,2.7783835321315564e-06,4.458114290173398e-06,0.00012526790669653565,0.004916504956781864,0.0014543849974870682,0.01793348230421543,0.07092229276895523,0.44845354557037354,0.13640029728412628,0.25286760926246643,0.9743505716323853,0.9704543948173523,0.9738684892654419,0.9393887519836426,0.02125774510204792,0.029428932815790176,0.012711804360151291,0.08360766619443893,3.687319258460775e-05,0.0018955129198729992
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.880863689824764e-07,1.103955810322077e-06,1.8743368855211884e-05,2.867285502361483e-07,1.421667548129335e-06,5.743542033087579e-07,8.66696439061343e-08,1.431452005817846e-07,3.9186619460451766e-07,2.16098123928532e-06,5.9151484492758755e-06,3.1141664749156917e-06,3.120165956715937e-07,1.4691905789732118e-06,9.459708053327631e-06,8.139863894029986e-06,8.606844858149998e-06,1.1174657629453577e-05,6.43046441837214e-05,9.23475599847734e-05,2.9492850444512442e-05,3.225599357392639e-05,0.0005295720184221864,0.0003266786225140095,0.0030867820605635643,0.007870093919336796,0.009510211646556854,0.0064673395827412605,0.009022275917232037,0.043376024812459946,0.10342232882976532,0.0859677791595459,0.00045534525997936726,0.04947078973054886
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,1.9246817828388885e-06,1.5668574633309618e-06,4.044504748890176e-06,4.0652790289641416e-07,2.541227672736568e-07,4.977537741979177e-07,1.4952935316614457e-06,2.5304165319539607e-05,2.892095835704822e-06,4.097932560398476e-06,3.9598280636710115e-06,8.755301678320393e-06,9.478759466219344e-07,3.3412575817237666e-07,2.1993726477376185e-05,3.223221210646443e-05,9.245158253179397e-06,7.68375741699856e-07,1.5139881952563883e-06,5.843200142408023e-06,6.751569890184328e-05,4.596514372678939e-06,4.1012358451553155e-06,2.056654921034351e-06,3.993225618614815e-06,5.282358301883505e-07,7.890949405009451e-07,4.891276716989523e-08,3.374136303690989e-09,1.2695790196914913e-08,2.0967733860288718e-07,4.2838036051762174e-07,0.001122611341997981,8.37918632896617e-05
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,6.855503329461499e-07,2.6250104383507278e-06,5.312389475875534e-06,5.280795676299022e-07,1.0547630608925829e-06,4.429843102116138e-06,1.2863864640166867e-06,2.5403355721209664e-06,1.9520114165061386e-06,2.656922561072861e-06,1.6160098539330647e-06,2.074193474754793e-07,1.0293653076587361e-06,3.330047775307321e-07,5.65661412110785e-06,8.379653991141822e-06,2.8352335448289523e-06,0.00010828591621248052,0.0003811082278843969,5.680156755261123e-05,0.0003133076534140855,0.0002647839719429612,0.00010804493649629876,0.00023245817283168435,1.5202501799649326e-06,1.1772841617130325e-06,3.7553849097093916e-07,1.1991555481927207e-07,1.6903850053040514e-07,9.396446642995215e-08,6.120304618661976e-08,1.3050392055902194e-07,0.00481195654720068,0.002034316770732403
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,1.4724251741426997e-05,1.3916472198616248e-05,3.272383537478163e-06,2.2855523695852753e-07,2.2066635096962273e-07,2.801734581225901e-06,5.942910661360656e-07,9.202973160427064e-06,1.365335037917248e-06,1.0676541251086746e-06,4.3351366230126587e-07,3.787069431382406e-07,1.343019846444804e-07,1.0574508451099973e-06,2.2583999452763237e-05,1.2473779861466028e-05,2.53551024798071e-06,8.31657052913215e-06,1.6682646673871204e-05,3.107734301011078e-05,0.00010293722152709961,0.00029963895212858915,0.0004771845415234566,0.0001644274016143754,0.003835619194433093,0.00022384004842024297,0.0003654148313216865,0.0006662649684585631,0.0012215498136356473,0.04019775986671448,0.015084872953593731,0.051058579236269,1.6736430552555248e-05,0.00035608006874099374
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,2.6583839485283534e-07,5.647958005283726e-06,1.6168833383289893e-07,3.220656807911837e-08,2.3933222337291227e-07,6.879130864945182e-08,2.439346644678153e-07,3.646609457064187e-06,3.367297949807835e-06,1.5068548236740753e-05,9.353822679258883e-05,3.0660750780953094e-05,3.890707375830971e-06,4.736397386295721e-05,8.944191358750686e-05,0.0006106387008912861,0.0001522961974842474,9.632609726395458e-05,4.927126065012999e-05,2.043688073172234e-05,0.0001740616571623832,5.731281635235064e-05,3.47095810866449e-05,2.159729956474621e-05,0.00020500477694440633,0.0001030975254252553,9.196331666316837e-05,0.0002015598292928189,4.4259995775064453e-05,2.3578619220643304e-05,5.135787432664074e-05,1.0290798400092172e-06,0.007045171223580837,0.00602232338860631
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,9.90334683592664e-06,6.690174814139027e-06,3.357569767103996e-06,7.674293556192424e-07,2.723489160416648e-06,8.259233368335117e-07,5.2207230538670046e-08,2.6431152946315706e-06,2.751363172137644e-05,2.638663318066392e-06,2.526822754589375e-06,1.7705967536585376e-07,3.958810523840839e-08,8.378446381129834e-08,3.1878467865453786e-08,1.0582791531987823e-07,8.282641061896356e-08,1.0905117164838884e-07,5.543983547795506e-07,1.4277786704042228e-06,1.8589203421015554e-07,5.500628503796179e-07,1.1009675517925643e-06,1.2232026165293064e-06,2.942867013189243e-06,8.972036198429123e-07,1.51609879139869e-06,3.5259824926470174e-07,3.532937284944637e-07,1.0241880232797484e-07,8.456628108888253e-08,1.2219317113704165e-07,5.869304368388839e-05,2.7171119654667564e-05
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.00015393139619845897,2.303686414961703e-05,5.580531251325738e-06,2.176763882744126e-05,2.351456487303949e-07,2.7027979285776382e-06,1.2447150766092818e-05,2.264767772430787e-06,1.1284083711871062e-06,1.2027758202748373e-06,2.6691683160606772e-05,4.61065292256535e-06,7.533042207796825e-07,9.165126471089025e-07,1.0864721843972802e-05,1.0647022463672329e-06,1.2611192687472794e-05,3.8491314626298845e-05,8.756996066949796e-06,2.414606115053175e-06,7.1489066613139585e-06,5.894115929550026e-06,2.8464266506489366e-05,7.134647603379562e-05,2.3548491299152374e-05,6.1984842432138976e-06,6.293672640822479e-07,4.91084938403219e-06,8.428802971138794e-07,6.265106549108168e-07,3.944976185721316e-07,7.214610491246276e-07,0.0002301120839547366,4.396155782160349e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,2.514456127755693e-06,8.231993433582829e-07,1.0615082146614441e-07,1.8339071061745926e-07,2.7456729867481044e-07,5.769452968706901e-07,1.8867016251533641e-06,9.933580258802976e-06,1.2807372513634618e-06,7.406173381241388e-07,4.741527845908422e-07,2.1922194548551488e-07,1.7791479933748633e-07,5.050309326293245e-08,2.718393261602614e-07,2.1067931754714664e-07,1.672245502959413e-06,3.8114504263830895e-07,5.947268846284715e-07,2.5490744519629516e-06,2.617999598442111e-06,4.374290710984496e-06,2.3376790068141418e-06,8.467309271509293e-07,1.195002823806135e-06,1.1177446594956564e-06,1.1292654562566895e-06,2.6557739829513594e-07,2.2464691085133381e-07,2.926734396169195e-06,2.590185204098816e-06,2.4590466637164354e-05,0.06457751244306564,0.028546705842018127
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,1.607514406032351e-07,5.121391950524412e-07,4.815119609702379e-07,1.675785460975021e-05,1.8898607834216818e-07,2.813979094185015e-08,5.800772484576555e-08,1.2103087954074e-07,2.3731040528218728e-06,6.988115615058632e-07,1.0035702189270523e-06,2.3288241663976805e-06,2.8107428988732863e-06,3.230655920560821e-06,5.988065368001116e-07,3.147078686538407e-08,6.411421509255888e-07,6.839211437181802e-07,3.539859392276412e-07,3.0234483006097435e-07,9.22014976367791e-07,2.2505469132738654e-06,5.673673513229005e-06,6.265250704018399e-05,2.8111702704336494e-05,9.06123750610277e-05,7.841185288270935e-05,0.00014082540292292833,0.0002470963809173554,0.00019293722289148718,0.0007149684824980795,0.0010335444239899516,3.727771627382026e-06,4.274486127542332e-05
