explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,8.319604239659384e-05,2.3869191863923334e-05,2.2254043869907036e-05,1.0632465091475751e-05,5.090072136226809e-06,1.5973986592143774e-05,1.1419475413276814e-05,1.2055259503540583e-05,3.2254140478471527e-06,0.00010231262422166765,0.004439251497387886,0.018365589901804924,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,2.745408346527256e-05,4.9893187679117545e-05,0.00014779013872612268,9.325023711426184e-05,5.722825153497979e-05,0.0001427907554898411,9.789824252948165e-05,0.0004157686489634216,0.0006549816462211311,0.003897086251527071,0.009052710607647896,0.015879912301898003,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.00013436132576316595,0.0001644105650484562,0.0002291476121172309,0.0007839672034606338,0.0030506812036037445,0.005159248597919941,0.001517097931355238,0.01010210532695055,0.003953613806515932,0.027381666004657745,0.005881167948246002,0.007858458906412125,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,1.9056420569540933e-05,3.728594310814515e-05,9.096804569708183e-05,0.0002492551284376532,0.00024796699290163815,0.0005255711148492992,0.0012548462254926562,0.00027948382194153965,0.00028261070838198066,0.0003233474853914231,0.00017419409414287657,7.793161057634279e-05,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,7.186000584624708e-05,0.0001501992519479245,0.0003454195393715054,0.00019497914763633162,0.0004170484025962651,0.00029465407715179026,0.000867222435772419,0.0019637010991573334,0.014240692369639874,0.04592094197869301,0.08831194043159485,0.1633824110031128,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,5.8303870900999755e-05,5.1709583203773946e-05,0.0001948285207618028,0.0005266031948849559,0.0007073164451867342,0.0011156585533171892,0.0005638693692162633,0.0034523610956966877,0.015776269137859344,0.023316500708460808,0.10600622743368149,0.02763482928276062,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,5.6630502513144165e-05,2.062771818600595e-05,3.756614387384616e-05,0.00012143064668634906,7.781057502143085e-05,1.156795860879356e-05,4.525770236796234e-06,2.0748233509948477e-05,0.00011662233737297356,0.0008058404782786965,0.0002980748249683529,1.584381789143663e-05,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,5.275773219182156e-05,0.00010439609468448907,0.00019685608276631683,0.00036001927219331264,0.0003142737550660968,0.0003569474210962653,0.0005079649854451418,0.0009320711833424866,0.0005101693677715957,0.0054620602168142796,0.00011368621198926121,0.0011266275541856885,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.6511579815414734e-05,4.70605336886365e-05,5.884847269044258e-05,5.338060509529896e-05,0.0001399559696437791,0.00026477218489162624,0.010347312316298485,0.004668853711336851,0.06921903789043427,0.7074533700942993,0.9063485860824585,0.7777211666107178,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.00024096602282952517,0.0009532473632134497,0.0006094841519370675,0.0008211039821617305,0.0010035416344180703,0.002592173172160983,0.0025388007052242756,0.0027161184698343277,0.013037808239459991,0.0380336157977581,0.013666156679391861,0.029842277988791466,0.100090391933918,0.14716646075248718
