explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.00011141399590997025,4.025331872981042e-05,1.597731898073107e-05,1.344615338894073e-05,5.099102963868063e-06,9.250245057046413e-06,2.3113752831704915e-05,3.689741424750537e-05,4.7650948545197025e-05,0.0009662117226980627,0.006060839630663395,0.06819896399974823,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.00038601632695645094,0.0010216266382485628,0.0020590927451848984,0.0006791657651774585,0.0005594961112365127,0.0009768333984538913,0.0003155939921271056,0.0014605105388909578,0.0021688751876354218,0.00984954833984375,0.018059348687529564,0.034021615982055664,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.00026987612363882363,0.0001965519186342135,0.00025100429775193334,0.001001443830318749,0.001634968095459044,0.008361678570508957,0.0029748028609901667,0.012041110545396805,0.018142057582736015,0.11769971251487732,0.07543804496526718,0.050451479852199554,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.0005784808308817446,0.0004589186573866755,0.0003963351482525468,0.0006126250373199582,0.0005790006252937019,0.00043754346552304924,0.00044348431401886046,0.00046153648872859776,0.0003474481636658311,0.0005859158700332046,0.0007514488534070551,0.0022430045064538717,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,6.642625521635637e-05,0.0004517025372479111,0.0006527018849737942,0.0004456975148059428,0.0006430883076973259,0.001445044414140284,0.001086447504349053,0.004776905756443739,0.06668616831302643,0.20231010019779205,0.2638882100582123,0.41322144865989685,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.00033257395261898637,0.0006225144607014954,0.0015720273368060589,0.008991733193397522,0.008690415881574154,0.009321389719843864,0.012554120272397995,0.019661925733089447,0.06689951568841934,0.05092222988605499,0.11739957332611084,0.09692030400037766,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,6.089049747970421e-06,5.0928565542562865e-06,1.0891475540120155e-05,1.573375084262807e-05,9.94505808193935e-06,6.825594482506858e-06,1.2441814760677516e-05,1.9688210159074515e-05,0.00029246025951579213,0.0035099012311547995,0.005398384761065245,0.001534965238533914,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.00023278678418137133,0.00034314231015741825,0.0006191206048242748,0.0011306621599942446,0.0004219542897772044,0.0010209352476522326,0.0005561642465181649,0.0017461666138842702,0.0031194088514894247,0.010754951275885105,0.006863009184598923,0.012385807931423187,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,5.567312200582819e-06,2.8090929845348e-05,2.4398845198447816e-05,3.599362025852315e-05,0.0001841790071921423,0.0003823389997705817,0.00874133501201868,0.010968049988150597,0.18764832615852356,0.4411943256855011,0.8985423445701599,0.961588978767395,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.000512929109390825,0.0035405592061579227,0.0016814928967505693,0.005245062988251448,0.0021047655027359724,0.002535697305575013,0.0036233861465007067,0.008009342476725578,0.03418763726949692,0.11280971020460129,0.08268969506025314,0.09038103371858597,0.100090391933918,0.14716646075248718
The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.0009571888367645442,0.0008264954085461795,0.0009004475432448089,0.0009556950535625219,0.004001562017947435,0.007435289211571217,0.013861071318387985,0.03764026612043381,0.045499928295612335,0.03671575337648392,0.06816993653774261,0.0460093729197979,0.04068177193403244,0.043853167444467545
Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,0.00022108081611804664,0.0005191449308767915,0.0015244894893839955,0.0024629472754895687,0.0035931768361479044,0.007167770527303219,0.01677471026778221,0.011291470378637314,0.022936200723052025,0.07971672713756561,0.08671107143163681,0.32218435406684875,0.411927193403244,0.514491081237793
Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,0.00016802546451799572,0.0001540939847473055,0.00022877712035551667,0.00019517348846420646,9.50023386394605e-05,0.00030433741630986333,0.0007982863462530077,0.0004569761804305017,0.0029101914260536432,0.009987789206206799,0.031866107136011124,0.0449143648147583,0.026844482868909836,0.05663884058594704
Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,2.5092342184507288e-05,4.894718949799426e-05,5.6919048802228644e-05,5.2815128583461046e-05,0.00013832675176672637,0.00022933851869311184,0.0010304538300260901,0.00280050584115088,0.009934713132679462,0.029950082302093506,0.04864281043410301,0.1104234978556633,0.011504310183227062,0.0543273463845253
