explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,8.980950224213302e-05,4.3917282255279133e-07,4.4166908992337994e-06,1.7907154870044906e-06,1.9376208001631312e-05,7.894675036368426e-06,2.8143884378550865e-07,2.641906348799239e-06,1.966301397260395e-06,6.130984502306092e-07,4.0463689288117166e-07,1.400247526817111e-07,3.7672618873330066e-06,7.533213874921785e-07,9.802916878243195e-08,2.171252049265604e-07,5.659779844791046e-07,1.012639501141166e-07,2.3355023586191237e-06,7.3483070082147606e-06,1.4263474668041454e-06,1.57138110807864e-05,1.627238088985905e-05,4.3864794861292467e-05,0.00025619808002375066,1.8827480744221248e-05,2.1734789697802626e-05,1.3968357961857691e-05,1.5345254723797552e-05,1.3943930810000893e-07,1.4280439586400462e-07,4.423601041025904e-08,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,6.256370397750288e-06,1.5488933513552183e-07,2.9474114171534893e-07,3.1198575015878305e-05,3.7200872611720115e-05,3.5253735859441804e-06,2.1373430172388908e-06,1.0618250598781742e-05,6.088147870286775e-07,1.1487396704978892e-06,1.5076720956130885e-06,2.0186725180337817e-07,5.15667693434807e-07,1.8114866406904184e-06,2.3891425371402875e-07,1.9289556973944855e-07,1.2809236693556159e-07,4.5307839968700137e-07,2.775304039914772e-07,1.82386975211557e-06,1.5000435269030277e-05,6.1984290368855e-05,2.607255919429008e-05,3.6455498047871515e-05,9.417331966687925e-06,0.0006385649903677404,8.416596392635256e-05,1.5186438758973964e-05,3.2317141176463338e-06,2.8862095859949477e-06,4.356695981755365e-08,6.715401124068876e-09,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,2.216225425399898e-07,1.261982873757006e-07,9.622877996662282e-07,1.623146658857877e-06,1.410161416970368e-06,3.7788342410749465e-07,1.4987404938437976e-05,2.2612566681345925e-06,9.672667147242464e-07,4.153719146415824e-07,2.3308692220780358e-07,6.411905246750393e-07,2.8379062655403686e-07,2.9721179544139886e-06,9.714680345496163e-06,6.863742601126432e-05,0.053397417068481445,0.025604406371712685,0.007724257186055183,0.018965434283018112,0.18809111416339874,0.8026964068412781,0.26735392212867737,0.1295430064201355,0.04413259029388428,0.01894982159137726,0.003030710853636265,0.010505206882953644,0.0032988074235618114,0.002211750717833638,0.0021524059120565653,0.000925885105971247,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,1.3186001979192952e-06,2.979652890644502e-06,1.7891693460114766e-08,1.2178367114756838e-07,7.987785988206042e-10,5.643131828492187e-08,5.030969418839959e-07,2.4627954076095193e-07,3.542217825724947e-07,8.554298460694554e-07,6.654706226072449e-07,1.2979033670035278e-07,5.956004542895244e-07,3.782617739034322e-07,7.409559543702926e-07,1.7012010857797577e-06,1.1114768312836532e-05,8.553241059416905e-06,1.9020434365302208e-06,8.86407997313654e-06,0.00010864267096621916,0.0006267883582040668,0.0006433317321352661,0.0002596774138510227,0.008995726704597473,0.04014208912849426,0.019495384767651558,0.008425544016063213,0.0030403179116547108,6.72221794957295e-05,0.0002106089668814093,0.00010961986845359206,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,3.4287602375115966e-06,5.56658924324438e-05,8.458155207335949e-06,3.175144229317084e-06,5.598798452410847e-06,7.536686439379991e-07,2.3720939168470068e-07,7.3124517996348e-08,1.5629873360012425e-06,8.145000265358249e-07,5.963767080174875e-07,1.5092199419086683e-06,5.136226377544517e-07,6.179143952067534e-07,1.4668700032416382e-07,3.3953861588997825e-07,9.111859981203452e-06,4.5702663555857725e-06,1.8929353245766833e-05,0.009780194610357285,0.0024135152343660593,9.447565389564261e-05,3.970248144469224e-05,2.0480601961025968e-05,0.01793363131582737,0.04274890199303627,0.030916480347514153,0.01163911260664463,0.004912578966468573,0.0023584291338920593,0.0022716179955750704,0.007500890642404556,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,2.8351016112537764e-07,1.3775344598343509e-07,4.314087220791407e-08,9.915137155758202e-08,3.5163729705800506e-09,3.411327753610749e-08,1.2395264548104024e-07,7.226039997476619e-07,2.97562422701958e-07,1.6647240386191697e-07,5.98809663188149e-07,1.645854297294136e-07,8.200948400371999e-07,3.68162773156655e-06,4.50593148570988e-07,3.847118250632775e-07,9.002972092275741e-07,5.524153721125913e-07,5.42476698228711e-07,8.548384357709438e-06,2.230783320555929e-05,4.266265386831947e-05,0.00011407841520849615,5.3543393732979894e-05,6.621457578148693e-05,1.6926784155657515e-05,1.968060496437829e-05,1.9501921997289173e-05,1.1606484804360662e-05,1.332547753918334e-06,8.598255476499617e-07,1.1772834795920062e-06,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.2302185723456205e-06,7.3301162046846e-06,6.555736490554409e-06,3.6732174635289994e-07,5.125997972754703e-07,3.223360920401319e-07,2.3551513095299015e-06,6.96581480497116e-07,1.500609300819633e-06,5.173055342311272e-06,5.83887413085904e-06,6.2099156821204815e-06,4.642851308744866e-06,3.164431063851225e-06,3.4641477668628795e-06,3.3640483252384e-06,0.00036317683407105505,5.444497219286859e-05,0.0013599825324490666,0.0137060871347785,0.020070230588316917,0.049649111926555634,0.00881333276629448,0.011984171345829964,0.00015979398449417204,0.00020651817612815648,0.00018388754688203335,5.6249828048748896e-05,0.0002378357748966664,0.002518262481316924,0.00319735798984766,0.011415568180382252,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,1.1477152384031797e-06,4.035751317132963e-06,3.854311216855422e-06,3.045337280127569e-07,5.614971883005637e-07,1.889646114250354e-06,7.055304962477749e-08,1.0499093150428962e-07,2.880813099181978e-08,2.3930894599288877e-08,1.0470307643117849e-06,2.1498443913969822e-07,9.019662172704557e-08,3.2963946239306097e-08,1.8023611403350515e-07,5.657516339852009e-07,0.0001216419113916345,0.0005247543449513614,0.000559662003070116,0.0007312059169635177,0.0014448497677221894,0.0033906439784914255,0.010604080744087696,0.007168635725975037,0.062376100569963455,0.21250346302986145,0.32204046845436096,0.11408600211143494,0.09791671484708786,0.2351190596818924,0.0808747410774231,0.013891888782382011,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.904505495531339e-07,3.696233079608646e-07,3.4919349189976856e-08,6.901789362245836e-08,3.721947550161531e-08,5.506401734578503e-08,2.9803151613272405e-10,1.1080992834422432e-07,1.4954332527850056e-06,6.230904546100646e-06,1.5319545127567835e-05,8.981212886283174e-06,1.278527906833915e-05,9.543356100039091e-06,3.9403181290254e-05,1.6385727576562203e-05,2.7589633191382745e-06,6.999881861702306e-06,0.0002595932164695114,0.0025239994283765554,0.16631917655467987,0.09146516770124435,0.026311665773391724,0.03992407023906708,0.1132345199584961,0.109555184841156,0.07545117288827896,0.1150575801730156,0.3460620641708374,0.5263975858688354,0.6239643692970276,0.03950414061546326,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,4.244586477852863e-07,2.787248831737088e-06,3.001972117999685e-06,2.8084739369660383e-06,7.684191587031819e-06,0.00012188278196845204,2.7974872864433564e-05,1.7126243619713932e-05,1.4611065353165031e-06,4.693117261922453e-06,1.9592063836171292e-05,1.7686157661955804e-05,5.49555579709704e-06,8.948733920988161e-06,2.4712635422474705e-06,1.8757975340122357e-05,7.507131522288546e-05,2.1472080334206112e-05,7.321055454667658e-05,7.059224299155176e-05,1.0746221050794702e-05,4.916978468827438e-06,1.2021836255371454e-06,2.999354819621658e-06,2.750837893472635e-06,9.847503861237783e-06,2.0442163076950237e-05,0.0001283408491872251,0.0002475054934620857,0.0005602727760560811,0.006160031538456678,0.00730043463408947,0.9786726832389832,0.9694126844406128
