site_id,score
L21.attn_out,1.335
L23.attn_out,1.11
L31.resid_post,0.785
L31.resid_mid,0.5
L31.mlp_out,0.45
L31.attn_in,0.42
L18.mlp_in,0.41
L30.resid_mid,0.385
L30.mlp_in,0.38
L17.resid_post,0.345
L22.mlp_in,0.345
L31.mlp_in,0.335
L19.mlp_in,0.32
L18.resid_mid,0.305
L20.resid_mid,0.3
L22.resid_mid,0.3
L28.mlp_in,0.3
L21.resid_post,0.295
L19.resid_mid,0.285
L30.resid_post,0.285
L27.attn_in,0.28
L27.mlp_in,0.28
L26.attn_out,0.275
L23.mlp_in,0.265
L16.mlp_in,0.26
L21.resid_mid,0.26
L21.mlp_in,0.26
L19.resid_post,0.25
L22.attn_in,0.25
L26.mlp_in,0.25
L29.mlp_in,0.25
L26.attn_in,0.245
L27.resid_mid,0.245
L29.resid_mid,0.245
L28.resid_post,0.24
L29.resid_post,0.24
L29.attn_in,0.235
L16.resid_mid,0.23
L18.resid_post,0.23
L27.resid_post,0.225
L20.attn_in,0.22
L28.attn_in,0.22
L26.resid_mid,0.215
L18.attn_in,0.21
L20.resid_post,0.21
L26.resid_post,0.2
L25.resid_post,0.195
L28.resid_mid,0.195
L21.attn_in,0.19
L23.resid_mid,0.19
L19.attn_in,0.18
L16.resid_post,0.175
L23.resid_post,0.175
L25.resid_mid,0.175
L24.attn_in,0.17
L24.mlp_in,0.165
L24.resid_post,0.155
L30.attn_in,0.155
L17.resid_mid,0.15
L20.mlp_in,0.15
L25.mlp_in,0.15
L25.attn_in,0.145
L00.resid_post,0.14
L17.mlp_in,0.13
L30.attn_out,0.13
L27.attn_out,0.12
L24.resid_mid,0.11
L23.attn_in,0.105
L25.attn_out,0.105
L28.mlp_out,0.105
L00.attn_in,0.1
L00.mlp_out,0.09
L01.resid_post,0.09
L29.attn_out,0.085
L02.attn_out,0.08
L15.resid_post,0.08
L22.resid_post,0.08
L08.attn_out,0.075
L03.mlp_out,0.07
L04.attn_out,0.07
L06.mlp_out,0.065
L16.attn_out,0.065
L01.attn_in,0.06
L01.resid_mid,0.06
L15.attn_out,0.06
L20.attn_out,0.06
L30.mlp_out,0.06
L31.attn_out,0.06
L04.resid_mid,0.055
L14.mlp_in,0.055
L16.attn_in,0.055
L19.mlp_out,0.055
L01.mlp_out,0.05
L02.resid_mid,0.05
L03.attn_in,0.05
L04.resid_post,0.05
L05.attn_in,0.05
L28.attn_out,0.05
L00.attn_out,0.045
L00.mlp_in,0.045
L02.attn_in,0.045
L02.mlp_in,0.045
L17.attn_in,0.045
L17.mlp_out,0.045
L18.mlp_out,0.045
L19.attn_out,0.045
L01.mlp_in,0.04
L03.resid_post,0.04
L21.mlp_out,0.04
L00.resid_mid,0.035
L05.resid_mid,0.035
L05.mlp_out,0.035
L07.attn_out,0.035
L07.resid_mid,0.035
L09.resid_mid,0.035
L10.attn_in,0.035
L11.resid_post,0.035
L13.resid_post,0.035
L15.attn_in,0.035
L15.resid_mid,0.035
L15.mlp_in,0.035
L17.attn_out,0.035
L18.attn_out,0.035
L22.attn_out,0.035
L04.attn_in,0.03
L07.mlp_in,0.03
L07.resid_post,0.03
L09.mlp_in,0.03
L11.mlp_out,0.03
L12.mlp_out,0.03
L15.mlp_out,0.03
L20.mlp_out,0.03
L29.mlp_out,0.03
L02.mlp_out,0.025
L03.resid_mid,0.025
L08.attn_in,0.025
L08.mlp_in,0.025
L09.resid_post,0.025
L12.mlp_in,0.025
L24.attn_out,0.025
L25.mlp_out,0.025
L03.attn_out,0.02
L03.mlp_in,0.02
L04.mlp_in,0.02
L06.attn_in,0.02
L06.mlp_in,0.02
L06.resid_post,0.02
L07.attn_in,0.02
L07.mlp_out,0.02
L10.attn_out,0.02
L13.mlp_in,0.02
L14.resid_mid,0.02
L14.resid_post,0.02
L23.mlp_out,0.02
L26.mlp_out,0.02
L27.mlp_out,0.02
L02.resid_post,0.015
L04.mlp_out,0.015
L05.attn_out,0.015
L05.mlp_in,0.015
L08.resid_mid,0.015
L10.resid_mid,0.015
L10.mlp_in,0.015
L10.mlp_out,0.015
L10.resid_post,0.015
L11.resid_mid,0.015
L12.resid_mid,0.015
L14.attn_out,0.015
L16.mlp_out,0.015
L22.mlp_out,0.015
L24.mlp_out,0.015
L01.attn_out,0.01
L05.resid_post,0.01
L06.attn_out,0.01
L06.resid_mid,0.01
L09.attn_in,0.01
L09.attn_out,0.01
L12.attn_in,0.01
L12.resid_post,0.01
L13.attn_in,0.01
L13.attn_out,0.01
L13.resid_mid,0.01
L14.attn_in,0.01
L14.mlp_out,0.01
L08.mlp_out,0.005
L08.resid_post,0.005
L09.mlp_out,0.005
L11.attn_in,0.005
L11.mlp_in,0.005
L12.attn_out,0.005
L11.attn_out,0.0
L13.mlp_out,0.0
