Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.2411005577159813e-06,2.0198874040033843e-07,5.1782272691980324e-08,2.6550013743076306e-08,9.45843048327788e-09,8.737257672919441e-08,1.4140910025162157e-06,1.8746678165371122e-07,9.228110684489366e-07,1.2288144262129208e-06,2.5979654765251325e-06,1.9492063074721955e-06,3.214894832126447e-06,5.898378958590911e-07,1.9594067452999298e-06,3.0692567634105217e-06,0.0005023760604672134,0.018937472254037857,0.00421774759888649,0.06630449742078781,0.10831139981746674,0.41695788502693176,0.4358397126197815,0.2997317612171173,0.966915488243103,0.963331937789917,0.9691784977912903,0.9585677981376648,0.03964141011238098,0.020865803584456444,0.014353605918586254,0.11940742284059525,3.687319258460775e-05,0.0018955129198729992
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,5.7263793706852084e-08,4.4867769588563533e-07,3.0794558369962033e-06,1.0090130899698124e-06,1.4702111457154388e-06,1.1417967016313924e-06,6.31237782044991e-08,1.1783394704423245e-08,4.6442092838105964e-08,8.247769756053458e-07,2.6107081794179976e-06,5.12093947691028e-06,9.441559427614266e-07,3.001863888130174e-06,2.063198053292581e-06,7.305399776669219e-06,1.3594785741588566e-05,1.609672835911624e-05,0.00027731151203624904,6.43975508864969e-05,2.1492787709576078e-05,1.2190646884846501e-05,0.0003160603519063443,0.00020967113960068673,0.0004334633704274893,0.0016421532491222024,0.0036556129343807697,0.0022703649010509253,0.022654078900814056,0.02233666181564331,0.032806869596242905,0.09237400442361832,0.00045534525997936726,0.04947078973054886
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,1.653637440313105e-07,7.838832516426919e-07,4.756553551032994e-08,4.4935195120388016e-08,2.43608894834324e-07,2.828905394380854e-07,4.215420688069571e-07,1.145432293014892e-06,4.342592205830442e-07,3.74870865016419e-07,2.3389266345930082e-07,8.840751206662389e-07,2.4879176407921477e-07,2.081664661091054e-06,5.111335212859558e-06,5.049784249422373e-06,1.47328200910124e-05,2.489755570422858e-05,1.9735265595954843e-05,4.150198583374731e-05,1.76426037796773e-05,1.1604349310800899e-05,2.141265940736048e-05,1.5851233911234885e-05,4.4065450310881715e-06,2.1636799374391558e-06,1.3937191170043661e-06,3.2431901786367234e-07,1.159680067530644e-07,1.5748017290206917e-07,2.2166079816088313e-06,7.338715931837214e-06,0.001122611341997981,8.37918632896617e-05
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,4.946326157551084e-07,2.196354898842401e-06,2.3875645638327114e-06,4.826367216992367e-07,7.097780780895846e-07,2.0529066659946693e-06,8.740863677303423e-07,1.8014217175732483e-06,1.6654396404192084e-06,4.493285359785659e-06,2.4442792891932186e-06,5.795059223601129e-07,1.7954605482373154e-06,4.147030381318473e-07,7.5167508839513175e-06,4.674409137805924e-05,2.94890323857544e-05,0.0007722893496975303,0.0019652617629617453,0.00011602824815781787,0.0019639618694782257,0.0005669105448760092,0.00021764308621641248,0.00036418932722881436,2.9574375730589963e-06,2.0679322005889844e-06,7.598948172926612e-07,1.575777872631079e-07,3.1404948686031275e-07,1.1712498348970257e-07,7.257842327135222e-08,3.9764336179359816e-07,0.00481195654720068,0.002034316770732403
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,3.1439958547707647e-06,9.401433089806233e-07,2.382664945344004e-07,2.3259106640693972e-08,5.586729656670286e-08,5.15866190653469e-07,8.019997039809823e-07,3.7929503378109075e-06,3.6150626669950725e-07,7.073083452269202e-07,5.46152136848832e-07,1.6351010856396897e-07,6.580167877245913e-08,2.8801207463402534e-07,5.879874606762314e-06,4.741521024698159e-06,4.4692123992717825e-06,9.092619620787445e-06,2.104246050294023e-05,4.393335257191211e-05,0.00020012067398056388,0.0002034560893662274,0.0007600699318572879,0.00017841537191998214,0.003001726698130369,7.213537901407108e-05,0.00018480795552022755,0.000311989220790565,0.0006991001428104937,0.02412048541009426,0.008855567313730717,0.0328960120677948,1.6736430552555248e-05,0.00035608006874099374
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,6.110356309818599e-08,4.333791991939506e-07,1.8060173800904522e-08,6.18472526525693e-08,5.655753625433135e-07,1.2568840190851915e-07,4.405364961712621e-07,8.901433830033056e-07,8.510003226547269e-07,1.1726930097211152e-05,5.484565917868167e-05,4.424358485266566e-05,6.930594736331841e-06,1.204950240207836e-05,8.479956886731088e-05,0.00017918499361258,3.957129592890851e-05,3.990307595813647e-05,7.958494097692892e-05,3.075009226449765e-05,2.5404868210898712e-05,1.7955177099793218e-05,1.4197157724993303e-05,2.906617055487004e-06,8.951383279054426e-06,3.039234616153408e-05,4.375732532935217e-05,4.561572495731525e-05,2.8651274988078512e-05,2.309956107637845e-05,7.730779179837555e-05,1.6429490642622113e-05,0.007045171223580837,0.00602232338860631
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,1.3483250768331345e-05,1.0697841617002268e-06,4.881844120063761e-07,3.02108730920736e-07,1.4127018630460952e-06,4.6795136654509406e-07,1.6741296349209733e-08,8.135885423143918e-07,8.306245035782922e-06,7.338196041928313e-07,1.2314470723140403e-06,1.597536254394072e-07,1.9665915118594057e-08,6.983670175486623e-08,1.3836929824151412e-08,2.2285808753963465e-08,2.6756248772130675e-08,8.89451925445428e-08,4.11140831602097e-07,8.803687592262577e-07,1.935802629304817e-07,3.6997258234805486e-07,1.3184784393160953e-06,1.4248001889427542e-06,3.954887688450981e-06,1.45052581501659e-06,1.3242482737041428e-06,4.90815239118092e-07,3.013223022207967e-07,8.983700183762267e-08,3.7417805742734345e-08,1.1536986477267419e-07,5.869304368388839e-05,2.7171119654667564e-05
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,1.8252454765388393e-06,1.9033072021557018e-05,1.611263087397674e-07,5.8344888032024755e-08,8.272407114873204e-08,1.342857132158315e-07,5.053985674408068e-08,2.6705627931278286e-08,1.5511764672737627e-07,7.798233809808153e-07,6.5021995396818966e-06,3.500714456095011e-06,1.6283654247217783e-07,2.0523805233096937e-06,1.602794509381056e-05,4.132897174713435e-06,2.0465586203499697e-06,5.497567599377362e-06,2.8809508876292966e-06,7.257310699060326e-07,3.669011334750394e-07,8.724263125259313e-07,1.9028408360100002e-06,1.9864964997395873e-06,2.4030414351727813e-06,9.184309419651981e-07,7.423487318192201e-07,3.7412305573525373e-06,7.47306603443576e-06,4.679301582655171e-06,8.119770313896879e-07,3.7435329431900755e-06,0.0002301120839547366,4.396155782160349e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,6.450102887356479e-07,1.8217684782939614e-07,8.08083981951313e-08,5.96804909491766e-07,5.186150247027399e-07,3.6079404708289076e-07,8.740517500882561e-07,4.2807178033399396e-06,1.342282303085085e-06,7.608927603541815e-07,6.94548134561046e-07,2.3964423689903924e-07,1.0497291214051074e-07,4.768534012100645e-08,5.100184452544454e-08,5.815757475602368e-08,7.788113975948363e-07,2.7308266226100386e-07,8.565983193875581e-07,2.249704948553699e-06,2.330954885110259e-06,5.530092494154815e-06,3.6730352803715505e-06,1.1971677622568677e-06,5.517558292922331e-06,3.285402272013016e-06,2.4916409984143684e-06,8.287915989058092e-07,7.541303830294055e-07,3.9874207686807495e-06,2.0259219581930665e-06,1.410016466252273e-05,0.06457751244306564,0.028546705842018127
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,3.35040546417531e-08,2.1373389813561516e-07,8.069381607356263e-08,2.717913048400078e-06,1.0008181305920516e-07,8.39214031600477e-09,5.639214251118574e-08,7.702698923139906e-08,1.041200675899745e-06,6.337205036288651e-07,1.062176352206734e-06,1.6700628293619957e-06,4.072763204021612e-06,3.1744220905238762e-06,2.3123651260448241e-07,2.1749299250473086e-08,3.6689976923298673e-07,4.6804990461168927e-07,1.6918453127345856e-07,9.897584618556721e-08,2.828334402238397e-07,1.1439311720096157e-06,3.1233387289830716e-06,2.504032090655528e-05,1.9735316527658142e-05,3.2738371373852715e-05,4.301785884308629e-05,7.230725168483332e-05,0.00019835305283777416,0.00020203355234116316,0.0007986961863934994,0.0010052182478830218,3.727771627382026e-06,4.274486127542332e-05
